data_source	value	npc_label	plot_label	test	contrast	group_1	group_2	n_group_1	n_group_2	mean_group_1	mean_group_2	mean_difference	abs_mean_difference	median_group_1	median_group_2	median_difference	abs_median_difference	p_value	q_value	significance
filtered	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.0906292142592572	NA	NA	NA	0	0.558035145770046	0.74512559771224	ns
filtered	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0877210663517753	0.0906292142592572	0.00290814790748187	0.00290814790748187	0	0	0	0	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0877210663517753	0	-0.0877210663517753	0.0877210663517753	0	0	0	0	0.504985075093846	0.838502613542885	ns
filtered	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0906292142592572	0	-0.0906292142592572	0.0906292142592572	0	0	0	0	0.504985075093846	0.825602573334533	ns
filtered	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.0232989811167771	NA	NA	NA	0.0221491944390785	0.11329301336363	0.619195850660442	ns
filtered	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0405776394230132	0.0443294992611888	0.0037518598381756	0.0037518598381756	0.0390692179273694	0.0380812178448886	-0.000988000082480844	0.000988000082480844	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0405776394230132	0.0210305181444117	-0.0195471212786015	0.0195471212786015	0.0390692179273694	0.016920023488291	-0.0221491944390785	0.0221491944390785	0.0808555983700523	0.654930346797424	ns
filtered	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0443294992611888	0.0210305181444117	-0.0232989811167771	0.0232989811167771	0.0380812178448886	0.016920023488291	-0.0211611943565976	0.0211611943565976	0.190430263825524	0.612813607660565	ns
filtered	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.00509565553284219	NA	NA	NA	0.00880096629923404	0.837128431360764	0.916316255948945	ns
filtered	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0089085218427738	0.0038128663099316	-0.00509565553284219	0.00509565553284219	0.0091003821896222	0.000780048111828491	-0.00832033407779371	0.00832033407779371	0.662520583540057	0.9815119756149	ns
filtered	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0089085218427738	0.00744113570180597	-0.00146738614096783	0.00146738614096783	0.0091003821896222	0.00958101441106253	0.000480632221440333	0.000480632221440333	0.662520583540057	0.838502613542885	ns
filtered	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0038128663099316	0.00744113570180597	0.00362826939187436	0.00362826939187436	0.000780048111828491	0.00958101441106253	0.00880096629923404	0.00880096629923404	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.00732949446975735	NA	NA	NA	0.00730012432316007	0.429796067489516	0.696269629333016	ns
filtered	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0112961601070225	0.0179136337369502	0.00661747362992766	0.00661747362992766	0.0140343921353321	0.0158908078229342	0.00185641568760212	0.00185641568760212	0.382733088885226	0.9815119756149	ns
filtered	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0112961601070225	0.0105841392671928	-0.000712020839829691	0.000712020839829691	0.0140343921353321	0.00859068349977417	-0.00544370863555795	0.00544370863555795	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0179136337369502	0.0105841392671928	-0.00732949446975735	0.00732949446975735	0.0158908078229342	0.00859068349977417	-0.00730012432316007	0.00730012432316007	0.382733088885226	0.775034504992583	ns
filtered	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.00112194034729182	NA	NA	NA	0.00150326590569657	0.198754223668784	0.619195850660442	ns
filtered	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	7.75050996680313e-05	0	-7.75050996680313e-05	7.75050996680313e-05	0	0	0	0	0.504985075093846	0.9815119756149	ns
filtered	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	7.75050996680313e-05	0.00112194034729182	0.00104443524762379	0.00104443524762379	0	0.00150326590569657	0.00150326590569657	0.00150326590569657	0.353678517318465	0.838502613542885	ns
filtered	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0	0.00112194034729182	0.00112194034729182	0.00112194034729182	0	0.00150326590569657	0.00150326590569657	0.00150326590569657	0.196705602458947	0.612813607660565	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.014002420094647	NA	NA	NA	0.00390607657944088	0.837128431360764	0.916316255948945	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0726110092023977	0.0675740853775165	-0.00503692382488123	0.00503692382488123	0.0685118146336622	0.0646057380542213	-0.00390607657944088	0.00390607657944088	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0726110092023977	0.0586085891077507	-0.014002420094647	0.014002420094647	0.0685118146336622	0.0660347351232248	-0.00247707951043734	0.00247707951043734	0.662520583540057	0.838502613542885	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0675740853775165	0.0586085891077507	-0.0089654962697658	0.0089654962697658	0.0646057380542213	0.0660347351232248	0.00142899706900354	0.00142899706900354	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.00187662512479056	NA	NA	NA	0.00250335202397919	0.275999473234053	0.659371112564551	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.000349645677327361	0.00044534277922946	9.56971019020993e-05	9.56971019020993e-05	0.000501266119497188	0	-0.000501266119497188	0.000501266119497188	1	1	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.000349645677327361	0.00222627080211792	0.00187662512479056	0.00187662512479056	0.000501266119497188	0.00250335202397919	0.002002085904482	0.002002085904482	0.382733088885226	0.838502613542885	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.00044534277922946	0.00222627080211792	0.00178092802288846	0.00178092802288846	0	0.00250335202397919	0.00250335202397919	0.00250335202397919	0.184038627196425	0.612813607660565	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyls / NPC pathway: Fatty acids	Fatty acyls	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.0192023323212169	NA	NA	NA	0.0187254545513082	0.19311982178672	0.619195850660442	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyls / NPC pathway: Fatty acids	Fatty acyls	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0847060248825532	0.0677714139708591	-0.0169346109116942	0.0169346109116942	0.0844185778847646	0.0759426609803616	-0.00847591690440307	0.00847591690440307	0.0808555983700523	0.808555983700523	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyls / NPC pathway: Fatty acids	Fatty acyls	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0847060248825532	0.0869737462920759	0.00226772140952271	0.00226772140952271	0.0844185778847646	0.0946681155316698	0.0102495376469051	0.0102495376469051	0.662520583540057	0.838502613542885	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty acyls / NPC pathway: Fatty acids	Fatty acyls	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0677714139708591	0.0869737462920759	0.0192023323212169	0.0192023323212169	0.0759426609803616	0.0946681155316698	0.0187254545513082	0.0187254545513082	0.382733088885226	0.775034504992583	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty amides / NPC pathway: Fatty acids	Fatty amides	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.0372505854461289	NA	NA	NA	0.0515752584853457	0.329192987807906	0.666615800311009	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty amides / NPC pathway: Fatty acids	Fatty amides	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.223714748912985	0.193111198791323	-0.0306035501216619	0.0306035501216619	0.236707632208239	0.191793698792728	-0.0449139334155104	0.0449139334155104	0.662520583540057	0.9815119756149	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty amides / NPC pathway: Fatty acids	Fatty amides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.223714748912985	0.186464163466856	-0.0372505854461289	0.0372505854461289	0.236707632208239	0.185132373722893	-0.0515752584853457	0.0515752584853457	0.190430263825524	0.771242568493372	ns
filtered	pathway_normalized_ratio	NPC superclass: Fatty amides / NPC pathway: Fatty acids	Fatty amides	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.193111198791323	0.186464163466856	-0.00664703532446706	0.00664703532446706	0.191793698792728	0.185132373722893	-0.00666132506983533	0.00666132506983533	0.662520583540057	0.825602573334533	ns
