data_source	value	npc_label	plot_label	test	contrast	group_1	group_2	n_group_1	n_group_2	mean_group_1	mean_group_2	mean_difference	abs_mean_difference	median_group_1	median_group_2	median_difference	abs_median_difference	p_value	q_value	significance
filtered	log10_summed_intensity_plus_1	NPC superclass: Aminosugars and aminoglycosides	Aminosugars and aminoglycosides	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.100343331887994	NA	NA	NA	0	0.558035145770046	0.851437732778007	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Aminosugars and aminoglycosides	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.100343331887994	0.0852890954867652	-0.0150542364012285	0.0150542364012285	0	0	0	0	1	1	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Aminosugars and aminoglycosides	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.100343331887994	0	-0.100343331887994	0.100343331887994	0	0	0	0	0.504985075093846	0.923184419686965	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Aminosugars and aminoglycosides	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0852890954867652	0	-0.0852890954867652	0.0852890954867652	0	0	0	0	0.504985075093846	0.904393177530872	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.204434795958827	NA	NA	NA	0.164578428587355	0.288100919745509	0.851437732778007	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.743359003475245	0.705409145116508	-0.0379498583587375	0.0379498583587375	0.749380353953817	0.72005489867111	-0.0293254552827066	0.0293254552827066	1	1	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.743359003475245	0.538924207516419	-0.204434795958827	0.204434795958827	0.749380353953817	0.584801925366462	-0.164578428587355	0.164578428587355	0.190430263825524	0.923184419686965	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.705409145116508	0.538924207516419	-0.166484937600089	0.166484937600089	0.72005489867111	0.584801925366462	-0.135252973304648	0.135252973304648	0.382733088885226	0.904393177530872	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Chromanes	Chromanes	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.10404932418804	NA	NA	NA	0.196074732268654	0.670320046035639	0.851437732778007	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Chromanes	Chromanes	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.154342168492257	0.0670482478851791	-0.087293920607078	0.087293920607078	0.156003722292544	0.0161879882870226	-0.139815734005522	0.139815734005522	0.662520583540057	0.938570826681748	ns
