data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2702	PS	Untreated	0.60010578985705	0.60010578985705	0.38502156596219	0.232488142066133	0.534036607440629	0.543723885314915	0.610566940151496	0.615091719321807	0.0104611502944459	0.01040022070804	0.0753693041435242	0.0753693041435242	0.0455903022438268	NA_[2702_560.56_8.9]	NA	1-(1,2,2-Trioctoxyethoxy)octane	[M + H3N + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.944
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1767	Untreated	PET	0.591444438205121	0.591444438205121	0.656865511609728	0.721152350739925	0.303987747233557	0.317846929610165	0.771176602156948	0.730791519154824	0.895432185438678	0.965144205576109	0.0742814958637479	0.149650800007272	0.0777792722675027	NA_[1767_577.52_6.4]	NA	[3-hydroxy-2-[(Z)-tridec-9-enoyl]oxypropyl] henicosanoate	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.999	0.998
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1623	Untreated	PET	0.57698163548692	0.57698163548692	0.33082782843729	0.31480086764435	0.0440192740771503	0.0168793838270436	0.327463301670649	0.31480086764435	0.62100090956407	0.498595914235069	0.072465063835829	0.222115863843101	0.0391732360534996	1-stearoyl-2-arachidonoyl-sn-glycerol_[1623_627.53_6.1]	1-stearoyl-2-arachidonoyl-sn-glycerol	1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2417	PET	Untreated	0.52549079221834	0.52549079221834	0.222067000414843	0	0.52549079221834	0.576472376655021	0.140710209026189	0	0	0	0.0659981556797845	0.288114019522886	0.0262948950456633	NA_[2417_554.51_8]	NA	7-(9Z-hexadecenoyloxy)-octadecanoic acid	[M + H3N + H]+	-1	Fatty acids	Glycerolipids	Diacylglycerols	0.997	0.979	0.803
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1354	PS	PET	0.4803708184924	0.4803708184924	0.419692323727716	0.343172854468398	0.139252054512754	0.186753335248673	0.619622873005154	0.801873243177246	0.500202043665239	0.548865732332681	0.0603313864531315	0.348445405976017	0.0496956575415299	NA_[1354_528.5_5]	NA	9-Hexadecanoyloxy-hexadecanoic acid	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.954	0.729
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1616	Untreated	PET	0.452354600203492	0.452354600203492	0.420407888615478	0.289971529704125	0.183910251278785	0.26175922413223	0.441048563085373	0.209709136598252	0.636264851482277	0.725607517132644	0.0568127353871734	0.40525814136319	0.0497803873914713	1,2-dioleoylglycerol_[1616_603.54_6.1]	1,2-dioleoylglycerol	1,2-Dioleoyl-Sn-Glycerol	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.999	0.998
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1832	PS	PET	0.451075780186123	0.451075780186123	0.33268668307035	0.190675078262942	0.11746717611469	0.17582048829915	0.568542956300812	0.63200413072831	0.312049916795549	0.355957985702029	0.0566521240808621	0.461910265444053	0.0393933425411369	NA_[1832_584.56_6.6]	NA	1,4-Butanediol dipalmitate	[M + H3N + H]+	24	Fatty acids	Glycerolipids	Diacylglycerols	1	0.996	0.938
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1922	PS	Untreated	0.421859952866556	0.421859952866556	0.309121228795135	0.242274021118868	0.210228754583455	0.198935234791149	0.569497442334253	0.466218305883891	0.147637489467697	0.171310681917579	0.0529828100827791	0.514893075526832	0.0366029633055342	NA_[1922_538.52_6.8]	NA	[(E)-hexadec-9-enoyl] octadecanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Diacylglycerols	0.997	0.919	0.752
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1614	PET	PS	0.410693992685839	0.410693992685839	0.421821497236955	0.300353732890302	0.689244473178774	0.767379686646021	0.278550480492935	0.242361465566693	0.297669538039156	0.152938683219684	0.0515804395955432	0.566473515122375	0.0499477724161167	NA_[1614_528.5_6.1]	NA	9-Myristoyloxystearic acid	[M + H3N + H]+	318	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.938
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1019	PS	PET	0.333333333333333	0.333333333333333	0.111111111111111	0	0	0	0.333333333333333	0	0	0	0.0418644542442413	0.608337969366616	0.0131566374095015	DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]_[1019_590.48_3.8]	DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]	(1-hydroxy-3-tridecanoyloxypropan-2-yl) (5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoate	[M + H3N + H]+	102	Fatty acids	Glycerolipids	Diacylglycerols	0.837	0.819	0.706
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1263	PS	PET	0.333333333333333	0.333333333333333	0.111111111111111	0	0	0	0.333333333333333	0	0	0	0.0418644542442413	0.650202423610857	0.0131566374095015	NA_[1263_657.58_4.6]	NA	1-hydroxy-3-(octadeca-9,12-dienoyloxy)propan-2-yl docos-13-enoate	[M - H2O + H]+	-1	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.993
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1589	PS	PET	0.333333333333333	0.333333333333333	0.111111111111111	0	0	0	0.333333333333333	0	0	0	0.0418644542442413	0.692066877855099	0.0131566374095015	2-edahma [dmed-fahfa]_[1589_552.5_6]	2-edahma [dmed-fahfa]	2-Edahma	[M + H3N + H]+	-1	Fatty acids	Fatty esters	Diacylglycerols	0.978	0.929	0.758
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2943	PET	PS	0.333333333333333	0.333333333333333	0.111111111111111	0	0.333333333333333	0	0	0	0	0	0.0418644542442413	0.73393133209934	0.0131566374095015	NA_[2943_600.55_9.4]	NA	[(2S)-3-hydroxy-2-(10-methylundecanoyloxy)propyl] 19-methylicosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1838	PS	PET	0.321985908469029	0.321985908469029	0.384771622483462	0.290054401127463	0.178524324499614	0.247456398903038	0.500510232968643	0.290054401127463	0.475280309982129	0.466134312150462	0.0404392929971764	0.774370625096517	0.0455607065023244	NA_[1838_605.55_6.6]	NA	NA	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2683	Untreated	PS	0.292680185279454	0.292680185279454	0.170200941923505	0.0344166841289364	0.113671888297344	0.114770846348519	0.0521253760968579	0.0322233424239105	0.344805561376312	0.0344166841289364	0.0367586886744833	0.811129313771	0.0201534487167885	NA_[2683_561.56_8.8]	NA	(2R)-3-[(3S,11S)-3,11-dimethyltetradecoxy]-2-[(3R)-3-methyl-5-[(1R,4S,5S)-2-(6-methylheptyl)-5-bicyclo[2.1.0]pentanyl]pentoxy]propan-1-ol	[M - H2O + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.997
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1823	PS	PET	0.291251738706334	0.291251738706334	0.455247798840995	0.457007263419452	0.271711560915044	0.298568245512591	0.562963299621378	0.363162315667848	0.531068535986564	0.565450342445262	0.0365792852658811	0.847708599036881	0.0539057719874217	DG(20:0/18:3(6Z,9Z,12Z)/0:0)_[1823_629.55_6.5]	DG(20:0/18:3(6Z,9Z,12Z)/0:0)	Diglyceride	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2913	Untreated	PS	0.255513822290472	0.255513822290472	0.20397045174638	0	0.200758510862944	0.237455998073237	0.0778195110428614	0	0.333333333333333	0	0.032090840166152	0.879799439203033	0.024152087482914	NA_[2913_628.58_9.3]	NA	1-Pentadecanoyl-3-arachidonyl-sn-glycerol	[M + H3N + H]+	-1	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.997
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2820	PS	Untreated	0.221788150980613	0.221788150980613	0.256854202506839	0	0.325684091834462	0	0.333333333333333	0	0.111545182352721	0	0.0278551196959282	0.907654558898961	0.0304140384854022	NA_[2820_600.55_9.1]	NA	[(2S)-3-hydroxy-2-(10-methylundecanoyloxy)propyl] 19-methylicosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1114	PS	Untreated	0.200896430052158	0.200896430052158	0.607469832875007	0.619324947596943	0.643129995616437	0.600979302083766	0.690087966530371	0.64743571337177	0.489191536478214	0.619324947596943	0.0252312582112499	0.932885817110211	0.0719303429551223	DG(18:2n6/0:0/18:2n6)_[1114_627.53_4.1]	DG(18:2n6/0:0/18:2n6)	1-Linoleoyl-3-linoleoyl-sn-glycerol	[M - H2O + H]+	426	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.995
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	612	PS	Untreated	0.1559816043606	0.1559816043606	0.566945002569176	0.645567617119416	0.562613662552002	0.482530629524865	0.647101474758062	0.645567617119416	0.491119870397463	0.712702482626056	0.019590254216093	0.952476071326304	0.0671318084693836	2,3-dilinoleoyl-sn-glycerol_[612_639.49_2.4]	2,3-dilinoleoyl-sn-glycerol	1,2-Dilinoleoyl-Sn-Glycerol	[M + Na]+	131	Fatty acids	Glycerolipids	Diacylglycerols	0.938	0.976	0.84
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2523	PS	PET	0.149275807378325	0.149275807378325	0.615280215732698	0.643748425499185	0.547916141833062	0.643748425499185	0.697191949211387	0.626669619933251	0.600732556153646	0.683066220918133	0.0187480506232863	0.97122412194959	0.0728551683327145	1-palmitoyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycerol_[2523_658.54_8.4]	1-palmitoyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycerol	1-(hexadecanoyloxy)-3-hydroxypropan-2-yl docosa-4,7,10,13,16,19-hexaenoate	[M + H3N + H]+	-1	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	614	PET	PS	0.117990310711812	0.117990310711812	0.497207823092776	0.513278311910267	0.552593838010026	0.529367943350708	0.434603527298214	0.270325540124372	0.504426103970089	0.513278311910267	0.0148187998921755	0.986042921841766	0.0588742474103928	1-oleoyl-3-linoleoylglycerol_[614_641.51_2.3]	1-oleoyl-3-linoleoylglycerol	2-hydroxy-3-(octadec-9-enoyloxy)propyl octadeca-9,12-dienoate	[M + Na]+	131	Fatty acids	Glycerolipids	Diacylglycerols	0.995	0.996	0.969
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2680	PET	Untreated	0.0567440818823827	0.0567440818823827	0.302420220764051	0	0.333333333333333	0	0.29733807750787	0	0.276589251450951	0	0.00712668005878947	0.993169601900555	0.035809498709046	NA_[2680_560.56_8.8]	NA	1-(1,2,2-Trioctoxyethoxy)octane	[M + H3N + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.981
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2710	PET	Untreated	0.0543850244218764	0.0543850244218764	0.441927361456628	0.435574932671219	0.467501751267315	0.440393271641247	0.445163606257132	0.435574932671219	0.413116726845439	0.239350180536316	0.00683039809944477	1	0.0523285025042029	NA_[2710_600.55_8.9]	NA	(1-Hydroxy-3-tridecanoyloxypropan-2-yl) icosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
