data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1538	Untreated	PS	0.899891610750854	0.899891610750854	0.515151689736351	0.383292058423035	0.539253078238352	0.383292058423035	0.0531551901099228	0	0.953046800860777	0.952507303167361	0.105203879236755	0.105203879236755	0.0442258635666475	N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine_[1538_727.57_5.8]	N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine	[(2S,3R,4E,14E)-3-hydroxy-2-[[(E)-octadec-9-enoyl]amino]octadeca-4,14-dienyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1530	Untreated	PS	0.73058017991673	0.73058017991673	0.489829985155679	0.640579539403423	0.677724700794665	0.736377072323996	0.0305925373778209	0	0.761172717294551	0.642938612480229	0.0854101406241537	0.190614019860909	0.042051990755257	NA_[1530_729.59_5.8]	NA	[(E)-2-[[(Z)-heptadec-9-enoyl]amino]-3-hydroxynonadec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.997
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1335	Untreated	PS	0.50046129898952	0.50046129898952	0.369019824868657	0.248939702649425	0.233713384368648	0.248939702649425	0.186442395623902	0.236773758193924	0.686903694613422	0.837989013049073	0.058507568503314	0.249121588364223	0.0316804171532116	NA_[1335_701.56_4.9]	NA	2-[[(E,2S,3R)-2-(2-deuteriooxyhexadecanoylamino)-3-hydroxyoctadec-4-enoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2089	PET	PS	0.498948491705055	0.498948491705055	0.339270455354231	0.337150058962997	0.654696934762834	0.620558033490837	0.155748443057779	0.13009527021034	0.207365988242079	0.143348136680174	0.0583307103206596	0.307452298684882	0.0291264285251006	N-henicosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2089_759.64_7.2]	N-henicosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-henicosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1633	PET	PS	0.49088576516674	0.49088576516674	0.398274343925319	0.354265732114078	0.595407623518657	0.431957138441894	0.104521858351918	0	0.494893549905383	0.467763399118477	0.0573881189030685	0.364840417587951	0.034191922782107	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1633_717.59_6.1]	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1747	PET	PS	0.444393329871402	0.444393329871402	0.318579053137023	0.214918699007576	0.548864418369902	0.473321340301284	0.1044710884985	0.0501827571089755	0.302401652542668	0.214918699007576	0.0519528148177774	0.416793232405728	0.0273500679895675	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1747_731.61_6.4]	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2150	PET	PS	0.418301059238441	0.418301059238441	0.335981424916076	0.313072765405571	0.579208782527609	0.424553582177255	0.160907723289168	0.165098133507903	0.26782776893145	0.312101142488643	0.048902438465905	0.465695670871633	0.0288440646809698	N-(2-hydroxytricosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2150_785.65_7.3]	N-(2-hydroxytricosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxytricosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2141	PS	Untreated	0.391536412174553	0.391536412174553	0.500312463109747	0.522882157135645	0.49001916873811	0.359770589361258	0.701227316382842	0.580799792012882	0.309690904208289	0.333515525036423	0.0457734564153065	0.51146912728694	0.0429519133393686	NA_[2141_719.58_7.3]	NA	benzyl N-[10-(8-cyanooctyl)-9-nonylnonadecyl]carbamate	[M + K]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.968
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2173	PET	PS	0.386704819614385	0.386704819614385	0.616020911274049	0.622823024132223	0.7544496615613	0.693978065187254	0.367744841946915	0.118913994951262	0.725868230313932	0.622823024132223	0.0452086080778528	0.556677735364793	0.0528855040544489	NA_[2173_778.64_7.4]	NA	5-Butylnon-2-enyl 8-[[8-(5-butylnon-2-enoxy)-8-oxooctyl]-[3-(dimethylamino)propanoyl]phosphanyl]octanoate	[M + H]+	821	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.995	0.94
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2678	PS	Untreated	0.334435933974849	0.334435933974849	0.544016530502582	0.732113453094505	0.450132731877395	0.350398195632184	0.7581763968026	0.768656368771493	0.423740462827751	0.408995475413681	0.0390979949029246	0.595775730267717	0.0467039152454719	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine_[2678_842.66_8.8]	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine	2,3-bis[[(E)-icos-11-enoyl]oxy]propyl 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	56	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.996
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1645	PET	PS	0.333103931271628	0.333103931271628	0.605599971355086	0.623008844723935	0.773255360907704	0.711283668393858	0.440151429636076	0.623008844723935	0.603393123521479	0.563673455268419	0.0389422740918196	0.634718004359537	0.0519908645215219	N-hexadecanoylphytosphingosine-1-phosphocholine_[1645_703.58_6.1]	N-hexadecanoylphytosphingosine-1-phosphocholine	[2-(Hexadecanoylamino)-3,4-dihydroxyoctadecyl] 2-(trimethylazaniumyl)ethyl phosphate	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1587	Untreated	PS	0.312738793724607	0.312738793724607	0.316580974121255	0.240814686122219	0.338584524652898	0.240814686122219	0.14920980199313	0.0267074859589075	0.461948595717737	0.385845787153211	0.0365614412831338	0.671279445642671	0.0271785325530983	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1587_717.59_6]	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2405	PET	PS	0.309055763260679	0.309055763260679	0.319120244038813	0.26671239078565	0.494304402603622	0.306706773473442	0.185248639342943	0.234533652833309	0.277807690169873	0.26671239078565	0.0361308682146406	0.707410313857311	0.0273965293240887	NA_[2405_788.67_8]	NA	Bis(5-methyl-2-propan-2-ylcyclohexyl)-octadecyl-(3-triethoxysilylpropyl)azanium	[M + K]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.997	0.925
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2574	PS	Untreated	0.302169494068873	0.302169494068873	0.32638497085081	0.177788604889018	0.392596201629673	0.177788604889018	0.444364102495815	0.375669790699698	0.142194608426942	0.0789092109024186	0.0353258132238044	0.742736127081116	0.0280202074042301	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2574_831.7_8.5]	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M + H]+	811	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1470	Untreated	PS	0.282357836765202	0.282357836765202	0.407252488590354	0.249077315174109	0.358757362843027	0.240870921446827	0.290321133081416	0.249077315174109	0.572678969846618	0.482003039179801	0.0330096862841207	0.775745813365236	0.034962698087611	N-hexadecanoylphytosphingosine-1-phosphocholine_[1470_703.58_5.5]	N-hexadecanoylphytosphingosine-1-phosphocholine	[2-(Hexadecanoylamino)-3,4-dihydroxyoctadecyl] 2-(trimethylazaniumyl)ethyl phosphate	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2399	PET	PS	0.264723248430682	0.264723248430682	0.316604411390211	0.251993913446646	0.465530767620369	0.251993913446646	0.200807519189687	0.189420133305712	0.283474947360575	0.278109411633176	0.0309480745529181	0.806693887918154	0.0271805446467784	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2399_787.67_8]	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1975	Untreated	PS	0.263788694246822	0.263788694246822	0.620463376484854	0.685002166894997	0.574518307161707	0.561449649890453	0.511541564023017	0.7079523615148	0.775330258269839	0.685002166894997	0.0308388183665904	0.837532706284745	0.0532668904775687	NA_[1975_824.63_6.9]	NA	[(2R,3R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)pyrrolidin-2-yl]methyl-[(3S,6E,10E,14E,18E,22E,26E,30E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-6,10,14,18,22,26,30,34-octaenoxy]phosphinic acid	[M - H2O + H]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.996
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2298	PET	PS	0.22475868442762	0.22475868442762	0.436431883115368	0.538793931644607	0.581803741638555	0.539681270452256	0.357045057210935	0.287546952132085	0.370446850496614	0.538793931644607	0.0262759261353776	0.863808632420122	0.0374677542621935	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2298_799.67_7.7]	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1738	Untreated	PS	0.209969663538289	0.209969663538289	0.5756268020935	0.616446944327724	0.622936950859323	0.681174663250639	0.446986895941444	0.451552672680292	0.656956559479733	0.616446944327724	0.0245469819502296	0.888355614370352	0.0494176626455825	NA_[1738_864.62_6.4]	NA	2-[4-(5-ethyl-3,6-dioxopiperazin-2-yl)butyl-[2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxyethyl]amino]ethyl (9Z,12Z)-octadeca-9,12-dienoate	[M + K]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.999	0.841
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1469	PS	Untreated	0.17658280786959	0.17658280786959	0.551904148077443	0.572796614194256	0.564382836053495	0.513729921886983	0.633956208024212	0.632527029688864	0.457373400154622	0.572796614194256	0.0206438155134028	0.908999429883755	0.0473810686076403	N-hexadecanoylsphingosine-1-phosphocholine_[1469_725.56_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2431	Untreated	PS	0.17465600403604	0.17465600403604	0.406120519443907	0.335286971214687	0.406251655103243	0.173369509421672	0.318726949596219	0.335286971214687	0.493382953632259	0.657582245312279	0.0204185581208501	0.929417988004605	0.0348655183364235	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2431_813.68_8.1]	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2223	Untreated	PS	0.140632571279512	0.140632571279512	0.421890221722617	0.415641601430975	0.433450967377899	0.291956841891217	0.345793563255221	0.415641601430975	0.486426134534732	0.669095227238517	0.0164409711890739	0.945858959193679	0.0362193500628065	NA_[2223_811.67_7.5]	NA	4-[20-(3,5-Dihydroxy-4-azatricyclo[5.2.1.02,6]deca-2,5,8-trien-4-yl)-10,11-dioctylicosyl]-4-azatricyclo[5.2.1.02,6]deca-2,5,8-triene-3,5-diol	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.994
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2433	Untreated	PS	0.13558970727156	0.13558970727156	0.440611332414265	0.404011443530708	0.451554806080713	0.224560084808663	0.367344741945261	0.404011443530708	0.502934449216821	0.578845892950144	0.0158514236816166	0.961710382875296	0.0378265607228136	N-[(15Z)-tetracosenoyl]sphing-4-enine-1-phosphocholine_[2433_835.67_8.1]	N-[(15Z)-tetracosenoyl]sphing-4-enine-1-phosphocholine	C24:1 Sphingomyelin	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1467	PS	Untreated	0.134628505397117	0.134628505397117	0.468359718673069	0.331789641005001	0.501664358006451	0.282940121496988	0.519021651704936	0.462748253084186	0.384393146307819	0.331789641005001	0.0157390521863021	0.977449435061598	0.0402087645849509	N-hexadecanoylsphingosine-1-phosphocholine_[1467_741.53_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + K]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2213	Untreated	PET	0.102726000842815	0.102726000842815	0.513221632251721	0.644616940581542	0.476117319848293	0.703190897597977	0.484704256215761	0.426328697850822	0.578843320691108	0.644616940581542	0.012009417198728	0.989458852260326	0.0440601677906428	NA_[2213_802.64_7.5]	NA	6-[Bis[2-(octadecanoylamino)ethyl]amino]-6-oxohexanoic acid	[M + K]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.986
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2726	PS	Untreated	0.0901667361264389	0.0901667361264389	0.495570300946027	0.462563938320667	0.512737473592394	0.382335126139458	0.532070082686062	0.462563938320667	0.441903346559623	0.522704724559625	0.0105411477396743	1	0.0425447978798989	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2726_815.7_8.9]	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
