data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2462	Untreated	PET	0.488756833837752	0.488756833837752	0.342448088761678	0.241980430523142	0.160886484537977	0.240679023090788	0.216814463371328	0.176826255309883	0.649643318375729	0.576156183156324	0.0976910135699681	0.0976910135699681	0.0630757916567139	NA_[2462_813.68_8.1]	NA	NA	[M + H3N + H]+	5	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.318	0.581	0.712
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2643	Untreated	PS	0.472174973570801	0.472174973570801	0.401921782440498	0.161419071521258	0.534511481121842	0.651486271024778	0.0995394463144249	0.137199267422017	0.571714419885225	0.713559543012207	0.0943766890957003	0.192067702665668	0.07403029960887	NA_[2643_549.57_8.7]	NA	4-Methyl-1-(4-methyl-2,2,6,6-tetrapropylpiperidin-1-yl)oxy-2,2,6,6-tetrapropylpiperidine	[M + H]+	57	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.917	0.975	0.875
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1379	PS	PET	0.460889658134437	0.460889658134437	0.440234512446797	0.376463038548499	0.158884783538177	0.218216453366432	0.619774441672614	0.731414413334831	0.542044312129601	0.619407703863219	0.0921210195538988	0.284188722219567	0.081087152472076	NA_[1379_486.48_5.1]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H]+	42	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.997	0.986	0.957
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1998	PS	Untreated	0.440034871376326	0.440034871376326	0.350167216244283	0.324987947929307	0.345580344623363	0.414369947919248	0.572478087742906	0.392446315299412	0.13244321636658	0.189007900841813	0.0879526374155087	0.372141359635076	0.0644975840183681	NA_[1998_516.49_6.9]	NA	2-[[(3S,10R,13R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3-carbonyl]amino]ethyl-trimethylazanium	[M + H3N + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.533	0.702	0.829
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3145	PET	PS	0.429024160681577	0.429024160681577	0.162919144513921	0	0.429024160681577	0.28707248204473	0	0	0.0597332728601862	0	0.0857518549129916	0.457893214548068	0.030008209575384	NA_[3145_505.52_10.1]	NA	4-[2,3-Bis(2,2,6,6-tetramethylpiperidin-4-yl)cyclopentyl]-2,2,6,6-tetramethylpiperidine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.873	0.645	0.71
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2466	PET	Untreated	0.360579046498562	0.360579046498562	0.43168435622972	0.382725301829021	0.574968604783607	0.382725301829021	0.505694905620509	0.585719922469555	0.214389558285045	0.156846608235279	0.0720712838896706	0.529964498437738	0.0795122922527333	NA_[2466_522.54_8.2]	NA	(E)-1-N-[(1E,7Z)-1-methoxy-2,3,3,6,6,7,8,9,9-nonamethyldeca-1,7-dienyl]-1-N,5-N,5-N,3,3,6-hexamethylhept-4-ene-1,5-diamine	[M + H3N + H]+	158	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.592	0.878	0.848
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1255	Untreated	PS	0.355627352733245	0.355627352733245	0.416926001216884	0.335493851908102	0.361539352452345	0.335493851908102	0.26680564923253	0.213473447883896	0.622433001965775	0.607458521407874	0.071081556586988	0.601046055024726	0.0767939388539694	NA_[1255_468.45_4.6]	NA	N,N'-(Iminodiethylene)bis(dodecanamide)	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.884	0.953	0.813
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2401	Untreated	PS	0.353255728883731	0.353255728883731	0.468226574194273	0.416760490349279	0.517635875795002	0.57789945321409	0.266894058952043	0.38392168650685	0.620149787835774	0.481799235429611	0.0706075246724948	0.671653579697221	0.0862430330646945	NA_[2401_592.58_8]	NA	1-Hydroxy-4-[1-(1-hydroxy-2,2,6-trimethyl-6-propan-2-ylpiperidin-4-yl)-3-(1,2,2,6-tetramethyl-6-propan-2-ylpiperidin-4-yl)propyl]-2,2,6-trimethyl-6-propan-2-ylpiperidine	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.942	0.965	0.976
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3049	PET	Untreated	0.350423985873661	0.350423985873661	0.691749750234962	0.791764001017626	0.858123874426519	0.89687636894072	0.70942548772551	0.791764001017626	0.507699888552858	0.523099665658574	0.07004152574282	0.741695105440041	0.127413948438678	NA_[3049_546.56_9.6]	NA	36-Isocyanatohexatriacontan-1-ol	[M - H2O + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.844	0.95	0.925
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3472	PET	PS	0.333333333333333	0.333333333333333	0.111111111111111	0	0.333333333333333	0	0	0	0	0	0.0666255056411123	0.808320611081153	0.0204656458166652	NA_[3472_505.52_11.6]	NA	2-Propyl-4,6-di(tridecyl)-1,3,5-triazine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.924	0.581	0.713
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1357	PET	Untreated	0.323910838346631	0.323910838346631	0.568938592046233	0.617766977583835	0.721252842880972	0.687140113583137	0.588220928723385	0.476596541844695	0.397342004534341	0.54129304334154	0.0647421701624427	0.873062781243596	0.104793261446253	NA_[1357_515.34_5]	NA	[(4R,5S,6S,7R)-4,7-dibenzyl-1,3-bis(cyclopentylmethyl)-5,6-dihydroxy-1,3-diazepan-2-ylidene]cyanamide	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.947	0.809	0.725
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2981	PET	Untreated	0.323019908612614	0.323019908612614	0.711578486781555	0.751113268968652	0.847265100900763	0.906447038293838	0.763225167155755	0.751113268968652	0.524245192288149	0.618762729142245	0.064564094230384	0.93762687547398	0.131066219531069	NA_[2981_556.54_9.5]	NA	(2S)-1-[4-[2-[[(2S)-2-hydroxydodecyl]-[(2S)-2-hydroxypropyl]amino]ethyl]piperazin-1-yl]dodecan-2-ol	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.906	0.794	0.769
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2640	PET	PS	0.312058292220208	0.312058292220208	0.331246833032001	0.162139660942156	0.459209452167745	0.555343114885064	0.147151159947538	0.139443685930098	0.387379886980719	0.162139660942156	0.06237312452602	1	0.0610126232645247	NA_[2640_503.5_8.7]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H3N + H]+	8	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.992	0.84	0.734
