data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	699	PET	Untreated	0.546360217218564	0.546360217218564	0.249570735390735	0	0.546360217218564	0.639080651655692	0.202351988953642	0	0	0	0.0291290158493238	0.0291290158493238	0.00929784455170941	10-undecynoic acid_[699_200.16_2.7]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.994	0.962	0.853
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	664	PET	Untreated	0.543794452170015	0.543794452170015	0.242878064487459	0	0.543794452170015	0.631383356510046	0.184839741292361	0	0	0	0.0289922229269817	0.0581212387763055	0.00904850676938895	NA_[664_200.16_2.6]	NA	Cyclobutanecarboxylic acid, 3-cyclohexyl-	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.968	0.846	0.803
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	395	PS	PET	0.532084766500003	0.532084766500003	0.500218506725325	0.4721236630681	0.148994736824077	0.166480462480551	0.68107950332408	0.888328345168821	0.670581280027817	0.720660165799584	0.0283679248746659	0.0864891636509714	0.0186358144521176	henicosanoic acid_[395_344.35_1.6]	henicosanoic acid	Heneicosanoic Acid	[M + H3N + H]+	21	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.902	0.916
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	474	PET	Untreated	0.523582633170533	0.523582633170533	0.274489773587655	0.0248312318956139	0.557023024938556	0.658458289015652	0.233005904056386	0.00392007096106005	0.0334403917680231	0.0248312318956139	0.0279146364237461	0.114403800074718	0.0102262119869791	10-undecynoic acid_[474_200.16_1.9]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.967	0.848
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	509	PET	Untreated	0.522551581760303	0.522551581760303	0.29540309184282	0.045771093864354	0.576878811180948	0.730636433542844	0.255003234926868	0.0249754640469379	0.0543272294206446	0.045771093864354	0.0278596662558541	0.142263466330572	0.0110053449325647	10-undecynoic acid_[509_200.16_2]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.993	0.962	0.833
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	500	PET	Untreated	0.515524978838692	0.515524978838692	0.293555536504951	0.0414224291868038	0.566629721105366	0.699889163316097	0.262932146142815	0.0195004423345218	0.0511047422666737	0.0414224291868038	0.0274850452248564	0.169748511555428	0.0109365136158429	2,6-Nonadienoic acid_[500_172.13_1.9]	2,6-Nonadienoic acid	nona-2,6-dienoic acid	[M + H3N + H]+	293	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.926	0.592	0.716
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	502	PET	Untreated	0.511238365571923	0.511238365571923	0.294402435010064	0.0616475240631395	0.567591533112772	0.702774599338316	0.25926260437657	0.018973810383445	0.0563531675408484	0.0616475240631395	0.0272565058439635	0.197005017399392	0.0109680651142158	NA_[502_135.08_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M - H2O + H]+	429	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.931	0.53	0.751
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	476	PET	Untreated	0.508356440785236	0.508356440785236	0.267143947898925	0.0251765972703308	0.542873294754213	0.628619884262638	0.224041694973587	0.00483837616711064	0.0345168539689768	0.0251765972703308	0.0271028569688398	0.224107874368231	0.00995254069594881	NA_[476_198.15_1.9]	NA	Undeca-2Z-en-8,10-diensaure	[M + H3N + H]+	16	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.997	0.839	0.889
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	533	PET	Untreated	0.506625776604032	0.506625776604032	0.28029887703647	0.0445448301867985	0.555238520794602	0.665715562383805	0.237045366124239	0.0196592101745576	0.0486127441905697	0.0445448301867985	0.0270105871754409	0.251118461543672	0.0104426321564646	NA_[533_155.11_2]	NA	1,2,3,3a,4,5,6,6a-Octahydropentalene-2-carboxylate	[M + H]+	266	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.743	0.846
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	127	PET	Untreated	0.474819707478957	0.474819707478957	0.325461879804729	0.174446372585491	0.579146849869361	0.533006719027339	0.292911647154422	0.12120853579937	0.104327142390404	0.138535054585722	0.0253148570280931	0.276433318571765	0.012125195533017	NA_[127_200.16_0.7]	NA	Cyclobutanecarboxylic acid, 3-cyclohexyl-	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.988	0.891	0.905
