data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Macrolides	NPC superclass: Macrolides	1547	Untreated	PET	0.725609154735363	0.725609154735363	0.241869718245121	0	0	0	0	0	0.725609154735363	0.59834958932917	0.0339790311817618	0.0339790311817618	0.0136720528821656	NA_[1547_516.33_5.8]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.828	0.894	0.716
filtered	superclass	Macrolides	NPC superclass: Macrolides	1549	Untreated	PS	0.714766139451659	0.714766139451659	0.302734996106475	0.108453707472958	0.11952975364986	0.108453707472958	0.036954547608953	0.0375131425777	0.751720687060612	0.818602812091998	0.0334712713884559	0.0674503025702177	0.0171125550816381	NA_[1549_530.35_5.8]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.912	0.816	0.626
filtered	superclass	Macrolides	NPC superclass: Macrolides	1405	Untreated	PS	0.70879772977111	0.70879772977111	0.256356875969833	0	0.0602728981383887	0	0	0	0.70879772977111	0.979438031273007	0.033191781008108	0.100642083578326	0.0144909614580784	NA_[1405_516.33_5.2]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.721	0.768	0.513
filtered	superclass	Macrolides	NPC superclass: Macrolides	1523	Untreated	PS	0.664589959474418	0.664589959474418	0.27925639172792	0.0786678905472433	0.136810456951567	0.0786678905472433	0.0181843793788875	0.00927411808225462	0.682774338853305	0.67130806057935	0.0311216070093589	0.131763690587685	0.0157853913383136	NA_[1523_507.27_5.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	238	Polyketides	Macrolides	Polyene macrolides	0.496	0.964	0.494
filtered	superclass	Macrolides	NPC superclass: Macrolides	1517	Untreated	PS	0.60749866183042	0.60749866183042	0.293314945135719	0.159298306769081	0.182028554579004	0.159298306769081	0.0452088094988665	0.0464647441859579	0.652707471329286	0.480768635872298	0.0284481195399786	0.160211810127663	0.0165800724047685	NA_[1517_530.35_5.7]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.828	0.852	0.621
filtered	superclass	Macrolides	NPC superclass: Macrolides	1440	Untreated	PS	0.596923735399723	0.596923735399723	0.266050541113735	0.0885742143649704	0.118925224295323	0.0885742143649704	0.0411513318230795	0.0421573570211617	0.638075067222803	0.625442302952822	0.0279529138874747	0.188164724015138	0.0150389105913185	NA_[1440_507.27_5.3]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Macrolides	Open-chain polyketides	0.521	0.708	0.415
filtered	superclass	Macrolides	NPC superclass: Macrolides	806	Untreated	PS	0.57725875800568	0.57725875800568	0.343890124832911	0.233071490059818	0.200877211841563	0.233071490059818	0.126767202325745	0.154616478989306	0.704025960331426	0.669544635594248	0.0270320367517604	0.215196760766898	0.0194389111893917	NA_[806_991.55_3.1]	NA	[(1S,2S,4S,7R,9S,10S,12R,15S)-4-acetyloxy-15-[(Z,4R,5S)-4-decanoyloxy-5-[(2-methylpropan-2-yl)oxycarbonylamino]-5-phenylpent-2-en-3-yl]oxy-1,9,12-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate	[M + H3N + H]+	398	Polyketides	Macrolides	Open-chain polyketides	0.771	0.895	0.566
filtered	superclass	Macrolides	NPC superclass: Macrolides	1401	Untreated	PET	0.576075691973921	0.576075691973921	0.192025230657974	0	0	0	0	0	0.576075691973921	0.728227075921763	0.0269766358002689	0.242173396567167	0.0108545175779516	NA_[1401_528.33_5.2]	NA	4-acetyl-3,6,6',11'-tetramethyl-17'-oxo-hexahydro-3H-7'-oxaspiro[furo[3,2-b]pyridine-2,5'-pentacyclo[8.8.0.0²,⁸.0⁶,⁸.0¹¹,¹⁶]octadecan]-14'-yl acetate	[M + H]+	-1	Polyketides	Macrolides	Erythromycins	0.625	0.828	0.543
filtered	superclass	Macrolides	NPC superclass: Macrolides	2423	Untreated	PET	0.56091391671734	0.56091391671734	0.186971305572447	0	0	0	0	0	0.56091391671734	0.682741750152021	0.0262666358907417	0.268440032457909	0.0105688367927208	NA_[2423_530.35_8]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.747	0.834	0.684
filtered	superclass	Macrolides	NPC superclass: Macrolides	927	Untreated	PS	0.556506112809689	0.556506112809689	0.383450923217409	0.320787103619613	0.260598630442591	0.320787103619613	0.166624013199974	0.214120049242673	0.723130126009663	0.764759060079296	0.0260602259999021	0.294500258457811	0.0216751453550321	NA_[927_530.35_3.5]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.782	0.811	0.553
