data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Steroids	NPC superclass: Steroids	923	PS	Untreated	0.560289825850618	0.560289825850618	0.360044998214006	0.229566653651588	0.466197654181585	0.440818929720537	0.587113583155525	0.531774095814987	0.0268237573049073	0	0.149637359072734	0.149637359072734	0.0725938021921238	NA_[923_434.36_3.5]	NA	(3E)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,1-diol	[M + H3N + H]+	70	Terpenoids	Steroids	Ergostane steroids	0.954	0.879	0.261
filtered	superclass	Steroids	NPC superclass: Steroids	1674	PET	PS	0.545399530831418	0.545399530831418	0.533369432984867	0.527530869484533	0.815824114123116	0.919941472884816	0.270424583291698	0.385251737969823	0.513859601539786	0.614369977017401	0.145660587909517	0.295297946982251	0.107540211099987	cholesterol-2,2,3,4,4,6-d6_[1674_369.35_6.2]	cholesterol-2,2,3,4,4,6-d6	Cholesterin	[M - H2O + H]+	311	Terpenoids	Steroids	Cholestane steroids	0.998	0.999	0.863
filtered	superclass	Steroids	NPC superclass: Steroids	493	PET	Untreated	0.537374026364375	0.537374026364375	0.287246771104416	0.0569467831618582	0.590187596856729	0.770562790570186	0.218739145964166	0	0.0528135704923531	0.0569467831618582	0.14351720561295	0.438815152595201	0.0579159143588099	NA_[493_306.24_1.9]	NA	(8R,9S,10S,13S,14S)-10-[(R)-hydroxy(tritio)methyl]-13-methyl-1,2,3,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one	[M + H3N + H]+	-1	Terpenoids	Steroids	Androstane steroids	0.993	0.899	0.786
filtered	superclass	Steroids	NPC superclass: Steroids	1168	PS	PET	0.333333333333333	0.333333333333333	0.111111111111111	0	0	0	0.333333333333333	0	0	0	0.08902378267388	0.527838935269081	0.022402694278099	NA_[1168_290.21_4.3]	NA	(8R,9S,13S,14S,15S)-13-methyl-14,15-ditritio-2,4,6,7,8,9,11,12,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione	[M + H3N + H]+	90	Terpenoids	Steroids	Estrane steroids	0.987	0.91	0.654
filtered	superclass	Steroids	NPC superclass: Steroids	1773	Untreated	PET	0.333333333333333	0.333333333333333	0.111111111111111	0	0	0	0	0	0.333333333333333	0	0.08902378267388	0.616862717942962	0.022402694278099	NA_[1773_507.27_6.4]	NA	(4R)-4-[(3S,5R,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-3-(2-hydroxyethoxy)-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid	[M + K]+	-1	Terpenoids	Steroids	Cholane steroids	0.989	0.972	0.984
filtered	superclass	Steroids	NPC superclass: Steroids	1928	PS	Untreated	0.320277842299147	0.320277842299147	0.479243320583405	0.422544696229599	0.445417939066019	0.422544696229599	0.656294932491671	0.658231256732046	0.336017090192524	0.387221296150807	0.0855370350842954	0.702399753027257	0.0966270743626592	NA_[1928_518.49_6.8]	NA	(3S,10R,13R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-3-(2-methyl-1-propan-2-yloxypropan-2-yl)oxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene	[M + H3N + H]+	20	Terpenoids	Steroids	Unsaturated fatty acids	0.887	0.716	0.388
filtered	superclass	Steroids	NPC superclass: Steroids	2131	PET	Untreated	0.303486873868723	0.303486873868723	0.557208820170334	0.527088021430994	0.755398614695097	0.661514808221395	0.464316104989532	0.492891712161715	0.451911740826374	0.457946391611724	0.0810526485109934	0.78345240153825	0.112346809626026	NA_[2131_472.45_7.3]	NA	7,7,12,16-tetramethyl-15-[4-(1,2,2-trimethylcyclopropyl)butan-2-yl]pentacyclo[9.7.0.0¹,³.0³,⁸.0¹²,¹⁶]octadecan-6-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.762	0.763	0.429
filtered	superclass	Steroids	NPC superclass: Steroids	1852	Untreated	PS	0.271294876197539	0.271294876197539	0.397465591171784	0.34679748094496	0.400115563861803	0.34679748094496	0.260493166728006	0.258734808300349	0.531788042925544	0.595364128776633	0.0724550882974406	0.855907489835691	0.0801387011257685	NA_[1852_444.42_6.6]	NA	9a,11a-dimethyl-1-[6-methyl-5-(propan-2-yl)hept-6-en-2-yl]-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.868	0.761	0.363
filtered	superclass	Steroids	NPC superclass: Steroids	1708	Untreated	PS	0.268043517481878	0.268043517481878	0.472822201018356	0.365120406718799	0.43996175319346	0.25422405921468	0.355230666189865	0.365120406718799	0.623274183671743	0.869822551015229	0.0715867435423472	0.927494233378038	0.095332420955809	(25R)-24R,26R-dimethyl-26,27-cyclo-cholest-5-en-3beta-ol_[1708_430.4_6.2]	(25R)-24R,26R-dimethyl-26,27-cyclo-cholest-5-en-3beta-ol	9a,11a-dimethyl-1-[5-(2-methylcyclopropyl)hexan-2-yl]-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.895	0.937	0.64
filtered	superclass	Steroids	NPC superclass: Steroids	2316	PS	PET	0.115190414933308	0.115190414933308	0.445117376960251	0.423216167938159	0.385720047756236	0.423216167938159	0.500910462689544	0.627260906488275	0.448721620434972	0.346164861304917	0.0307640593954107	0.958258292773449	0.0897464566251888	N-(2-hydroxytetradecanoyl)sphinganine_[2316_545.52_7.8]	N-(2-hydroxytetradecanoyl)sphinganine	N-(1,3-dihydroxyoctadecan-2-yl)-2-hydroxytetradecanamide	[M + H3N + H]+	242	Fatty acids	Steroids	Cholane steroids	0.712	0.866	0.338
filtered	superclass	Steroids	NPC superclass: Steroids	1999	PET	PS	0.114287120665774	0.114287120665774	0.633708079108333	0.688244445207596	0.67879723433726	0.688244445207596	0.564510113671486	0.474690408324462	0.657816889316254	0.973450667948762	0.03052281537772	0.988781108151169	0.127770915220429	NA_[1999_458.44_6.9]	NA	1-{4-[2-ethyl-1-(propan-2-yl)cyclopropyl]butan-2-yl}-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.878	0.805	0.406
filtered	superclass	Steroids	NPC superclass: Steroids	2743	PS	Untreated	0.0420070963506057	0.0420070963506057	0.571272090198759	0.666421047945344	0.557515378954685	0.511208649140111	0.599153993996099	0.666421047945344	0.557146897645493	0.671440692936479	0.0112188918488312	1	0.115182305877001	NA_[2743_630.48_8.9]	NA	NA	[M - H2O + H]+	67	Terpenoids	Steroids	Cholane steroids	0.808	0.855	0.568
