sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	23627343.6	0.0858220557642375	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_110626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	6150073.1	35571701.7	0.17289229376395	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_110626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	21284813.9	0.0952673210828496	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_180626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	39971751.9	0.0507295053034691	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_180626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	36833470.7	0.0550517548703332	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_180626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	38122537.4	0.0531902475096004	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_210626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	7164814.1	41891195.5	0.171033889448202	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_210626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	20744532.2	0.0977485141843787	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_210626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	35199892.6	0.0576066303111391	kruskal_wallis	0.56114396864749	0.700716317748094	ns	0.0398761213050243	0.0401418838732396
A549_110626_PET100	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	33224531.5	14863016969.1	0.00223538273347015	kruskal_wallis	0.252138238153004	0.555997140542521	ns	0.000846448128469576	0.00104944516288607
