data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	551	Untreated	PS	100717790	100717790	594962487.777778	567318400	578011720	567318400	553078976.666667	561543900	653796766.666667	709295700	0.443390692509552	0.443390692509552	0.810051571012874	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	496	PET	Untreated	76417773.3333333	76417773.3333333	53283228.1111111	17194934	93426753.3333333	112312430	49413951	12234890	17008980	17194934	0.336414544424621	0.779805236934173	0.0725460235337799	NA_[496_170.12_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.938	0.527	0.783
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	499	PET	Untreated	28611438.8333333	28611438.8333333	19469409.4333333	6329044.5	34744187.3333333	42192530	17531292.4666667	4160559.2	6132748.5	6329044.5	0.125956354661936	0.905761591596109	0.0265079328901408	NA_[499_153.09_1.9]	NA	(3Z)-3-(hydroxymethylidene)cycloheptene-1-carbaldehyde	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.899	0.588	0.814
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	374	Untreated	PS	10189230	10189230	25909694.2222222	25045552	25565980.6666667	25045552	20986936	20871674	31176166	31136366	0.044856124681043	0.950617716277152	0.0352764904348281	4E,9Z-Tetradecadienal_[374_226.22_1.5]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.988	0.983	0.828
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	353	PET	Untreated	3330902.8	3330902.8	4395631.51111111	3514587	6163009.66666667	7191556.5	4191778	3514587	2832106.86666667	2927042.5	0.0146636587158436	0.965281374992995	0.00598472724636581	NA_[353_170.12_1.4]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.982	0.602	0.811
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	450	PS	Untreated	3083126.16666667	3083126.16666667	6654323.88888889	6552642	7478137.5	7414525	7783980.16666667	9249414	4700854	5162188.5	0.01357286975948	0.978854244752476	0.00905997542862949	NA_[450_170.12_1.7]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.681	0.865
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	51	PS	PET	1633266.36666667	1633266.36666667	3707534.17777778	3356036	3067119.56666667	2902151.5	4700385.93333333	4007818.8	3355097.03333333	3356036	0.00719014094102833	0.986044385693504	0.00504787099521233	NA_[51_153.09_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.898	0.623	0.856
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	253	PS	Untreated	1579226	1579226	15770741.3333333	16318083	15628525.3333333	14526876	16631462.3333333	16974348	15052236.3333333	16318083	0.00695223862407118	0.992996624317575	0.0214721332109864	9E,11E-Hexadecadienal_[253_254.25_1.1]	9E,11E-Hexadecadienal	hexadeca-9,11-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.971	0.705
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	760	PET	PS	1130026.83333333	1130026.83333333	6869684.27777778	7126077	7486948.66666667	7562026	6356921.83333333	6227118.5	6765182.33333333	7126077	0.00497472571812828	0.997971350035703	0.00935319226992142	4E,9Z-Tetradecadienal_[760_226.22_2.9]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.951	0.89	0.795
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	765	Untreated	PS	460815.133333333	460815.133333333	3452092.63333333	3428640.8	3423542.23333333	3463105.5	3235960.26666667	3235154.5	3696775.4	3792664.2	0.00202864996429676	1	0.00470008297726175	NA_[765_184.17_2.9]	NA	Cyclobutyl(cyclohexyl)methanone	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.841	0.772	0.729
