data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	330	Untreated	PS	14042573.3333333	14042573.3333333	54471140.6666667	56972212	57023003.3333333	59296876	46173922.6666667	41591716	60216496	63592388	0.18889789389277	0.18889789389277	0.136373519236681	N-octadecanoylglycinate_[330_359.33_1.3]	N-octadecanoylglycinate	Stearoylglycine	[M + H3N + H]+	631	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.996	0.915
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	307	Untreated	PS	12346136	12346136	56040907.5555556	56532332	53246370.6666667	55575270	51265108	47196716	63611244	57299456	0.166077757456163	0.354975651348933	0.140303575270003	NA_[307_343.33_1.3]	NA	(E)-N-(2-Hydroxyethyl)-6-octadeceneamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.998	0.985
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	273	Untreated	PS	9042057.5	9042057.5	17504009.9444444	18613262	17099849.3333333	18613262	13185061.5	10136589	22227119	21116546	0.121631952895196	0.476607604244129	0.0438229015890337	linoleoyl ethanolamide_[273_341.32_1.1]	linoleoyl ethanolamide	N-(2-hydroxyethyl)octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.996	0.972
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	196	Untreated	PS	5202426	5202426	10857150.1111111	11184675	10496325	11184675	8436349.66666667	6973974.5	13638775.6666667	13755082	0.0699819962627688	0.546589600506898	0.0271818756026015	palmitoleoyl ethanolamide_[196_315.3_0.9]	palmitoleoyl ethanolamide	N-(2-hydroxyethyl)hexadec-9-enamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.999	0.998
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	298	Untreated	PS	5180804.5	5180804.5	15908144.5	17041584	16740383.3333333	17751994	12901622.8333333	14214910	18082427.3333333	19091716	0.0696911481599422	0.61628074866684	0.0398275054173453	Alpha-Linolenoyl ethanolamide_[298_339.3_1.2]	Alpha-Linolenoyl ethanolamide	Alpha-Lea	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.959	0.712
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	269	PET	PS	4456947.5	4456947.5	19577522.2777778	20462116	22468181	23318434	18011233.5	20462116	18253152.3333333	13212055	0.0599539682617988	0.676234716928639	0.0490141307539917	C16:0-NAGME_[269_328.28_1.1]	C16:0-NAGME	NA	[M + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.826	0.819
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	369	Untreated	PET	4281400	4281400	132166305.555556	133828620	130044710	131685480	132128096.666667	134221380	134326110	133828620	0.0575925383271993	0.733827255255838	0.330890522807635	NA_[369_341.32_1.4]	NA	(E)-N,N-dimethyl-18-oxooctadec-9-enamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.996	0.757
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	217	PET	PS	3363869.16666667	3363869.16666667	12481285.0555556	12158383	13627623.3333333	15167476	10263754.1666667	10855666	13552477.6666667	12158383	0.0452500966760719	0.77907735193191	0.0312480470720875	N-hexadecanoylglycinate_[217_331.3_1]	N-hexadecanoylglycinate	Elmiric Acid	[M + H3N + H]+	631	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.946	0.883
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1415	PET	Untreated	2673411.1	2673411.1	4968739.43333333	4862371	6367235.06666667	4862371	4845159.26666667	5795104.5	3693823.96666667	3187046.8	0.0359621925634396	0.815039544495349	0.0124396969551327	NA_[1415_501.48_5.3]	NA	NA	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.996	0.927	0.747
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	466	PS	PET	1535645.66666667	1535645.66666667	11406154.8888889	11840351	10677604.3333333	10487169	12213250	11944939	11327610.3333333	13116866	0.02065719902707	0.835696743522419	0.0285563596451052	linoleoyl ethanolamide_[466_341.32_1.8]	linoleoyl ethanolamide	N-(2-hydroxyethyl)octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.984	0.768
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	583	PS	Untreated	1337725.16666667	1337725.16666667	7323473.27777778	7016407	7183502.66666667	7016407	8062321.16666667	8647206	6724596	5912660	0.0179948119616268	0.853691555484046	0.0183349900828772	N-gondoylethanolamine_[583_371.36_2.3]	N-gondoylethanolamine	N-cis-11-eicosaenoylethanolamine	[M + H3N + H]+	159	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.992	0.831
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	697	PET	Untreated	1258083.03333333	1258083.03333333	1583122.41111111	1013873.6	2271956.63333333	2487619.8	1463537	1013873.6	1013873.6	1013873.6	0.0169234818788362	0.870615037362882	0.00396349281368726	Putative (3-hydroxyoctadecanoyl)glycine_[697_375.32_2.7]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.943	0.726
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	483	PS	Untreated	1196187.1	1196187.1	4955702.91111111	5198483.5	4633919.16666667	4390684.5	5714688.33333333	5456697	4518501.23333333	5366615	0.0160908701366963	0.886705907499579	0.0124070588206583	N-(11Z,14Z)-eicosadienoylethanolamine_[483_369.35_1.9]	N-(11Z,14Z)-eicosadienoylethanolamine	N-(2-hydroxyethyl)icosa-11,14-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.993	0.934
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	454	Untreated	PS	1093939.06666667	1093939.06666667	3516708.83333333	3423383.2	3510220.43333333	3332865	2972983.5	2546163.8	4066922.56666667	3766587	0.0147154499987436	0.901421357498322	0.00880440456841522	N-gondoylethanolamine_[454_371.36_1.7]	N-gondoylethanolamine	N-cis-11-eicosaenoylethanolamine	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.999	0.987
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	513	Untreated	PET	997196.433333334	997196.433333334	5036797.2	5125705.5	4525589.33333333	4668384.5	5062016.5	5125705.5	5522785.76666667	6807033	0.0134140874028347	0.914835444901157	0.012610085844334	N-octadecanoylglycinate_[513_359.33_1.9]	N-octadecanoylglycinate	Stearoylglycine	[M + H3N + H]+	21	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.993	0.935
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	468	Untreated	PS	922013.033333334	922013.033333334	3327042.35555556	3163796.2	3352967.7	3163796.2	2853073.16666667	2538492.5	3775086.2	4676721.5	0.0124027353109794	0.927238180212136	0.00832955706679847	NA_[468_355.33_1.8]	NA	(9Z,12Z)-N-(2-hydroxyethyl)nonadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	1	0.999
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	286	PET	PS	894117.666666666	894117.666666666	15397129.5555556	14794708	15829117	14794708	14934999.3333333	14954170	15427272.3333333	13600262	0.012027492405878	0.939265672618014	0.0385481324227006	palmitoleoyl ethanolamide_[286_315.3_1.2]	palmitoleoyl ethanolamide	N-(2-hydroxyethyl)hexadec-9-enamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.987	0.887
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	573	PS	PET	803096.333333333	803096.333333333	4756262.5	4758995	4455792.5	4336422	5258888.83333333	5294249.5	4554106.16666667	5556169	0.0108030915957241	0.950068764213738	0.0119077413764419	linoleoyl ethanolamide_[573_341.32_2.3]	linoleoyl ethanolamide	N-(2-hydroxyethyl)octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.997	0.869
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	691	PET	Untreated	712611.8	712611.8	1524084.85555556	1469472.4	1878351.66666667	1872630	1528163.03333333	1362524.5	1165739.86666667	1013873.6	0.00958591171203683	0.959654675925775	0.00381568685405975	NA_[691_523.46_2.7]	NA	N-[3-[3-(cyclopentanecarbonylamino)propyl-dodecanoylamino]propyl]cyclopentanecarboxamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.911	0.736
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1253	Untreated	PS	507609.966666667	507609.966666667	2957212.98888889	2983334.2	3039243.26666667	3025865.8	2662392.86666667	2731912.8	3170002.83333333	3141783.5	0.00682826796387125	0.966482943889647	0.00740365517394038	NA_[1253_455.46_4.6]	NA	N-tetradecanoyltetradecanamide	[M + H3N + H]+	57	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.996	0.958	0.929
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1550	Untreated	PET	462197	462197	3884678.73333333	4504391	3618473.7	4846756.5	3954891.8	4178967.2	4080670.7	5587994.5	0.00621738179969556	0.972700325689342	0.00972565111515548	N-(docosanoyl)ethanolamine_[1550_366.37_5.8]	N-(docosanoyl)ethanolamine	N-(2-Hydroxyethyl)docosanamide	[M - H2O + H]+	24	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.997	0.966	0.822
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1412	PET	Untreated	459535.966666667	459535.966666667	1464347.03333333	1324192	1764970.83333333	1695573.9	1322635.4	1324192	1305434.86666667	1013873.6	0.00618158611037899	0.978881911799721	0.00366612771231471	NA_[1412_424.41_5.2]	NA	NA	[M - H2O + H]+	20	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.984	0.734
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	2406	PET	PS	458698.533333333	458698.533333333	1244279.68888889	1013873.6	1472572.13333333	1415687.8	1013873.6	1013873.6	1246393.33333333	1252335.5	0.00617032112431217	0.985052232924033	0.00311516884008157	NA_[2406_579.58_8]	NA	1-[6-(2-Oxohexadecyl)piperidin-2-yl]hexadecan-2-one	[M + H3N + H]+	57	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.989	0.885
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	638	PS	Untreated	318160.8	318160.8	1270868.55555556	1131907.6	1368817.26666667	1131907.6	1380974.6	1398081.1	1062813.8	1013873.6	0.00427983558373719	0.98933206850777	0.0031817365174878	NA_[638_395.36_2.5]	NA	8'-methyl-5-[(methylamino)methyl]-3-pentylspiro[cyclopentane-1,4'-tricyclo[6.3.1.0²,⁵]dodecane]-1',6'-diol	[M + H3N + H]+	18	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.989	0.896	0.773
raw	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1557	PS	PET	306174.1	306174.1	1115931.63333333	1013873.6	1013873.6	1013873.6	1320047.7	1013873.6	1013873.6	1013873.6	0.00411859288761755	0.993450661395388	0.00279383765793492	NA_[1557_421.38_5.9]	NA	N-(5Z,8Z,11Z,14Z-tetracosatetraenoyl)-ethanolamine	[M + H3N + H]+	70	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.995	0.921
