data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Wax monoesters	NPC class: Wax monoesters	2366	PS	PET	302716926.666667	302716926.666667	450734033.333333	376157060	300427066.666667	327697000	603143993.333333	669279500	448631040	476175800	0.557388982005077	0.557388982005077	0.511460224989875	NA_[2366_568.57_7.9]	NA	Stearic anhydride	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.997	0.962	0.842
raw	class	Wax monoesters	NPC class: Wax monoesters	1147	PS	PET	131088636.666667	131088636.666667	240681592.222222	238273500	154232000	164618720	285320636.666667	335768160	282492140	287445060	0.241371906581636	0.798760888586713	0.273107979884588	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
raw	class	Wax monoesters	NPC class: Wax monoesters	2962	PS	PET	25483576.6666667	25483576.6666667	32713964.8888889	28287748	22793580	24887944	48277156.6666667	51376760	27071158	28287748	0.0469225986550878	0.845683487241801	0.0371214299453802	NA_[2962_624.63_9.5]	NA	icosanoyl icosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.998	0.942	0.81
raw	class	Wax monoesters	NPC class: Wax monoesters	2422	PET	Untreated	13945276.6	13945276.6	13789710.1333333	9671746	21214368.3333333	22891672	12885670.3333333	9751453	7269091.73333333	8456457	0.0256772675827682	0.871360754824569	0.0156475609245241	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
raw	class	Wax monoesters	NPC class: Wax monoesters	1964	PS	PET	8745279.16666667	8745279.16666667	12152012.2777778	10235292	7838372.66666667	8880477	16583651.8333333	18349728	12034012.3333333	11914976	0.0161025757817172	0.887463330606286	0.0137892204138833	12-(octadecanoyloxy)octadecanoate_[1964_584.56_6.9]	12-(octadecanoyloxy)octadecanoate	12-Octadecanoyloxy-octadecanoic acid	[M + H3N + H]+	168	Fatty acids	Glycerolipids	Wax monoesters	0.999	0.963	0.771
raw	class	Wax monoesters	NPC class: Wax monoesters	2087	PS	Untreated	7735849.16666667	7735849.16666667	16119941.7222222	15248069	15533033	15437097	20281320.6666667	19269398	12545471.5	15103205	0.0142439246441648	0.901707255250451	0.0182917383874898	(2E)-geranyl hexadecanoate_[2087_410.4_7.2]	(2E)-geranyl hexadecanoate	Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadienyl ester	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.944	0.957	0.863
raw	class	Wax monoesters	NPC class: Wax monoesters	2381	PET	Untreated	6934923.16666667	6934923.16666667	8827032.55555556	6297219	12605374.1666667	13504827	8205272.5	6297219	5670451	6242131	0.0127691893767412	0.914476444627192	0.0100162750601942	NA_[2381_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.977	0.904
raw	class	Wax monoesters	NPC class: Wax monoesters	1224	PET	Untreated	5544818.83333333	5544818.83333333	10965940.8222222	10176326	13741120.0666667	13116742	10960401.1666667	10176326	8196301.23333333	6514680.5	0.0102096072358631	0.924686051863055	0.012443352721075	NA_[1224_396.38_4.5]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.925	0.947	0.848
raw	class	Wax monoesters	NPC class: Wax monoesters	1417	PET	Untreated	5452024.33333333	5452024.33333333	11292549.0555556	10506580	14457203.6666667	10506580	10415264.1666667	11228004	9005179.33333333	9025286	0.0100387458556945	0.93472479771875	0.0128139640087757	NA_[1417_396.38_5.3]	NA	Methyl 3-(2-octadecylcyclopropen-1-yl)propanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.953	0.982	0.904
raw	class	Wax monoesters	NPC class: Wax monoesters	833	Untreated	PET	5345257.66666667	5345257.66666667	9740734.27777778	9122535	6222918	6368868	11431109.1666667	13267193	11568175.6666667	12685962	0.00984215769559158	0.944566955414341	0.0110530773734462	NA_[833_428.41_3.2]	NA	ethyl 14-oxotetracosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.987	0.96	0.81
