data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	354	PS	Untreated	425174533.333333	425174533.333333	1581224855.55556	1630207400	1584109900	1473905200	1792369600	1925692800	1367195066.66667	1630207400	0.396471888790751	0.396471888790751	0.456007830958433	Ximenynic acid_[354_296.26_1.4]	Ximenynic acid	octadec-11-en-9-ynoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.973	0.977
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	427	PS	Untreated	147216416.666667	147216416.666667	596381387.777778	646594560	593535593.333333	646594560	671412493.333333	741133060	524196076.666667	457677860	0.137278143917148	0.533750032707898	0.171989823021707	stearolic acid_[427_298.27_1.7]	stearolic acid	Stearolsaeure	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.888	0.941
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	226	PS	Untreated	53983419.3333333	53983419.3333333	149341292.222222	136839680	146640926.666667	131295240	177683184.666667	199684220	123699765.333333	136839680	0.0503391114671727	0.584089144175071	0.0430683836644208	NA_[226_268.23_1]	NA	16-Methyloxacyclohexadeca-3,5-dien-2-one	[M + H3N + H]+	192	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.985	0.718	0.622
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	358	PS	Untreated	47290420	47290420	156668824.444444	159603120	154921160	146613920	181187866.666667	198502770	133897446.666667	159603120	0.04409794253695	0.628187086712021	0.0451815632436525	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid_[358_279.23_1.4]	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	Alpha-Esa	[M + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.934	0.961
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	538	PET	Untreated	37095638	37095638	25595255.3888889	10415086	47146528.3333333	63003136	19588347.5	6954673	10050890.3333333	10415086	0.0345913889725551	0.662778475684576	0.00738138971930946	NA_[538_352.25_2]	NA	NA	[M + Na]+	211	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.855	0.993
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	221	PS	Untreated	31388046	31388046	82861824.4444444	81060584	80539043.3333333	72037590	99717238	105475224	68329192	81060584	0.0292691045851389	0.692047580269715	0.0238964374367198	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid_[221_296.26_1]	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	Alpha-Esa	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.957	0.972
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	533	PET	Untreated	26404649.1	26404649.1	17642628.5222222	5355447	31972110.2666667	37730024	15388314.1333333	4058442.2	5567461.16666667	5355447	0.0246221263993876	0.716669706669103	0.0050879397301134	NA_[533_155.11_2]	NA	1,2,3,3a,4,5,6,6a-Octahydropentalene-2-carboxylate	[M + H]+	266	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.743	0.846
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	127	PET	Untreated	24672292	24672292	27792651.6666667	19945676	40974475.3333333	38576970	26101296.3333333	17179364	16302183.3333333	18079674	0.0230067171082611	0.739676423777364	0.00801509460123375	NA_[127_200.16_0.7]	NA	Cyclobutanecarboxylic acid, 3-cyclohexyl-	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.988	0.891	0.905
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	147	PS	Untreated	23754446.6666667	23754446.6666667	80335486.2222222	75576290	78579338.6666667	75576290	93090783.3333333	92603190	69336336.6666667	74368070	0.0221508335959738	0.761827257373338	0.0231678693213532	Ximenynic acid_[147_296.26_0.7]	Ximenynic acid	octadec-11-en-9-ynoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.961	0.976
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	198	PS	Untreated	19370646	19370646	50157353.5555556	45867624	47284273.3333333	42472244	61279216.6666667	59455570	41908570.6666667	45867624	0.0180629741544186	0.779890231527756	0.0144648282760823	stearolic acid_[198_298.27_0.9]	stearolic acid	Stearolsaeure	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.945	0.958
