data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty amides	NPC superclass: Fatty amides	1629	PS	PET	691818113.333333	691818113.333333	1499362951.11111	1451871600	1078025853.33333	1139593300	1769843966.66667	2006900700	1650219033.33333	1696832600	0.29355935381703	0.29355935381703	0.196434497599307	N-palmitoylhexadecasphinganine_[1629_512.5_6.1]	N-palmitoylhexadecasphinganine	N-[2-Hydroxy-1-(hydroxymethyl)pentadecyl]hexadecanamide	[M + H]+	21	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.573
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2723	PET	Untreated	461467700	461467700	1367497433.33333	1480857000	1527187300	1480857000	1509585400	1549468400	1065719600	1035734400	0.195814705062745	0.489374058879775	0.179158536020988	NA_[2723_480.51_8.9]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.833
raw	superclass	Fatty amides	NPC superclass: Fatty amides	755	Untreated	PS	187041946.666667	187041946.666667	906325660	915015700	891861466.666667	907866900	820036783.333333	792234300	1007078730	1005184450	0.0793675562144326	0.568741615094207	0.118739512371923	NA_[755_563.55_2.9]	NA	N-octadec-9-enoyloctadec-9-enamide	[M + H3N + H]+	99	Fatty acids	Fatty amides	Primary amides	1	0.99	0.679
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2866	PS	Untreated	57494126.3333333	57494126.3333333	27800636.2222222	8151158	14737658.3333333	10644839	63079188.3333333	7321990.5	5585062	5546482	0.0243964970696797	0.593138112163887	0.00364221618601848	NA_[2866_480.51_9.2]	NA	N-decyldocosanamide	[M + H]+	-1	Fatty acids	Fatty amides	Primary amides	0.998	0.995	0.506
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2295	PET	Untreated	52012543.3333333	52012543.3333333	511215063.333333	521105300	534022610	541236700	517612513.333333	521105300	482010066.666667	459944700	0.0220704955783035	0.61520860774219	0.0669752937783772	NA_[2295_424.45_7.7]	NA	1-[Docosyl(1-hydroxypropyl)amino]propan-1-ol	[M - H2O + H]+	92	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.724
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2834	PS	Untreated	50466352.1666667	50466352.1666667	28301947.2777778	11305094	15007018.3333333	11371385	60182587.8333333	8200814.5	9716235.66666667	11305094	0.0214143998921451	0.636623007634336	0.00370789393620302	NA_[2834_480.51_9.1]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.998	0.994	0.568
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2506	PET	Untreated	44640603.3333334	44640603.3333334	303734870	307817700	319605016.666667	322837300	316635180	310152100	274964413.333333	289350900	0.0189423584262553	0.655565366060591	0.039792904411588	NA_[2506_452.48_8.3]	NA	1-[1-Hydroxypropyl(tetracosyl)amino]propan-1-ol	[M - H2O + H]+	163	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.626
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2646	PS	PET	40128264.6666667	40128264.6666667	54900935.1111111	51313708	33278670.6666667	37142280	73406935.3333333	85695080	58017199.3333333	54566860	0.0170276366263188	0.67259300268691	0.00719267979663724	Cer(d18:0/17:0)_[2646_554.55_8.7]	Cer(d18:0/17:0)	C17 dihydro Ceramide (d18:0/17:0)	[M + H]+	21	Fatty acids	Fatty amides	N-acyl amines	1	0.932	0.538
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2815	PS	Untreated	38345888.1666667	38345888.1666667	23797897.8333333	11198095	12755012.6666667	11433388	48492284.5	8200814.5	10146396.3333333	11198095	0.0162713203583367	0.688864323045246	0.00311780953460684	NA_[2815_480.51_9.1]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.577
raw	superclass	Fatty amides	NPC superclass: Fatty amides	841	PET	Untreated	36581430	36581430	67786853.5555556	64571000	81664980	68618300	76612030.6666667	72373304	45083550	43552050	0.0155226073812391	0.704386930426485	0.00888088938849377	N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine_[841_435.39_3.3]	N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine	(5Z,8Z,11Z,14Z)-N-[(2S)-1-hydroxypropan-2-yl]-16,16-dimethyldocosa-5,8,11,14-tetraenamide	[M + H3N + H]+	18	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.987	0.854	0.386
raw	superclass	Fatty amides	NPC superclass: Fatty amides	603	Untreated	PS	35471980	35471980	138677877.777778	131850470	131236740	131850470	124662456.666667	114817790	160134436.666667	176358340	0.0150518341840427	0.719438764610528	0.0181684622987574	NA_[603_559.52_2.4]	NA	(9Z,12Z)-N-[(9Z,12Z)-octadeca-9,12-dienoyl]octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	Primary amides	0.999	0.83	0.108
raw	superclass	Fatty amides	NPC superclass: Fatty amides	323	PET	PS	26077216.6666667	26077216.6666667	157731960	140758620	169487713.333333	167820510	143410496.666667	140758620	160297670	133703710	0.0110653518988233	0.730504116509351	0.0206647751933534	NA_[323_336.25_1.3]	NA	2-Tridecyl-2-oxazoline-4,4-dimethanol	[M + Na]+	31	Fatty acids	Fatty amides	N-acyl amines	0.99	0.967	0.403
raw	superclass	Fatty amides	NPC superclass: Fatty amides	429	PS	Untreated	24589872.6666667	24589872.6666667	81633257.7777778	87530630	82337367.3333333	87530630	93576139.3333333	108517910	68986266.6666667	57093360	0.0104342268456791	0.740938343355031	0.0106949341165788	NA_[429_339.3_1.7]	NA	N-ethoxyoctadeca-9,12,15-trienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	Primary amides	0.999	0.871	0.305
raw	superclass	Fatty amides	NPC superclass: Fatty amides	550	Untreated	PS	18937166.6666667	18937166.6666667	62096880.2222222	60984444	58879698	53126524	54236888	49996204	73174054.6666667	77567630	0.00803561268872637	0.748973956043757	0.00813543475907365	NA_[550_507.49_2.1]	NA	(E)-N-[(E)-hexadec-9-enoyl]hexadec-9-enamide	[M + H3N + H]+	99	Fatty acids	Fatty amides	Primary amides	1	0.986	0.631
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2942	PS	PET	18330114	18330114	26822881.1111111	22269948	16889529.6666667	18675658	35219643.6666667	43246616	28359470	28687738	0.00777802187818667	0.756751977921944	0.00351411856036758	NA_[2942_582.58_9.4]	NA	N-(1,3-dihydroxyoctadecan-2-yl)nonadecanamide	[M + H]+	21	Fatty acids	Fatty amides	N-acyl amines	0.999	0.971	0.477
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3074	PS	Untreated	17547662	17547662	18999138.1111111	13725790	16240675.6666667	16309985	29152200.3333333	12678142	11604538.3333333	10998239	0.00744600382447294	0.764197981746417	0.0024891145582264	NA_[3074_534.56_9.7]	NA	N-(octadecanoyl)-1-deoxysphinganine	[M - H2O + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.994	0.778	0.588
