sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	2.10901338987395	0.492622592463214	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_110626_PET100	PET	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	2.33430809806133	0.523005727197375	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_110626_PS05	PS	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	1.56547251682783	0.409167366543947	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_110626_PS100	PS	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	2.3338989862714	0.522952437012825	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_110626_untreated	Untreated	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	2.08337486977499	0.489026328481826	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_180626_PET05	PET	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	1.02570835422349	0.306576919173943	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_180626_PET100	PET	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	1.75049997164794	0.439411644809092	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_180626_PS05	PS	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	0.690240031981657	0.227948383408258	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_180626_PS100	PS	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	1.49830812847827	0.397646000989777	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_180626_untreated	Untreated	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	1.06332120683379	0.314566841883342	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_210626_PET05	PET	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	0.58030715253129	0.198741505742486	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_210626_PET100	PET	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	2.34887488748981	0.524898922789865	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
A549_210626_PS05	PS	filtered	superclass	Carotenoids (C40)	NPC superclass: Carotenoids (C40)	Carotenoids (C40)	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Carotenoids (C40, β-β)	3	1.06929607885752	0.315822634800324	kruskal_wallis	0.569782824730923	0.854674237096384	ns	0.0633341070574345	0.151450276752811
