data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2040	Untreated	PET	0.430988323865357	0.430988323865357	0.54849299352554	0.496627308264756	0.34299587054376	0.385251476916367	0.641244516065532	0.641038167107131	0.773984194409117	0.828083829733541	0.0942433922235324	0.0942433922235324	0.064793796472504	Termitomycesphin A_[2040_726.54_7.1]	Termitomycesphin A	Termitomycesphin A	[M - H2O + H]+	48	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.994	0.986	0.812
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1641	PET	Untreated	0.36062118213752	0.36062118213752	0.402946260153861	0.378390400478268	0.564781548000543	0.573892975176738	0.340503919452599	0.356858414621036	0.204160365863023	0.140746686904155	0.0788563439665657	0.173099736190098	0.0476002761711672	HexCer(d18:1/16:0)_[1641_700.57_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1462	Untreated	PET	0.343225398165557	0.343225398165557	0.519553634813187	0.535288417111166	0.365756771310574	0.358589005689515	0.578636230984329	0.54177351779064	0.708982169476131	0.686278508103854	0.0750524411665963	0.248152177356694	0.0613751731890953	NA_[1462_706.58_5.5]	NA	2-[(2S,3S,4R)-3,4-dihydroxy-2-(tricosoxymethylamino)nonoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	[M + H]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.992	0.996	0.973
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	3356	PS	PET	0.341417311910524	0.341417311910524	0.272681006919215	0.187968057708261	0.112506749910995	0.0631890327124393	0.453924061821519	0.410489898745184	0.230543411131046	0.21763000096718	0.0746570704043939	0.322809247761088	0.0322119660101335	N-(2-hydroxytricosanoyl)-D-galactosylsphingosine_[3356_796.67_11]	N-(2-hydroxytricosanoyl)-D-galactosylsphingosine	NA	[M - H2O + H]+	318	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	0.986
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2461	PS	Untreated	0.340616258604485	0.340616258604485	0.670308228426124	0.707204486708126	0.577811644859192	0.626552494752051	0.845511370338907	0.858789374043262	0.504895111734422	0.546957736088084	0.0744819056105175	0.397291153371606	0.0791839010509888	NA_[2461_836.66_8.2]	NA	NA	[M + H]+	45	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.999	1	0.997
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1646	PET	Untreated	0.340243065345145	0.340243065345145	0.425791810849367	0.430657012999377	0.529135373537995	0.505723382202642	0.440897999488997	0.47296656790258	0.18889230819285	0.229544826898459	0.0744003001544815	0.471691453526087	0.0502990343677893	HexCer(d18:1/16:0)_[1646_722.55_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + Na]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.986	0.999	0.999
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1625	Untreated	PET	0.331092306744825	0.331092306744825	0.41474398777231	0.34375114634597	0.248653352817016	0.297962174782068	0.498333786832838	0.42993560307036	0.579745659561841	0.662422896686094	0.0723993212783526	0.54409077480444	0.0489939485993861	NA_[1625_909.55_6.1]	NA	3beta-[2-O,3-O,4-O-Triacetyl-6-[[(benzyloxy)carbonyl]amino]-6-deoxy-beta-D-glucopyranosyloxy]olean-1-en-28-oic acid methyl ester	[M + H3N + H]+	424	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.975	0.962	0.938
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1651	Untreated	PS	0.271246336684631	0.271246336684631	0.182598439115441	0	0.227742434473234	0.116176026196844	0.0620869966487027	0	0.333333333333333	0	0.0593129175011062	0.603403692305546	0.0215704598598339	NA_[1651_706.59_6.1]	NA	3,4-dihydroxy-N-(1,3,6-trihydroxynonacos-4-en-2-yl)dodecanamide	[M + Na]+	5	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	0.999	0.897
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2647	PS	Untreated	0.26103680035616	0.26103680035616	0.409308646428031	0.572730717566167	0.384416195612617	0.326987480085822	0.512915880423693	0.58969369571655	0.251879080067533	0	0.0570804177247898	0.660484110030336	0.0483518685637668	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2647_794.69_8.7]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M - H2O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
filtered	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1644	PET	Untreated	0.248389355675296	0.248389355675296	0.536341787570288	0.631364851784309	0.677701578590415	0.726729799412118	0.448496778877746	0.54679565105129	0.429312222915119	0.436451703923955	0.0543148251932007	0.714798935223537	0.0633583674426828	HexCer(d18:1/16:0)_[1644_682.56_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M - H2O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
