data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	576	PET	Untreated	0.55093727807275	0.55093727807275	0.301730084128902	0.0505018321988244	0.584644726678907	0.746617822497802	0.152826759340269	0.0381785393521191	0.0337074486061566	0.0350962638442257	0.188940504401784	0.188940504401784	0.0556774482152768	Putative (3-hydroxyoctadecanoyl)glycine_[576_375.32_2.3]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	108	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.998	0.756	0.95
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	538	PET	Untreated	0.501515207548754	0.501515207548754	0.315715366303582	0.103678543087835	0.575835831637064	0.773209990716364	0.176292272077736	0.0765496346141859	0.0743206240883099	0.0796358367577482	0.171991513463924	0.360932017865708	0.0582581150596348	NA_[538_352.25_2]	NA	NA	[M + Na]+	211	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.855	0.993
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	595	Untreated	PS	0.275264142242431	0.275264142242431	0.506585072456631	0.544075840216293	0.517925003603245	0.595544399225839	0.407270404278078	0.459133128718263	0.682534546520509	0.905557147393668	0.0944001213004537	0.455332139166162	0.093478793206072	NA_[595_336.25_2.3]	NA	9-nonanamidononanoic acid	[M + Na]+	31	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.923	0.843
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	544	Untreated	PS	0.273359631056706	0.273359631056706	0.423800156866497	0.415234015541892	0.40648459614645	0.459097911599157	0.344223986994293	0.380743792817852	0.617583618050999	0.703373862727142	0.0937469810640033	0.549079120230165	0.0782027133810102	N-hexadecanoylglycinate_[544_336.25_2.1]	N-hexadecanoylglycinate	Elmiric Acid	[M + Na]+	31	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.767	0.843
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	477	Untreated	PS	0.260117715475955	0.260117715475955	0.451509175497545	0.46504120231706	0.481648510787101	0.544816452039591	0.344710380145855	0.371544060632782	0.60482809562181	0.687440439085947	0.0892057486793933	0.638284868909558	0.0833157847354303	NA_[477_336.25_1.9]	NA	2-Tridecyl-2-oxazoline-4,4-dimethanol	[M + Na]+	31	Fatty acids	Fatty amides	Nitro fatty acids	1	0.659	0.797
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	575	Untreated	PS	0.225740030065299	0.225740030065299	0.526672499710522	0.592721458604221	0.556710368093724	0.560988046842037	0.431400577433288	0.548258715841921	0.657140607498587	0.821087630087323	0.0774161358138838	0.715701004723442	0.097185472617691	NA_[575_359.33_2.3]	NA	12-hydroxy-N-(2-hydroxyethyl)octadec-9-enamide	[M + H3N + H]+	631	Fatty acids	Fatty amides	Nitro fatty acids	1	0.837	0.738
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	262	PET	PS	0.188372702971314	0.188372702971314	0.49154226945634	0.5300321556496	0.603892014100816	0.553411720727724	0.415519311129502	0.488291832637301	0.418888696821065	0.510097201093201	0.0646012439735977	0.78030224869704	0.0907029848624019	NA_[262_359.33_1.1]	NA	O-oleoyl-N-(2-hydroxyethyl)hydroxylamine	[M + H3N + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.887	0.893
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	185	PET	PS	0.155742663825593	0.155742663825593	0.494605418611816	0.543781714270255	0.573140277780628	0.544529308430314	0.417397613955035	0.403213132549948	0.491951309587754	0.681522140495568	0.053410975498012	0.833713224195052	0.0912682196117708	N-[(9Z)-hexadecenoyl]glycinate_[185_328.25_0.9]	N-[(9Z)-hexadecenoyl]glycinate	Palmitoleoylglycine	[M + O + H]+	509	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.995	0.998
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	141	PET	Untreated	0.143528727621286	0.143528727621286	0.517401797818397	0.554006773500196	0.588858902052436	0.54886571258145	0.48198050527798	0.539181161894944	0.44533017443115	0.617055883957337	0.0492222822310659	0.882935506426118	0.0954747747069796	NA_[141_326.23_0.7]	NA	2-[[(E)-2-oxohexadec-5-enylidene]amino]acetic acid	[M + O + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.99	0.674	0.825
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	148	PET	Untreated	0.135559562108326	0.135559562108326	0.386979096150859	0.333133625880216	0.449205024446023	0.323244374209998	0.361419984762277	0.338424925667	0.313645462337697	0.359807722678142	0.0464893066064228	0.929424813032541	0.0714082211872828	NA_[148_330.26_0.7]	NA	(E)-11-nitrooctadec-11-en-5-ol	[M + O + H]+	310	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.795	0.965
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	264	PET	PS	0.106084314886518	0.106084314886518	0.547431740292928	0.562169689600881	0.60126571456081	0.542557543948678	0.495181399674292	0.5932520572889	0.544264472994437	0.764910617631296	0.0363809543509046	0.965805767383445	0.101016119952219	NA_[264_336.25_1.1]	NA	2-Tridecyl-2-oxazoline-4,4-dimethanol	[M + Na]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.997	0.674	0.925
filtered	class	Nitro fatty acids	NPC class: Nitro fatty acids	172	PET	PS	0.0997079874598517	0.0997079874598517	0.455278631822424	0.468366324741668	0.497631348216486	0.50571701076544	0.397923360756634	0.416802949351313	0.485283741165878	0.366733346388958	0.0341942326165548	1	0.0840113524642305	(9E)-10-nitrooctadecenoic acid_[172_350.23_0.9]	(9E)-10-nitrooctadecenoic acid	(Z)-10-nitrooctadec-9-enoate	[M + Na]+	659	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.98	0.224	0.882
