data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	2101	Untreated	PET	0.647452186161783	0.647452186161783	0.18989901939027	0	0	0	0.151021455394784	0	0.647452186161783	0.94235655848535	0.0613899726652662	0.0613899726652662	0.0109466226751199	NA_[2101_795.57_7.2]	NA	(2S)-N-[(1S)-2-[[(2S)-1-[[(2R)-1-[[(2R)-1-amino-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]-methylamino]-1-oxopropan-2-yl]-methylamino]-1-[(2S,3S)-2,3-dimethylcyclopropyl]-2-oxoethyl]-2-[[(2S)-2-[[(2R)-2-[(2S,3S)-2,3-dimethylcyclopropyl]propanoyl]-methylamino]propanoyl]-methylamino]-5-hydroxy-4-methylpentanamide	[M + H3N + H]+	10	Amino acids and Peptides	Oligopeptides	Lipopeptides	0.946	0.978	0.718
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	1024	Untreated	PS	0.554608308698529	0.554608308698529	0.376887164002435	0.345919501130112	0.309820790085538	0.338028264073513	0.236728643714189	0.270602595353856	0.791336952412718	0.843468843908989	0.052586723218546	0.113976695883812	0.0217254496030435	NA_[1024_507.27_3.8]	NA	Tert-butyl 4-[3-[1-[1-[(2-methylpropan-2-yl)oxycarbonyl]azetidin-3-yl]indazol-6-yl]-1,2,4-oxadiazol-5-yl]piperidine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Oligopeptides	Cyclic peptides	0.913	0.708	0.189
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	2570	Untreated	PET	0.499488367245129	0.499488367245129	0.614182398846831	0.623968782839544	0.454802885033917	0.441571193186266	0.603507485943638	0.616395629732151	0.954291252279046	0.995272701341453	0.047360373271077	0.161337069154889	0.0354042005875716	NA_[2570_815.7_8.5]	NA	4-[[(2S)-1,5-bis(octadecylamino)-1,5-dioxopentan-2-yl]carbamoyl]benzoic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Oligopeptides	Microcolins and mirabimids	0.717	0.739	0.101
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	1370	Untreated	PET	0.488057246133005	0.488057246133005	0.446818970165263	0.444906196112943	0.313135385034104	0.434255342116881	0.4033157247955	0.38153731960039	0.801192631167108	0.862850690168551	0.0462764998552395	0.207613569010129	0.0257566294243614	NA_[1370_884.54_5.1]	NA	2-[2-(2-{2-[2-(2-{2-[2-(2-aminopropanamido)acetamido]-4-methylpentanamido}-4-methylpentanamido)-3-carboxypropanamido]-3-methylpentanamido}-4-methylpentanamido)acetamido]-4-methylpentanoic acid	[M + H]+	-1	Amino acids and Peptides	Oligopeptides	Cyclic peptides	0.924	0.992	0.626
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	2839	Untreated	PET	0.437128391351185	0.437128391351185	0.517934879548687	0.556240546091188	0.339783408507772	0.37231304185536	0.566597890434468	0.552919638060138	0.776911799858957	0.839376212560288	0.0414475394010879	0.249061108411217	0.0298560662130184	NA_[2839_815.7_9.1]	NA	N-[3-(heptadec-9-enoylamino)-1-oxo-1-[2-[2-[2-(propanoylamino)ethoxy]propan-2-yloxy]ethylamino]propan-2-yl]nonadec-9-enamide	[M - H2O + H]+	5	Amino acids and Peptides	Oligopeptides	Lipopeptides	0.71	0.922	0.33
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	2075	Untreated	PET	0.414856179272573	0.414856179272573	0.57502923174783	0.57530530740311	0.408637968960943	0.437104863495413	0.617188036291875	0.607648059223107	0.823494148233516	0.871424149692395	0.0393357379122296	0.288396846323446	0.0331472381864764	Trichodecenin-II_[2075_769.56_7.2]	Trichodecenin-II	Trichodecenin-Ii	[M + H3N + H]+	10	Amino acids and Peptides	Oligopeptides	Lipopeptides	0.675	0.816	0.431
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	1780	Untreated	PET	0.39297200436703	0.39297200436703	0.589617828760219	0.609082792670759	0.439697560206085	0.407111575398125	0.618012229407906	0.580486160649963	0.832669564573114	0.829874722086863	0.0372607292429138	0.32565757556636	0.0339881896951612	NA_[1780_733.56_6.4]	NA	Me-D-Chg-D-Chg-D-Chg-D-Chg-D-N(Me)Leu-OH	[M + H3N + H]+	-1	Amino acids and Peptides	Oligopeptides	Lipopeptides	0.924	0.992	0.538
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	1745	Untreated	PET	0.387216412680831	0.387216412680831	0.549820468212468	0.565577221604092	0.402922388423238	0.486176053464795	0.576559381555897	0.533374033819187	0.790138801104069	0.78890699640689	0.036714996872493	0.362372572438853	0.0316940931233057	NA_[1745_765.56_6.4]	NA	cyclo[DL-N(Me)Ala-DL-N(Me)Ala-Unk-DL-Gly(Unk)-DL-N(Me)Ala-DL-N(Me)Leu-DL-Gly(Unk)]	[M + H3N + H]+	10	Amino acids and Peptides	Oligopeptides	Microginins	0.985	0.993	0.513
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	784	Untreated	PET	0.384267658112215	0.384267658112215	0.170027092880973	0.0988756668074814	0.0888858443674617	0.110806023437707	0.0996051365951336	0.0705811028788039	0.473153502479676	0.325613034953084	0.0364354025391461	0.398807974977999	0.00980111659497567	Aspereline E_[784_991.55_3]	Aspereline E	Aspereline E	[M + K]+	398	Amino acids and Peptides	Oligopeptides	Linear peptides	0.975	0.982	0.633
filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	1797	Untreated	PET	0.377409157005139	0.377409157005139	0.488221207429049	0.534023450966961	0.298924666242048	0.291560462375901	0.583461440706981	0.570035430347402	0.676333823247187	0.619553483057047	0.0357850947565991	0.434593069734598	0.0281432382161689	NA_[1797_790.61_6.4]	NA	(2S)-2-[[(2S)-2-[tert-butyl(methyl)amino]-3-methylbutanoyl]amino]-N-[(3R,4S,5S)-1-[(2R)-2-[(1S,2R)-3-[[(1S,2R)-1-hydroxy-1-phenylpropan-2-yl]amino]-1-methoxy-2-methyl-3-oxopropyl]cyclopentyl]-3-methoxy-5-methyl-1-oxoheptan-4-yl]-N,3-dimethylbutanamide	[M + H3N + H]+	82	Amino acids and Peptides	Oligopeptides	Depsipeptides	0.58	0.984	0.343
