sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	2.5136215284631	0.545754979426717	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_110626_PET100	PET	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	2.4879706029869	0.542572815992647	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_110626_PS05	PS	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	1.9789979118046	0.474070198786693	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_110626_PS100	PS	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	3.3212304047884	0.63560742318707	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_110626_untreated	Untreated	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	4.85490589204088	0.767519918896715	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_180626_PET05	PET	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	0.869607566957243	0.271750457129744	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_180626_PET100	PET	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	1.45799900556303	0.390581702847191	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_180626_PS05	PS	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	1.61482694877013	0.417442952216264	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_180626_PS100	PS	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	3.62439391350591	0.665054820908916	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_180626_untreated	Untreated	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	3.41376347301925	0.644809056257698	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_210626_PET05	PET	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	2.29405374654141	0.517730680940575	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_210626_PET100	PET	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	2.91598437136467	0.592840949871747	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_210626_PS05	PS	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	3.23937100976033	0.627301425636605	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_210626_PS100	PS	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	4.5470852415404	0.744064839692822	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
A549_210626_untreated	Untreated	filtered	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty acyls	Fatty alcohols	6	2.91779346020872	0.593041536953256	kruskal_wallis	0.0545665984550923	0.394335039094197	ns	0.191584906334453	0.114657307791087
