sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	0.436493398116412	0.157303634387694	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_110626_PET100	PET	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.02440784705907	0.306298012062876	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_110626_PS05	PS	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.43029658077887	0.385659275876556	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_110626_PS100	PS	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	0.947475072390551	0.28947190742675	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_110626_untreated	Untreated	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.62248736244807	0.418713404041079	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_180626_PET05	PET	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	0	0	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_180626_PET100	PET	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	2.13880375831407	0.496764163949325	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_180626_PS05	PS	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.84035187009304	0.453372144896964	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_180626_PS100	PS	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.32042629005216	0.365567777309223	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_180626_untreated	Untreated	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.85210182450287	0.455165026449925	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_210626_PET05	PET	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.27280941861345	0.356563020452372	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_210626_PET100	PET	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	2.24620396690125	0.511375804127534	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_210626_PS05	PS	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.41466444315849	0.382856787008868	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_210626_PS100	PS	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	1.47349077981053	0.393310295826187	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
A549_210626_untreated	Untreated	filtered	class	Glycerophosphoserines	NPC class: Glycerophosphoserines	Glycerophosphoserines	Fatty acids	Glycerophospholipids	Glycerophosphoserines	3	3	0.602059991327962	kruskal_wallis	0.163245512453958	0.408113781134896	ns	0.187262034776355	0.123734510192301
