sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.256854605697035	0.0992850409352681	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_110626_PET100	PET	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.180865585536155	0.0722004659605398	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_110626_PS05	PS	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.227318809178793	0.0889573900152853	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_110626_PS100	PS	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	1.50998833107451	0.39967170245246	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_110626_untreated	Untreated	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	1.14087629335416	0.33059157310208	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_180626_PET05	PET	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.0195344512692528	0.00840190568388561	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_180626_PET100	PET	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.0967948450890051	0.0401254006119989	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_180626_PS05	PS	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0	0	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_180626_PS100	PS	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.214871004886825	0.0845301669549543	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_180626_untreated	Untreated	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	1	0.301029995663981	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_210626_PET05	PET	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.639000260830931	0.214579022684242	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_210626_PET100	PET	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.380155697455392	0.139928082583486	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_210626_PS05	PS	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0	0	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_210626_PS100	PS	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	1	0.301029995663981	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
A549_210626_untreated	Untreated	filtered	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	2	0.228695705528775	0.0894443403537437	kruskal_wallis	0.314346919270968	0.673600541294931	ns	0.144601983296698	0.215287242216077
