sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	2.54575062154622	0.549708187696123	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_110626_PET100	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	5.20756986742738	0.792921616324454	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_110626_PS05	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	5.82507625910119	0.834107508272767	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_110626_PS100	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	10.8926483103488	1.07527857610745	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_110626_untreated	Untreated	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	4.39962223146881	0.732363376762324	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_180626_PET05	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	0.841255589034001	0.265114078130628	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_180626_PET100	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	3.1857981413814	0.621778280811559	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_180626_PS05	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	2.7708167499104	0.576435427543124	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_180626_PS100	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	12.8898572917504	1.14269778369847	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_180626_untreated	Untreated	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	12.347369678369	1.12539568916722	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_210626_PET05	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	5.14924261237287	0.788821628048098	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_210626_PET100	PET	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	7.47494484473954	0.928136880479461	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_210626_PS05	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	6.97981686570983	0.901992924543173	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_210626_PS100	PS	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	17.8978609138921	1.2764126483072	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
A549_210626_untreated	Untreated	filtered	class	Triacylglycerols	NPC class: Triacylglycerols	Triacylglycerols	Fatty acids	Glycerolipids	Triacylglycerols	18	6.45766781020179	0.872603034508078	kruskal_wallis	0.122967727838445	0.394335039094197	ns	0.31007403283031	0.283335795895483
