sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	9.00940049322464	1.0004080664622	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_110626_PET100	PET	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	11.7244969875443	1.10464062324049	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_110626_PS05	PS	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	10.6387314692784	1.06590564819066	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_110626_PS100	PS	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	20.2134712035957	1.326611738824	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_110626_untreated	Untreated	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	17.4044957449879	1.26492392294165	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_180626_PET05	PET	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	2.28492641806305	0.5165256458632	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_180626_PET100	PET	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	10.5617051635767	1.06302189018489	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_180626_PS05	PS	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	12.8302180550188	1.14082902749506	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_180626_PS100	PS	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	23.3205456448841	1.38597331434675	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_180626_untreated	Untreated	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	20.4598010835643	1.33162569206093	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_210626_PET05	PET	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	11.8072358414619	1.10745540700174	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_210626_PET100	PET	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	17.027208829496	1.25592848968494	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_210626_PS05	PS	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	16.4135631576807	1.24088764540726	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_210626_PS100	PS	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	32.4949028070561	1.52497872192648	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
A549_210626_untreated	Untreated	filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	Glycerolipids	Fatty acids	Glycerolipids	Diacylglycerols | Fatty alcohols | Glycerophosphoserines | Triacylglycerols | Wax monoesters	37	17.2542599616487	1.26136423109089	kruskal_wallis	0.031745636378068	0.394335039094197	ns	0.277974594958247	0.199918435402943
