sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	9.90192422321804	1.03750315902055	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_110626_PET100	PET	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	17.0403123805996	1.25624405338309	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_110626_PS05	PS	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	15.1245958964638	1.20748883945397	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_110626_PS100	PS	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	19.1235043758548	1.30370361249579	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_110626_untreated	Untreated	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	22.9077990259948	1.3785395964059	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_180626_PET05	PET	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	4.41526724320448	0.733619893904119	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_180626_PET100	PET	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	17.8152228733627	1.27450936706717	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_180626_PS05	PS	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	18.5269990246231	1.29063550456846	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_180626_PS100	PS	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	19.0408823734593	1.30191683902595	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
A549_180626_untreated	Untreated	filtered	superclass	Oligopeptides	NPC superclass: Oligopeptides	Oligopeptides	Amino acids and Peptides | Amino acids and Peptides x Polyketides	Oligopeptides	Cyclic peptides | Depsipeptides | Linear peptides | Lipopeptides | Microcolins and mirabimids | Microginins	37	22.1028843687833	1.36366620444826	kruskal_wallis	0.148327393021299	0.40005643524764	ns	0.192029180934173	0.112647378143191
