sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.864484637885273	15.4624262803039	0.0559087314121235	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_110626_PET100	PET	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.360635497113266	24.5537236159555	0.0146876092096646	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_110626_PS05	PS	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.799110041726431	12.9485722369495	0.0617141432355087	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_110626_PS100	PS	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.291241079777524	21.9611304007446	0.0132616616022484	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_110626_untreated	Untreated	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.420001245215533	27.6760020967312	0.015175647253804	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_180626_PET05	PET	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	1	10.7018211836042	0.0934420397092837	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_180626_PET100	PET	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.628898837167771	17.5114827055293	0.0359135115936923	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_180626_PS05	PS	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.490371731967942	18.3730049962885	0.0266897947323805	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_180626_PS100	PS	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.263369330731783	22.58471495978	0.011661397152933	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
A549_180626_untreated	Untreated	filtered	class	Cholestane steroids	Cholestane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholestane steroids	NPC class: Cholestane steroids / NPC pathway: Terpenoids	Cholestane steroids	1	53	0.181783121318149	19.4244280591831	0.0093584799904679	kruskal_wallis	0.142868116953198	0.376750164929864	ns	0.0296813567911048	0.018673355116336
