sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.112049366939837	218.287595236506	0.000513310739524322	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_110626_PET100	PET	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.51398382049124	274.487146353655	0.00187252418672098	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_110626_PS05	PS	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.236767495447562	235.48952271948	0.00100542687722716	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_110626_PS100	PS	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.369127591900795	342.583939004933	0.00107748072771001	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_110626_untreated	Untreated	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.857979867554224	349.261015585077	0.00245655778706635	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_180626_PET05	PET	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0	108.36502934205	0	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_180626_PET100	PET	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.433050908430646	253.325024021881	0.00170946755103531	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_180626_PS05	PS	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.513750666905225	247.299781399374	0.00207744084526929	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_180626_PS100	PS	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.275048648669856	309.708224928346	0.000888089584102879	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_180626_untreated	Untreated	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	1	275.343066935051	0.00363183286629071	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_210626_PET05	PET	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.200477061893248	283.86320752202	0.000706245320213595	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_210626_PET100	PET	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.616159499439272	386.528525507395	0.00159408545237493	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_210626_PS05	PS	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.247346990867661	231.776912246372	0.00106717700425976	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_210626_PS100	PS	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.416801413207294	398.446488126281	0.00104606622376653	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
A549_210626_untreated	Untreated	filtered	class	Fatty acyl carnitines	Fatty acyl carnitines	pathway	Fatty acids	Fatty acids	Fatty esters	Fatty acyl carnitines	NPC class: Fatty acyl carnitines / NPC pathway: Fatty acids	Fatty acyl carnitines	1	619	0.697899534864077	291.015828853711	0.00239814974193345	kruskal_wallis	0.031745636378068	0.254782763444645	ns	0.00176290792345198	0.00139993617305321
