sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	2.02249545658547	218.287595236506	0.00926527892890193	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_110626_PET100	PET	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	1.37574795849577	274.487146353655	0.00501206696477959	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_110626_PS05	PS	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	1.7096685480763	235.48952271948	0.00726006205428039	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_110626_PS100	PS	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	2.06224728571617	342.583939004933	0.00601968466970799	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_110626_untreated	Untreated	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	1.61742605161808	349.261015585077	0.00463099509949197	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_180626_PET05	PET	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	2.60525937521786	108.36502934205	0.0240415140478065	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_180626_PET100	PET	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	1.71149759254114	253.325024021881	0.00675613315008827	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_180626_PS05	PS	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	0.267815036701302	247.299781399374	0.00108295702966594	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_180626_PS100	PS	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	1.68122617049125	309.708224928346	0.00542841950962139	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
A549_180626_untreated	Untreated	filtered	class	N-acyl amines	N-acyl amines	pathway	Fatty acids	Fatty acids	Fatty amides	N-acyl amines	NPC class: N-acyl amines / NPC pathway: Fatty acids	N-acyl amines	5	619	1.12811174294338	275.343066935051	0.00409711330487028	kruskal_wallis	0.0473589243911409	0.254782763444645	ns	0.00592303246346405	0.00331911390335957
