sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	6.26540523451737	218.287595236506	0.0287025253438201	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_110626_PET100	PET	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	6.99368642110376	274.487146353655	0.025479103535482	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_110626_PS05	PS	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	5.44965503608918	235.48952271948	0.02314181528399	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_110626_PS100	PS	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	9.07019549088127	342.583939004933	0.0264758339729133	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_110626_untreated	Untreated	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	8.11939222052349	349.261015585077	0.0232473475658942	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_180626_PET05	PET	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	4.21897807391215	108.36502934205	0.0389330220231391	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_180626_PET100	PET	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	5.58801252074023	253.325024021881	0.0220586676832114	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_180626_PS05	PS	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	0.288585556160774	247.299781399374	0.0011669462646824	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_180626_PS100	PS	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	5.07389711800665	309.708224928346	0.0163828297397673	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_180626_untreated	Untreated	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	1.09185519107369	275.343066935051	0.00396543556817155	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
A549_210626_PET05	PET	filtered	class	Nitro fatty acids	Nitro fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	NPC class: Nitro fatty acids / NPC pathway: Fatty acids	Nitro fatty acids	12	619	6.8207790436821	283.86320752202	0.0240284012261539	kruskal_wallis	0.113608153670764	0.359759153290752	ns	0.0127936118147858	0.00896810139560785
