sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	6655905.1	28654825	0.232278686050255	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_110626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	23627343.6	0.0858220557642375	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_110626_PS05	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	48169276.6	0.0420962767790455	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_110626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	6150073.1	35571701.7	0.17289229376395	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_110626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	21284813.9	0.0952673210828496	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_180626_PET05	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	39004932.5	0.0519869429334354	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_180626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	39971751.9	0.0507295053034691	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_180626_PS05	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	20879675.3	0.0971158397276417	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_180626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	36833470.7	0.0550517548703332	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_180626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	38122537.4	0.0531902475096004	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_210626_PET05	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	27221512.9	0.0744906136352179	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_210626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	7164814.1	41891195.5	0.171033889448202	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_210626_PS05	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	31880331.7	0.0636049592921896	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_210626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	20744532.2	0.0977485141843787	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_210626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	35199892.6	0.0576066303111391	kruskal_wallis	0.846481724890613	0.917653700821449	ns	0.0423688825546064	0.0227537691987766
A549_110626_PET05	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	34486814	12413988413.6	0.00277806075299848	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_110626_PET100	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	33224531.5	14863016969.1	0.00223538273347015	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_110626_PS05	PS	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	24620077.5	12871061495	0.00191282416835349	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_110626_PS100	PS	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	34552679.5	13243674001.2	0.00260899501881949	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_110626_untreated	Untreated	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	24133812.9	14567162470.1	0.00165672710450893	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_180626_PET05	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	25784845.6	15339376161.6	0.00168095790391716	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_180626_PET100	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	21249821.1	14118872693.8	0.00150506499781186	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_180626_PS05	PS	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	16180737.2	14801169210.3	0.00109320668996473	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_180626_PS100	PS	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	19162540.5	14039838092	0.00136486905151128	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_180626_untreated	Untreated	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	19120680	16122838566.1	0.00118593757058408	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_210626_PET05	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	19498655.5	15315759878.2	0.001273110551162	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_210626_PET100	PET	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	37935946.1	13669470882.2	0.00277523149410261	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_210626_PS05	PS	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	16983520.9	12184297093.2	0.00139388598046238	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_210626_PS100	PS	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	19240874.3	16430213468.8	0.00117106660461456	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_210626_untreated	Untreated	raw	superclass	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Apocarotenoids (β-) | Cannabinoids | Carotenoids (C40, β-β)	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	11	328	16737681.9	14764154882.5	0.00113367016488287	kruskal_wallis	0.142868116953198	0.43880921635625	ns	0.000715856458918413	0.000772232748109573
A549_110626_PET05	PET	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	6391920	6565292988.7	0.000973592497852205	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_110626_PET100	PET	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	6966212	8125399185.8	0.000857337816974481	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_110626_PS05	PS	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	5983529.5	6524424494.96	0.000917096903278162	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_110626_PS100	PS	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	5400181	7176029029.7	0.000752530539891888	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_110626_untreated	Untreated	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	7631778.5	7977246302.3	0.000956693351413708	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_180626_PET05	PET	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	4307371.5	7016090678.2	0.000613927569862177	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_180626_PET100	PET	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	6885475	7887370547.1	0.000872974707969264	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_180626_PS05	PS	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	7292391.5	8429696401.7	0.000865083527626138	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_180626_PS100	PS	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	7168461	7744341501.3	0.000925638545097304	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_180626_untreated	Untreated	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	9024748	9311438840.8	0.000969210897939446	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_210626_PET05	PET	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	4365456.5	8649773546.5	0.000504690264610039	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_210626_PET100	PET	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	6745256.5	7046049113	0.000957310457509438	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
A549_210626_PS05	PS	raw	superclass	Chromanes	Azaphilones	pathway	Polyketides	Polyketides	Chromanes	Azaphilones	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	1	150	6095355.5	6664796721.2	0.000914559851557262	kruskal_wallis	0.846481724890613	0.917653700821449	ns	4.90943954683093e-05	9.15370889418355e-05
