data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Primary amides	NPC class: Primary amides	2723	PET	Untreated	413345783.333333	413345783.333333	1360128280	1480857000	1479065383.33333	1520332700	1388395516.66667	1382443600	1065719600	1035734400	0.805570931850746	0.805570931850746	0.799349007577191	NA_[2723_480.51_8.9]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.833
raw	class	Primary amides	NPC class: Primary amides	3260	PET	Untreated	41563966.55	41563966.55	17649806.9133333	1013873.6	42577840.15	1237162.3	1039740.33333333	1013873.6	1013873.6	1013873.6	0.0810041486212413	0.886575080471987	0.0103728125115537	NA_[3260_480.51_10.5]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.789
raw	class	Primary amides	NPC class: Primary amides	439	Untreated	PS	14869828.3333333	14869828.3333333	154104555.333333	153781870	158005551.666667	161890645	146547281.666667	143342970	161417110	153781870	0.0289798564541882	0.915554936926175	0.0905674304256245	oleoyl ethanolamide_[439_343.33_1.7]	oleoyl ethanolamide	N-(2-hydroxyethyl)octadec-9-enamide	[M + H3N + H]+	159	Fatty acids	Fatty amides	Primary amides	1	0.985	0.707
raw	class	Primary amides	NPC class: Primary amides	2915	PET	Untreated	9736318.45	9736318.45	8151284.60666667	4864333	12821623.25	6770525.25	6013935.86666667	3670004.6	3085304.8	3081721	0.0189751424662219	0.934530079392397	0.0047905196565858	NA_[2915_480.51_9.3]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.879
raw	class	Primary amides	NPC class: Primary amides	2829	PS	Untreated	9112969.16666667	9112969.16666667	19788666.9333333	19630968	20866804.1666667	21456191	22107565.1666667	20015665	12994596	13663640	0.0177602950351103	0.952290374427507	0.0116298230887719	NA_[2829_494.53_9.1]	NA	Tritriacontanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.76
raw	class	Primary amides	NPC class: Primary amides	1865	Untreated	PET	3243537.33333334	3243537.33333334	23302570	23778392	21738627.3333333	22095295	24026715.3333333	24018633	24982164.6666667	25330468	0.00632134038246353	0.958611714809971	0.0136949480996734	NA_[1865_382.4_6.6]	NA	N-pentylicosanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	1	0.999	0.781
raw	class	Primary amides	NPC class: Primary amides	2608	PS	Untreated	2566256	2566256	14092990.7333333	14331784	14527319.8333333	14512071.5	14658856.6666667	14996075.5	12092600.6666667	12922351	0.00500138460495783	0.963613099414929	0.00828246741291531	NA_[2608_466.5_8.6]	NA	N-nonyldocosanamide	[M + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.853
raw	class	Primary amides	NPC class: Primary amides	3242	PET	Untreated	2112515.61666667	2112515.61666667	1875757.41333333	1013873.6	3126389.21666667	1236772.25	1056067.51666667	1013873.6	1013873.6	1013873.6	0.00411708850673108	0.96773018792166	0.00110238486240692	NA_[3242_480.51_10.4]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.88
raw	class	Primary amides	NPC class: Primary amides	824	Untreated	PET	2112226.75	2112226.75	10132765.6333333	9580679	8959801.75	9220954	10836098.0833333	10805434.5	11072028.5	12674870	0.00411652553355164	0.971846713455211	0.00595503841227187	NA_[824_589.57_3.2]	NA	1-(5-dodecanoyl-4-nonyl-1,4-dihydropyridin-3-yl)dodecan-1-one	[M + H3N + H]+	99	Fatty acids	Fatty amides	Primary amides	1	0.994	0.73
raw	class	Primary amides	NPC class: Primary amides	641	Untreated	PET	1841010.75	1841010.75	8359366.83333333	8722481	7776143.58333333	8191563.75	8313696.33333333	8556233.75	9617154.33333333	10050117	0.0035879517953828	0.975434665250594	0.00491280982864255	NA_[641_535.52_2.5]	NA	(Z)-3-oxo-2-[(Z)-tetradec-7-enyl]icos-11-enamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.987	0.705
raw	class	Primary amides	NPC class: Primary amides	382	Untreated	PET	1417954	1417954	5525867.98	5392219	4937716	5134303.25	5699118.95	5559973.75	6355670	5626042.5	0.00276345512923823	0.978198120379832	0.00324755918303204	C20 sphingosine_[382_345.35_1.5]	C20 sphingosine	C20 Sphingosine	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.989
raw	class	Primary amides	NPC class: Primary amides	671	Untreated	PET	1354629.75	1354629.75	6252188.6	6333941.5	5755368.75	6172025.5	6320103.5	6433014.5	7109998.5	6567389.5	0.00264004229393633	0.980838162673769	0.00367441867512337	NA_[671_297.29_2.6]	NA	Octadecadienamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.995
raw	class	Primary amides	NPC class: Primary amides	9	PET	PS	1024891.71666667	1024891.71666667	5869109.25333333	4561899.5	6359006.63333333	5165464.25	5334114.91666667	4113395	5959303.16666667	5122665	0.00199741477603383	0.982835577449803	0.00344928248754162	NA_[9_187.14_0.5]	NA	(3R)-3-(cyclobutylmethyl)-4-oxobutanamide	[M + H3N + H]+	16	Fatty acids	Fatty amides	Primary amides	0.473	0.525	0.902
raw	class	Primary amides	NPC class: Primary amides	356	PET	Untreated	947443.833333334	947443.833333334	14274152.2666667	14027602	14698925.8333333	14825490.5	14110713.8333333	13015014	13751482	13968199	0.00184647634612274	0.984682053795925	0.00838893626148683	Linoleyl hydroxamic acid_[356_334.21_1.4]	Linoleyl hydroxamic acid	(9Z,12Z)-N-hydroxyoctadeca-9,12-dienamide	[M + K]+	102	Fatty acids	Fatty amides	Primary amides	1	0.992	0.945
raw	class	Primary amides	NPC class: Primary amides	2278	Untreated	PET	898819.85	898819.85	3685167.69333333	3820744.2	3356747.15	3607571.5	3728388.58333333	3667946.35	4255567	4788208.5	0.00175171290799535	0.986433766703921	0.00216577743565594	NA_[2278_396.42_7.7]	NA	hexacosanamide	[M + H]+	142	Fatty acids	Fatty amides	Primary amides	1	0.999	0.867
raw	class	Primary amides	NPC class: Primary amides	613	PS	PET	779889.983333333	779889.983333333	2507423.7	2542921.5	2048082.25	2133337.2	2827972.23333333	2928385.3	2785009.53333333	2806302.2	0.00151993010681871	0.987953696810739	0.00147361589023833	NA_[613_302.25_2.4]	NA	Octadecadienamide	[M + Na]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	1
raw	class	Primary amides	NPC class: Primary amides	766	Untreated	PET	771985.533333333	771985.533333333	2762626.34	2841485	2436297.2	2479638.85	2866127.28333333	2897411.15	3208282.73333333	3215321.5	0.00150452509868988	0.989458221909429	0.00162359878524517	oleamide_[766_299.31_2.9]	oleamide	Oleamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	1	1
raw	class	Primary amides	NPC class: Primary amides	944	Untreated	PET	749710.8	749710.8	3182647.38666667	3082188.5	2918245.3	2982299.25	3204395.11666667	3170947.85	3667956.1	3862836.8	0.00146111379897041	0.9909193357084	0.00187044565384681	NA_[944_325.32_3.6]	NA	Icosa-2,4-dienamide	[M + H3N + H]+	24	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.981
raw	class	Primary amides	NPC class: Primary amides	489	Untreated	PET	746456.65	746456.65	2748925.04666667	2822759.8	2439174.41666667	2727072.4	2840322.66666667	2709340	3185631.06666667	3642012.2	0.00145477177552762	0.992374107483927	0.00161554651886003	(4E,8E,9Me-d19:2)sphingosine_[489_334.27_1.9]	(4E,8E,9Me-d19:2)sphingosine	(4E,8E,9Me-d19:2)sphingosine	[M + Na]+	-1	Fatty acids	Fatty amides	Primary amides	0.999	0.978	0.942
