data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Sphingoid bases	NPC class: Sphingoid bases	181	Untreated	PET	155151138.333333	155151138.333333	273790760.666667	258689440	195079631.666667	188567595	314281885	308797675	350230770	372622270	0.476730539922952	0.476730539922952	0.425653016230177	NA_[181_288.29_0.9]	NA	2-[2-Hydroxyethyl(tridecyl)amino]ethanol	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.87	0.579	0.914
raw	class	Sphingoid bases	NPC class: Sphingoid bases	280	Untreated	PET	54250198.3333333	54250198.3333333	101815217.333333	89937000	72017028.3333333	71699015	119387401.666667	115334260	126267226.666667	131539890	0.166693758229557	0.64342429815251	0.158288593269322	NA_[280_316.32_1.2]	NA	1,1'-(Tridecylimino)bis-2-propanol	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.906	0.571	0.902
raw	class	Sphingoid bases	NPC class: Sphingoid bases	399	Untreated	PET	29201006	29201006	52748501.7333333	47842750	35265524	34380810	64372465.3333333	61688400	64466530	67882460	0.0897254864270791	0.733149784579589	0.0820062693486998	n-oleyldiethanolamine_[399_356.35_1.6]	n-oleyldiethanolamine	Ethanol, 2,2'-(9-octadecen-1-ylimino)bis-	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.819	0.379	0.82
raw	class	Sphingoid bases	NPC class: Sphingoid bases	512	PS	PET	18704724.8333333	18704724.8333333	31851357.5333333	26731612	21055127.8333333	20847684	39759852.6666667	36593011	37626826.6666667	40067636	0.0574737231366447	0.790623507716233	0.0495182027767371	NA_[512_358.37_2]	NA	Stearylbis(2-hydroxyethyl)aminium	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.908	0.489	0.897
raw	class	Sphingoid bases	NPC class: Sphingoid bases	247	Untreated	PET	12623465.6666667	12623465.6666667	25146072.5333333	21754262	18297669.6666667	18266177	29106944	26371776	30921135.3333333	32675918	0.0387879307081817	0.829411438424415	0.0390937283423796	NA_[247_346.33_1]	NA	Peg-3 myristamine	[M + H]+	24	Fatty acids	Spingolipids	Sphingoid bases	0.926	0.229	0.72
raw	class	Sphingoid bases	NPC class: Sphingoid bases	85	Untreated	PET	9328656.83333333	9328656.83333333	17766236.6666667	16447607	13315928.5	13076169.5	19777370.5	19259452.5	22644585.3333333	22622068	0.028664021783432	0.858075460207847	0.0276205530303949	NA_[85_262.24_0.6]	NA	PEG-3 caprylamine	[M + H]+	24	Fatty acids	Spingolipids	Sphingoid bases	0.748	0.27	0.802
raw	class	Sphingoid bases	NPC class: Sphingoid bases	556	Untreated	PET	8121141.83333333	8121141.83333333	16213854.4666667	14755509	12119475.1666667	11694904.5	18294852.5	17154904.5	20240617	20976312	0.0249537088324674	0.883029169040314	0.0252071181717347	NA_[556_342.37_2.1]	NA	(2-Hydroxyethyl)stearyldimethylaminium	[M + H]+	67	Fatty acids	Spingolipids	Sphingoid bases	0.91	0.483	0.839
raw	class	Sphingoid bases	NPC class: Sphingoid bases	178	Untreated	PET	4850061	4850061	10438351.8666667	9493205	7884769.33333333	7678205.75	11843695.1666667	11189084	12734830.3333333	13313055	0.0149027085719583	0.897931877612273	0.0162281442430702	NA_[178_244.26_0.9]	NA	2-(Tridecylamino)ethanol	[M + H]+	67	Fatty acids	Spingolipids	Sphingoid bases	0.998	0.744	0.955
raw	class	Sphingoid bases	NPC class: Sphingoid bases	2227	PS	PET	4748115.13333333	4748115.13333333	8719068.84666667	7584598.5	6265268.03333333	6503553.5	11013383.1666667	10832518.5	9038041.83333333	9115756	0.0145894610600097	0.912521338672282	0.0135552344581147	NA_[2227_556.56_7.5]	NA	[16-Ethyl-16-hydroxy-15-(trimethylazaniumyl)triacontan-15-yl]phosphanide	[M + H]+	1	Fatty acids	Spingolipids	Sphingoid bases	0.882	0.241	0.724
raw	class	Sphingoid bases	NPC class: Sphingoid bases	124	Untreated	PET	3912868.75	3912868.75	6567401.1	5694274.5	4589930.41666667	4424625.25	7577172.75	7778420	8502799.16666667	8652878	0.0120230122181087	0.924544350890391	0.0102101111089419	NA_[124_260.26_0.7]	NA	1-[2-Hydroxypropyl(nonyl)amino]propan-2-ol	[M + H]+	308	Fatty acids	Spingolipids	Sphingoid bases	0.944	0.722	0.955
