data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	354	PET	Untreated	197438616.666667	197438616.666667	1453070046.66667	1473905200	1564633683.33333	1458021800	1384443900	1456394350	1367195066.66667	1630207400	0.342828365330448	0.342828365330448	0.460029216099739	Ximenynic acid_[354_296.26_1.4]	Ximenynic acid	octadec-11-en-9-ynoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.973	0.977
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	538	PET	Untreated	34363566.75	34363566.75	26591135.2	12062480	44414457.0833333	57938434	17037935.75	10203621	10050890.3333333	10415086	0.0596681926500511	0.402496557980499	0.00841851988437853	NA_[538_352.25_2]	NA	NA	[M + Na]+	211	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.855	0.993
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	427	Untreated	PS	30349396.6666667	30349396.6666667	511495890	496668260	522795006.666667	543506255	493846680	422910850	524196076.666667	457677860	0.0526980700313796	0.455194628011879	0.161935106882646	stearolic acid_[427_298.27_1.7]	stearolic acid	Stearolsaeure	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.888	0.941
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	226	PET	Untreated	25539569.6666667	25539569.6666667	136703641.6	131295240	149239335	130935480	130669886.333333	138598442	123699765.333333	136839680	0.044346385058241	0.49954101307012	0.0432791724166991	NA_[226_268.23_1]	NA	16-Methyloxacyclohexadeca-3,5-dien-2-one	[M + H3N + H]+	192	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.985	0.718	0.622
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	533	PET	Untreated	25105264.4666667	25105264.4666667	17934227.5933333	5914519	30672725.6333333	37957398	11379112.7666667	4549887.1	5567461.16666667	5355447	0.0435922664147647	0.543133279484885	0.00567781895996101	NA_[533_155.11_2]	NA	1,2,3,3a,4,5,6,6a-Octahydropentalene-2-carboxylate	[M + H]+	266	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.743	0.846
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	127	PET	Untreated	24556015.1666667	24556015.1666667	28327776.3333333	19945676	40858198.5	42644467	21810150.6666667	15590639.5	16302183.3333333	18079674	0.0426385611930765	0.585771840677961	0.00896832521623199	NA_[127_200.16_0.7]	NA	Cyclobutanecarboxylic acid, 3-cyclohexyl-	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.988	0.891	0.905
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	358	PET	Untreated	19041192.3333333	19041192.3333333	143413462.533333	144995020	152938639	144005260	138646294	140608765	133897446.666667	159603120	0.0330627359114871	0.618834576589448	0.0454034427994049	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid_[358_279.23_1.4]	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	Alpha-Esa	[M + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.934	0.961
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	221	PET	Untreated	15074011	15074011	75987133.3333333	72037590	83403203	71469620	72400034.3333333	72648635	68329192	81060584	0.0261742035947706	0.645008780184219	0.0240568591040667	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid_[221_296.26_1]	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	Alpha-Esa	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.957	0.972
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	474	PET	Untreated	13351909.1333333	13351909.1333333	9788866.31333333	3072838	16643728.1666667	19321325	6182528.1	2559420.25	3291819.03333333	3062983.8	0.0231839812266784	0.668192761410897	0.00309906911023189	10-undecynoic acid_[474_200.16_1.9]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.967	0.848
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	509	PET	Untreated	11777229.2666667	11777229.2666667	8873387.40666667	3060480.8	14773258.3333333	18261138	5912195.65	2488842	2996029.06666667	2790714.2	0.0204497393963706	0.688642500807268	0.00280923652799965	10-undecynoic acid_[509_200.16_2]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.993	0.962	0.833
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	147	PET	Untreated	11246559	11246559	75260633.4666667	74368070	80582895.6666667	71160980	72900519.6666667	74632738	69336336.6666667	74368070	0.0195282944271833	0.708170795234451	0.0238268556263088	Ximenynic acid_[147_296.26_0.7]	Ximenynic acid	octadec-11-en-9-ynoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.961	0.976
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	198	PET	Untreated	10800759	10800759	47495036.2666667	43740540	52709329.6666667	41670902	45073975.6666667	45905716	41908570.6666667	45867624	0.0187542164486978	0.726925011683149	0.015036511386705	stearolic acid_[198_298.27_0.9]	stearolic acid	Stearolsaeure	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.945	0.958
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	334	PET	Untreated	10565398	10565398	64380516.4	69891700	70344544.6666667	81316240	60717173	55170224	59779146.6666667	39909820	0.0183455404345786	0.745270552117728	0.0203823061107958	9-cis,11-trans-octadecadienoate_[334_298.27_1.3]	9-cis,11-trans-octadecadienoate	Selin Cla	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.907	0.946
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	576	PET	Untreated	9749449.1	9749449.1	6353323.68666667	1907559.8	11359813.5666667	14226108	3718313.41666667	1689485.4	1610364.46666667	1634941.1	0.0169287434963563	0.762199295614084	0.00201140648512428	Putative (3-hydroxyoctadecanoyl)glycine_[576_375.32_2.3]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	108	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.998	0.756	0.95
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	185	PET	PS	9637121.33333333	9637121.33333333	44612274.9333333	47655230	49471893.6666667	47701490	39834772.3333333	38957058	44448042.6666667	56178400	0.0167336998656943	0.778932995479778	0.0141238544646123	N-[(9Z)-hexadecenoyl]glycinate_[185_328.25_0.9]	N-[(9Z)-hexadecenoyl]glycinate	Palmitoleoylglycine	[M + O + H]+	509	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.995	0.998
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	148	PET	Untreated	7771701	7771701	33393439.1333333	30306450	36960884.3333333	29739494	31928121.8333333	30609803	29189183.3333333	31835690	0.0134946222509511	0.792427617730729	0.0105720695727105	NA_[148_330.26_0.7]	NA	(E)-11-nitrooctadec-11-en-5-ol	[M + O + H]+	310	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.795	0.965
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	476	PET	Untreated	6634835.3	6634835.3	4875387.64666667	1708271.2	8252967.2	9570346	3126435.96666667	1375640.3	1618131.9	1491247.1	0.0115205919618853	0.803948209692615	0.00154350491390517	NA_[476_198.15_1.9]	NA	Undeca-2Z-en-8,10-diensaure	[M + H3N + H]+	16	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.997	0.839	0.889
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	284	PET	Untreated	6372823.33333333	6372823.33333333	32205139.8666667	30925444	35130330.6666667	30366026	31003765.3333333	31654122	28757507.3333333	32985386	0.0110656397557472	0.815013849448362	0.0101958644603757	scleropyric acid_[284_282.24_1.2]	scleropyric acid	Scleropyric Acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.966	0.953
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	904	Untreated	PS	4711475.4	4711475.4	3031427.26	2612831.8	2341011.45	1905474	1921212.66666667	1997123.05	6632688.06666667	6098350	0.00818090927168311	0.823194758720045	0.000959723248910303	NA_[904_189.11_3.4]	NA	NA	[M - H2O + H]+	87	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	0.989	0.956	0.831
raw	superclass	Fatty Acids and Conjugates	NPC superclass: Fatty Acids and Conjugates	510	PET	Untreated	4579964.18333333	4579964.18333333	3357217.20666667	1013873.6	5593837.78333333	6846716.75	2292268.43333333	1013873.6	1013873.6	1013873.6	0.00795255589181432	0.831147314611859	0.00106286548497941	NA_[510_216.16_2]	NA	6-(2-Oxocyclopentyl)hexanoic acid	[M + H3N + H]+	597	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	0.985	0.793	0.759
