data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty amides	NPC superclass: Fatty amides	1629	PS	PET	562512790	562512790	1462676024	1428086700	1134533876.66667	1111788150	1697046666.66667	1717493700	1650219033.33333	1696832600	0.265517312629488	0.265517312629488	0.195456442207523	N-palmitoylhexadecasphinganine_[1629_512.5_6.1]	N-palmitoylhexadecasphinganine	N-[2-Hydroxy-1-(hydroxymethyl)pentadecyl]hexadecanamide	[M + H]+	21	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.573
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2723	PET	Untreated	413345783.333333	413345783.333333	1360128280	1480857000	1479065383.33333	1520332700	1388395516.66667	1382443600	1065719600	1035734400	0.195107495382278	0.460624808011767	0.181753054123103	NA_[2723_480.51_8.9]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.833
raw	superclass	Fatty amides	NPC superclass: Fatty amides	755	Untreated	PET	180137046.666667	180137046.666667	876807898.666667	907866900	826941683.333333	879809200	861538698.333333	887002200	1007078730	1005184450	0.0850282969316059	0.545653104943372	0.117167267091842	NA_[755_563.55_2.9]	NA	N-octadec-9-enoyloctadec-9-enamide	[M + H3N + H]+	99	Fatty acids	Fatty amides	Primary amides	1	0.99	0.679
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3287	PET	PS	46032437.7333333	46032437.7333333	19426848.6933333	1013873.6	47046311.3333333	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.0217282333451279	0.5673813382885	0.00259599710844976	NA_[3287_508.54_10.7]	NA	1-(Dihexadecylamino)ethane-1,1-diol	[M - H2O + H]+	86	Fatty acids	Fatty amides	N-acyl amines	1	0.97	0.695
raw	superclass	Fatty amides	NPC superclass: Fatty amides	841	PET	Untreated	41810073.3333333	41810073.3333333	67749508.8	68618300	86893623.3333333	85375865	59938373.6666667	60062338	45083550	43552050	0.0197351927096778	0.587116530998178	0.00905332263199473	N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine_[841_435.39_3.3]	N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine	(5Z,8Z,11Z,14Z)-N-[(2S)-1-hydroxypropan-2-yl]-16,16-dimethyldocosa-5,8,11,14-tetraenamide	[M + H3N + H]+	18	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.987	0.854	0.386
raw	superclass	Fatty amides	NPC superclass: Fatty amides	3260	PET	Untreated	41563966.55	41563966.55	17649806.9133333	1013873.6	42577840.15	1237162.3	1039740.33333333	1013873.6	1013873.6	1013873.6	0.0196190253746549	0.606735556372833	0.00235853217549553	NA_[3260_480.51_10.5]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.789
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2295	PS	Untreated	40169476.6666666	40169476.6666666	499061286	507365440	484468638.333333	491831885	522179543.333333	514235370	482010066.666667	459944700	0.0189607981967241	0.625696354569557	0.0666892338457249	NA_[2295_424.45_7.7]	NA	1-[Docosyl(1-hydroxypropyl)amino]propan-1-ol	[M - H2O + H]+	92	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.724
raw	superclass	Fatty amides	NPC superclass: Fatty amides	603	Untreated	PET	37844136.6666667	37844136.6666667	136633032.266667	134188104	122290300	128002965	139225062.333333	141168552	160134436.666667	176358340	0.0178631911045372	0.643559545674094	0.0182581829035767	NA_[603_559.52_2.4]	NA	(9Z,12Z)-N-[(9Z,12Z)-octadeca-9,12-dienoyl]octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	Primary amides	0.999	0.83	0.108
raw	superclass	Fatty amides	NPC superclass: Fatty amides	2506	PS	Untreated	35965470	35965470	296249676.666667	302798940	292212101.666667	291413275	310929883.333333	306475520	274964413.333333	289350900	0.016976422779394	0.660535968453488	0.0395876508921265	NA_[2506_452.48_8.3]	NA	1-[1-Hydroxypropyl(tetracosyl)amino]propan-1-ol	[M - H2O + H]+	163	Fatty acids	Fatty amides	N-acyl amines	1	0.995	0.626
raw	superclass	Fatty amides	NPC superclass: Fatty amides	323	Untreated	PS	34283476	34283476	137318101.333333	133661990	137132224.333333	138854835	126014194	115364447	160297670	133703710	0.0161824878952842	0.676718456348773	0.0183497282357214	NA_[323_336.25_1.3]	NA	2-Tridecyl-2-oxazoline-4,4-dimethanol	[M + Na]+	31	Fatty acids	Fatty amides	N-acyl amines	0.99	0.967	0.403
