data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Lignans	NPC superclass: Lignans	232	Untreated	PET	69200933.3333335	69200933.3333335	1208260140	1219095400	1177475533.33333	1185847800	1219836583.33333	1245869800	1246676466.66667	1302007600	0.502011366470515	0.502011366470515	0.958884910945417	NA_[232_415.21_1]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.545	0.806	0.234
raw	superclass	Lignans	NPC superclass: Lignans	451	Untreated	PET	19870296.1666667	19870296.1666667	23468268.6666667	20521388	19159223.1666667	18659440	19996688.8333333	19468946	39029519.3333333	38752310	0.144147109732655	0.64615847620317	0.0186246057165138	NA_[451_415.21_1.7]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.813	0.94	0.39
raw	superclass	Lignans	NPC superclass: Lignans	1554	Untreated	PET	9628312.6	9628312.6	2939536.12	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	10642186.2	5954489	0.0698476470230353	0.716006123226205	0.00233283937567206	NA_[1554_415.21_5.8]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.794	0.943	0.424
raw	superclass	Lignans	NPC superclass: Lignans	885	Untreated	PET	6342266.9	6342266.9	4346780.80666667	2950906	2477345.93333333	2024538.7	3979799.66666667	1943925.4	8819612.83333333	8200998	0.0460093516030088	0.762015474829214	0.00344964001435967	NA_[885_415.21_3.4]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.712	0.902	0.439
raw	superclass	Lignans	NPC superclass: Lignans	1510	Untreated	PS	6312022.26666667	6312022.26666667	2297554.11333333	1013873.6	1067063.75	1013873.6	1013873.6	1013873.6	7325895.86666667	3652804	0.0457899448843894	0.807805419713603	0.00182335732051536	NA_[1510_415.21_5.6]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.735	0.923	0.308
raw	superclass	Lignans	NPC superclass: Lignans	1212	Untreated	PS	6240716.7	6240716.7	2521000.36	1107856	1507710.5	1060864.8	1116288.03333333	1013873.6	7357004.73333333	9475968	0.0452726656623469	0.85307808537595	0.0020006860490258	NA_[1212_415.21_4.4]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.701	0.877	0.336
raw	superclass	Lignans	NPC superclass: Lignans	1006	Untreated	PS	4070837.4	4070837.4	2577108.16	1701710.5	1911378.5	1799481.2	1663982.13333333	1357792.05	5734819.53333333	6492090.5	0.0295314896406013	0.882609575016551	0.0020452136478642	NA_[1006_415.21_3.7]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.783	0.89	0.415
raw	superclass	Lignans	NPC superclass: Lignans	813	Untreated	PS	3723884.5	3723884.5	5062276.04666667	2947676	6114998.86666667	5505851.5	3119166	1649235.9	6843050.5	6219592	0.02701455394277	0.909624128959321	0.0040174627594593	NA_[813_415.21_3.1]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.709	0.915	0.293
raw	superclass	Lignans	NPC superclass: Lignans	1064	Untreated	PS	3225413.26666667	3225413.26666667	2611206.74	1498938.4	2219625.06666667	1599443.2	1797123.43333333	1256406	5022536.7	6269252	0.0233984433942816	0.933022572353603	0.00207227455367763	NA_[1064_415.21_3.9]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.846	0.942	0.435
raw	superclass	Lignans	NPC superclass: Lignans	970	Untreated	PS	3217185.01666667	3217185.01666667	2650662.32	1878359.2	2124581.26666667	1731378.2	1928988.01666667	1446116.4	5146173.03333333	5662370	0.0233387523637248	0.956361324717328	0.00210358681753713	NA_[970_415.21_3.6]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.756	0.923	0.346
