data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1385	Untreated	PS	16387076.05	16387076.05	6908985.23333333	3913436.2	4807236.88333333	2924095.05	2847792.11666667	2488909.9	19234868.1666667	23403656	0.176756578911869	0.176756578911869	0.0239934877620964	NA_[1385_507.27_5.2]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Linear polyketides	Open-chain polyketides	0.562	0.761	0.504
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1283	Untreated	PS	13295098.8666667	13295098.8666667	9960074.76	7053879.5	8567086.76666667	5771003.7	6457033.8	2864871.05	19752132.6666667	20956814	0.143405460790979	0.320162039702849	0.0345892955032888	NA_[1283_507.27_4.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.639	0.895	0.628
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2517	PS	PET	10610195	10610195	28708315.2	25549572	24001568.6666667	25566202	34611763.6666667	33870396	26314911.3333333	25003804	0.114445173993552	0.434607213696401	0.0996980867896977	D-galactosyl-N-hexadecanoylsphinganine_[2517_740.55_8.4]	D-galactosyl-N-hexadecanoylsphinganine	Beta-D-Galactosyl-(1<->1')-N-Hexadecanoylsphinganine	[M + K]+	380	Polyketides	Linear polyketides	Open-chain polyketides	0.875	0.937	0.8
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2291	PS	PET	10591955.3333333	10591955.3333333	49930850.4	49206310	44924340.3333333	43139716	55516295.6666667	53295395	48772980	49206310	0.114248434741799	0.5488556484382	0.173399595970112	NA_[2291_762.6_7.7]	NA	methyl 4-hydroxy-1-[2-(4-hydroxyphenyl)ethyl]-5-(2-oxooctadecylidene)-2-pentadecylpyrrolidine-3-carboxylate	[M + Na]+	300	Alkaloids	Linear polyketides	Open-chain polyketides	0.278	0.749	0.759
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1495	Untreated	PS	8490341.61666667	8490341.61666667	4003425.95333333	1985574.4	3445316.6	1701422.2	1545384.98333333	1097845.9	10035726.6	7841221	0.091579713999989	0.640435362438189	0.0139030766999366	NA_[1495_507.27_5.6]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.561	0.728	0.518
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2685	PS	PET	7806901.16666667	7806901.16666667	19454650.6666667	16201961	15979575.8333333	16752020.5	23786477	22672928	17741147.6666667	16201961	0.0842078927267248	0.724643255164914	0.0675620090247784	beta-D-glucosyl-N-(octadecanoyl)sphinganine_[2685_768.58_8.8]	beta-D-glucosyl-N-(octadecanoyl)sphinganine	Beta-D-Galactosyl-(1<->1')-N-Octadecanoylsphinganine	[M + K]+	380	Fatty acids	Linear polyketides	Open-chain polyketides	0.791	0.712	0.445
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	922	Untreated	PET	5672037.63333333	5672037.63333333	4268821.44666667	1013873.6	2771533.43333333	1013873.6	3678734.65	1013873.6	8443571.06666667	1013873.6	0.0611805281472027	0.785823783312116	0.0148247407803122	NA_[922_576.33_3.5]	NA	Rhizoxin D	[M - H2O + H]+	59	Polyketides	Linear polyketides	Open-chain polyketides	0.74	0.739	0.594
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	587	Untreated	PET	5586422.16666667	5586422.16666667	23980297	24105600	22342692.5	23504372	23643492.6666667	24501644	27929114.6666667	29386262	0.060257050588194	0.846080833900311	0.0832786499274861	NA_[587_565.41_2.3]	NA	NA	[M + Na]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.865	0.824	0.809
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	728	PS	Untreated	4337071.66666667	4337071.66666667	101089581.333333	100816430	100520181.666667	100884555	102914871.666667	101283815	98577800	99252344	0.0467811309324826	0.892861964832793	0.351063369030617	Precorallopyronin A_[728_529.33_2.8]	Precorallopyronin A	Precorallopyronin A	[M + H3N + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.807	0.729	0.599
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2520	Untreated	PET	3024999.68333333	3024999.68333333	8275026.26666667	7786536	6616533.71666667	6034696.5	9250265.25	8116274	9641533.4	10491268	0.0326286760129784	0.925490640845771	0.0287374679138663	NA_[2520_762.48_8.4]	NA	4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-1-isopropyl-3a-[(4-isopropylpiperazine-1-carbonyl)amino]-5a,5b,8,8,11a-pentamethyl-2-oxo-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxo-butanoic acid	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.549	0.735	0.613
