sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	4196724	6.62291051200505	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_110626_PET100	PET	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	7679872.5	6.88535406655437	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_110626_PS05	PS	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	5277526.5	6.72243050499573	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_110626_PS100	PS	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	6424554	6.80784305142163	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_110626_untreated	Untreated	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	10660929	7.0277950917685	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_180626_PET05	PET	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	3225708.5	6.50862525324892	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_180626_PET100	PET	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	6978511	6.84376282963166	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_180626_PS05	PS	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	7677852	6.88523979286865	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_180626_PS100	PS	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	5609269.5	6.74890638381853	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_180626_untreated	Untreated	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	11891670	7.07524288532427	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_210626_PET05	PET	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	4963035	6.69574742541788	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_210626_PET100	PET	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	8565323	6.93274379564371	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_210626_PS05	PS	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	5369208	6.72991030949129	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_210626_PS100	PS	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	6837693.5	6.83490969313678	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
A549_210626_untreated	Untreated	raw	class	Fatty acyl carnitines	NPC class: Fatty acyl carnitines	Fatty acyl carnitines	Fatty acids	Fatty esters	Fatty acyl carnitines	1	9273679	6.96725210594064	kruskal_wallis	0.0339341521613492	0.546947111987581	ns	0.275239380594206	0.258039964243732
