sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2213002365	9.34498187824727	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_110626_PET100	PET	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	897131016.1	8.95285587208369	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_110626_PS05	PS	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2560216560.8	9.40827670266217	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_110626_PS100	PS	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2607204832.7	9.41617515263018	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_110626_untreated	Untreated	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2988437517.4	9.47544418013029	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_180626_PET05	PET	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	1831228477.5	9.26274253368529	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_180626_PET100	PET	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2782682410.3	9.44446364295263	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_180626_PS05	PS	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	1364939148.4	9.1351132904472	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_180626_PS100	PS	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	1112738195.3	9.04639299607164	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_180626_untreated	Untreated	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	3248106240.8	9.51163022607187	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_210626_PET05	PET	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2554165174.8	9.40724897930912	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_210626_PET100	PET	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	1184629392	9.07358250414431	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_210626_PS05	PS	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	1380142434.5	9.13992390941539	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_210626_PS100	PS	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	1030976785.1	9.01324888663931	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
A549_210626_untreated	Untreated	raw	class	Glycerophosphoethanolamines	NPC class: Glycerophosphoethanolamines	Glycerophosphoethanolamines	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	30	2836271208.9	9.45274775659968	kruskal_wallis	0.0330963149592415	0.546947111987581	ns	0.286752231289631	0.337925580198995
