sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1392982710	9.14394572621299	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_110626_PET100	PET	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1167547852.9	9.06727468988808	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_110626_PS05	PS	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1032819097.6	9.01402426018391	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_110626_PS100	PS	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1082001706.9	9.034227946289	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_110626_untreated	Untreated	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1684217824	9.22639825941885	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_180626_PET05	PET	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1017272694.8	9.00743738793378	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_180626_PET100	PET	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	775740275.4	8.88971634057939	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_180626_PS05	PS	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1320832522.9	9.12084775436164	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_180626_PS100	PS	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1973958494.3	9.29533801689913	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_180626_untreated	Untreated	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1589632688.9	9.20129678521475	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_210626_PET05	PET	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1097996468.4	9.04060094364544	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_210626_PET100	PET	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1344833751	9.12866860028523	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_210626_PS05	PS	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	2151062329	9.33265299485183	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_210626_PS100	PS	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	2493087504.7	9.39673752221645	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
A549_210626_untreated	Untreated	raw	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	87	1330884354.2	9.12414031987701	kruskal_wallis	0.199388519168535	0.607222154531382	ns	0.15269746770951	0.154155068863624
