sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	172220201.3	8.23608409504324	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_110626_PET100	PET	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	605673536.9	8.78223859959188	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_110626_PS05	PS	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	147119031.3	8.16766885959495	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_110626_PS100	PS	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	144762136.7	8.16065498770267	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_110626_untreated	Untreated	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	806692491.5	8.90670801519139	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_180626_PET05	PET	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	198486241	8.29773040918198	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_180626_PET100	PET	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	479700514.6	8.68097018526205	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_180626_PS05	PS	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	655038217.1	8.81626663957305	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_180626_PS100	PS	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	495427098.3	8.69497975831476	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_180626_untreated	Untreated	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	1297514367.5	9.11311217586594	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_210626_PET05	PET	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	640009901	8.80618669328184	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_210626_PET100	PET	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	119237369.2	8.0764123890293	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_210626_PS05	PS	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	42947983.3	7.63294278567763	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_210626_PS100	PS	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	342219915.45	8.53430528092874	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
A549_210626_untreated	Untreated	raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	Tyrosine alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	16	569768292	8.75569827754951	kruskal_wallis	0.0866538932275246	0.561835194700806	ns	0.590703104236983	0.555720944929549
