data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Aminoacids	NPC class: Aminoacids	494	PET	Untreated	0.262393003256091	0.262393003256091	0.255035443779596	0.0876235297260126	0.39865781635839	0.182312697150987	0.17079838653945	0.0876235297260126	0.136264813102299	0.051233503450568	0.187262617386566	0.187262617386566	0.094322550631209	NA_[494_152.11_1.9]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.961	0.971	0.976
filtered	class	Aminoacids	NPC class: Aminoacids	535	PET	Untreated	0.258802162529113	0.258802162529113	0.242516821586432	0.0460554263709474	0.389137304003161	0.2303652659667	0.151987179225895	0.065296368385135	0.130335141474048	0	0.184699933836289	0.371962551222854	0.0896926515154291	NA_[535_210.11_2.1]	NA	Gabapentinalcohol	[M + Na]+	638	Amino acids and Peptides	Small peptides	Aminoacids	0.952	0.962	0.916
filtered	class	Aminoacids	NPC class: Aminoacids	78	PET	Untreated	0.176349361672212	0.176349361672212	0.348708310324804	0.288127567036302	0.405346668961337	0.264949562314627	0.35192545320611	0.32946113615611	0.228997307289125	0.182870749246046	0.125855654043328	0.497818205266183	0.128966612517433	NA_[78_217.19_0.6]	NA	2-[1-(Aminomethyl)-3,3-diethylcyclobutyl]acetic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.971	0.978	0.964
filtered	class	Aminoacids	NPC class: Aminoacids	2425	Untreated	PET	0.145228633210164	0.145228633210164	0.365848801894024	0.316444109344958	0.280924655477474	0.147806238477976	0.420620704913766	0.378083875490598	0.426153288687639	0.456231807967975	0.103645652273228	0.601463857539411	0.135305868190769	NA_[2425_184.07_8.1]	NA	(2R)-2-(aminomethyl)-4-methylpentanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.833	0.824	0.833
filtered	class	Aminoacids	NPC class: Aminoacids	211	PS	Untreated	0.117063829971512	0.117063829971512	0.325426472140604	0.302457873475531	0.297326240895375	0.302457873475531	0.383181236294594	0.262824095550179	0.266117406323082	0.29418580170822	0.0835452124474751	0.685009069986886	0.120356035382066	NA_[211_293.23_1]	NA	3-[[N-amino-N'-(3-methoxypropyl)carbamimidoyl]amino]-N-(2-methoxyethyl)propanamide	[M + H3N + H]+	90	Amino acids and Peptides	Small peptides	Aminoacids	0.954	0.98	0.733
filtered	class	Aminoacids	NPC class: Aminoacids	37	PS	Untreated	0.103253485670175	0.103253485670175	0.181075210800167	0	0.145592161623555	0	0.239148405474634	0.0775895304789207	0.135894919804459	0	0.0736891523056812	0.758698222292567	0.0669690278560492	NA_[37_123.06_0.5]	NA	(6-Methoxypyridazin-3-yl)methanol	[M - H2O + H]+	-1	Amino acids and Peptides	Nicotinic acid alkaloids	Aminoacids	0.607	0.787	0.866
filtered	class	Aminoacids	NPC class: Aminoacids	112	PET	Untreated	0.0955130032407803	0.0955130032407803	0.443997774048626	0.498888903089117	0.493470847899338	0.519043480145748	0.417544664892948	0.423104001221467	0.397957844658558	0.282573999458994	0.0681649844293432	0.82686320672191	0.164208558238822	gabapentin_[112_154.12_0.7]	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	[M - H2O + H]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.998	0.999	0.999
filtered	class	Aminoacids	NPC class: Aminoacids	10	PS	Untreated	0.0871722789417656	0.0871722789417656	0.109340247307614	0	0.0838416917434132	0	0.155396710664336	0	0.0682244317225707	0	0.0622124405590754	0.889075647280986	0.0404385008603516	NA_[10_216.12_0.5]	NA	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	[M + H]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.97	0.979	0.964
filtered	class	Aminoacids	NPC class: Aminoacids	45	Untreated	PS	0.0702404805846287	0.0702404805846287	0.180297674183917	0	0.19333418568426	0.0512703939871438	0.148193172988812	0.0434274435673113	0.218433653573441	0	0.0501286851308695	0.939204332411855	0.0666814629757839	NA_[45_180.1_0.6]	NA	2-[1-(Aminomethyl)cyclopentyl]acetate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.953	0.969	0.975
filtered	class	Aminoacids	NPC class: Aminoacids	1532	Untreated	PET	0.0603266659066768	0.0603266659066768	0.0669713001971173	0	0.0359543894707477	0	0.0833333333333333	0	0.0962810553774245	0	0.0430534702362608	0.982257802648116	0.0247687292403939	4-(trimethylammonio)butanoate_[1532_184.07_5.8]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.825	0.805	0.813
filtered	class	Aminoacids	NPC class: Aminoacids	55	PET	Untreated	0.0248604260289328	0.0248604260289328	0.184646948159603	0.0472104795024691	0.189853608090896	0.093767717842477	0.189267171277129	0.0165888711560332	0.164993182061964	0.135194225236578	0.0177421973518838	1	0.0682900025916938	NA_[55_152.11_0.6]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.873	0.857	0.868
