data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2417	PET	Untreated	0.302651790632383	0.302651790632383	0.17958735019333	0	0.339743198370568	0	0.0906794732436643	0	0.0370914077381847	0	0.0972366765641161	0.0972366765641161	0.0278513419333643	NA_[2417_554.51_8]	NA	7-(9Z-hexadecenoyloxy)-octadecanoic acid	[M + H3N + H]+	-1	Fatty acids	Glycerolipids	Diacylglycerols	0.997	0.979	0.803
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1614	PET	Untreated	0.232474621132365	0.232474621132365	0.311336911149722	0.197650074393189	0.401409647659195	0.309420135491884	0.292465116951695	0.301639934775687	0.16893502652683	0.060300772521757	0.0746899910857307	0.171926667649847	0.04828375027291	NA_[1614_528.5_6.1]	NA	9-Myristoyloxystearic acid	[M + H3N + H]+	318	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.938
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1354	Untreated	PET	0.221077214085201	0.221077214085201	0.33661065093858	0.222086518673543	0.220749619779556	0.210183290490912	0.399863590634515	0.220856166780486	0.441826833864757	0.494379191296039	0.0710282054395961	0.242954873089443	0.0522033335177019	NA_[1354_528.5_5]	NA	9-Hexadecanoyloxy-hexadecanoic acid	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.954	0.729
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1832	PS	PET	0.193812021202884	0.193812021202884	0.263780151630287	0.153006847897084	0.154389063004023	0.11968413332456	0.348201084206907	0.184156444437668	0.313720463729576	0.311438441545728	0.0622683803739106	0.305223253463354	0.0409084002318705	NA_[1832_584.56_6.6]	NA	1,4-Butanediol dipalmitate	[M + H3N + H]+	24	Fatty acids	Glycerolipids	Diacylglycerols	1	0.996	0.938
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1767	Untreated	PET	0.191304744368652	0.191304744368652	0.329102903391818	0.12967108774959	0.233730788497073	0.12967108774959	0.376508703549609	0.233061877723127	0.425035532865725	0.381366468471426	0.0614628365967618	0.366686090060115	0.0510389929121462	NA_[1767_577.52_6.4]	NA	[3-hydroxy-2-[(Z)-tridec-9-enoyl]oxypropyl] henicosanoate	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.999	0.998
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2943	PET	Untreated	0.154475948093318	0.154475948093318	0.0951237125706606	0	0.154475948093318	0	0.0833333333333333	0	0	0	0.0496303946204968	0.416316484680612	0.0147522809480984	NA_[2943_600.55_9.4]	NA	[(2S)-3-hydroxy-2-(10-methylundecanoyloxy)propyl] 19-methylicosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1623	Untreated	PET	0.147541894957646	0.147541894957646	0.534960082861896	0.560257787913547	0.479716316418759	0.442104197427306	0.544054785047778	0.560257787913547	0.627258211376406	0.692495718738964	0.0474026057789939	0.463719090459606	0.0829643968377956	1-stearoyl-2-arachidonoyl-sn-glycerol_[1623_627.53_6.1]	1-stearoyl-2-arachidonoyl-sn-glycerol	1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1019	PS	Untreated	0.142814300079708	0.142814300079708	0.0806387571262277	0	0.058782592735861	0	0.142814300079708	0	0	0	0.0458837130174089	0.509602803477015	0.0125058785899248	DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]_[1019_590.48_3.8]	DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]	(1-hydroxy-3-tridecanoyloxypropan-2-yl) (5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoate	[M + H3N + H]+	102	Fatty acids	Glycerolipids	Diacylglycerols	0.837	0.819	0.706
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	2702	PET	Untreated	0.141002437831852	0.141002437831852	0.203649529435795	0.147402972311593	0.240930212781378	0.189607888368839	0.218229723333346	0.16728554688257	0.0999277749495259	0.0884365549396241	0.0453015936682868	0.554904397145302	0.031583030056288	NA_[2702_560.56_8.9]	NA	1-(1,2,2-Trioctoxyethoxy)octane	[M + H3N + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.944
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1838	Untreated	PET	0.129105192964908	0.129105192964908	0.282463380838236	0.063215225416002	0.217365341519973	0.063215225416002	0.315557843333177	0.117574003395016	0.346470534484881	0.299351373038928	0.0414792189560345	0.596383616101336	0.0438058927586538	NA_[1838_605.55_6.6]	NA	NA	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1616	PS	PET	0.123177685792236	0.123177685792236	0.392783154133935	0.402492180078675	0.321145674106844	0.321161616678182	0.444323359899081	0.506472734779817	0.432977702657823	0.397998218220161	0.0395748155603823	0.635958431661719	0.0609148579767612	1,2-dioleoylglycerol_[1616_603.54_6.1]	1,2-dioleoylglycerol	1,2-Dioleoyl-Sn-Glycerol	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.999	0.998
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1823	Untreated	PET	0.122692834982952	0.122692834982952	0.291981388150105	0.0886939614929465	0.220203880472983	0.0886939614929465	0.338301232174311	0.170846494237106	0.342896715455936	0.320901078233371	0.0394190415561192	0.675377473217838	0.0452819949222068	DG(20:0/18:3(6Z,9Z,12Z)/0:0)_[1823_629.55_6.5]	DG(20:0/18:3(6Z,9Z,12Z)/0:0)	Diglyceride	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
filtered	class	Diacylglycerols	NPC class: Diacylglycerols	1922	PS	Untreated	0.10594928347378	0.10594928347378	0.0774730491270007	0	0.0593931961776245	0	0.124842712251178	0	0.0188934287773983	0	0.0340396340884476	0.709417107306285	0.0120149240997965	NA_[1922_538.52_6.8]	NA	[(E)-hexadec-9-enoyl] octadecanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Diacylglycerols	0.997	0.919	0.752
