data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	94	Untreated	PET	0.327637100963926	0.327637100963926	0.459815257322679	0.420422392219001	0.312459884437808	0.322768044898392	0.517029766168024	0.485982649793445	0.640096985401734	0.755797981255751	0.0664773524450453	0.0664773524450453	0.0264180634856514	NA_[94_232.23_0.6]	NA	(6R)-6-ethyl-1-methoxydecan-5-one	[M + H3N + H]+	308	Fatty acids	Fatty acyls	Fatty alcohols	0.967	0.898	0.709
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	115	Untreated	PET	0.257091931240319	0.257091931240319	0.46158247773174	0.432990254761087	0.334212706605146	0.376941287315054	0.524091168801471	0.514833729156247	0.591304637845466	0.687909155432448	0.0521637838741646	0.11864113631921	0.0265195967432287	7R-hydroxy-hexadecanoic acid_[115_290.27_0.7]	7R-hydroxy-hexadecanoic acid	7-hydroxyhexadecanoic acid	[M + H3N + H]+	24	Fatty acids	Fatty acyls	Fatty alcohols	0.93	0.583	0.865
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	260	Untreated	PET	0.228789798253988	0.228789798253988	0.453086121384628	0.444984388250671	0.343214982415181	0.397931123401427	0.503497930711803	0.467672726331806	0.572004780669169	0.632230366397525	0.0464212996929056	0.165062436012116	0.0260314500847605	NA_[260_286.31_1.1]	NA	1-(ethenyloxy)hexadecane	[M + H3N + H]+	67	Fatty acids	Fatty acyls	Fatty alcohols	0.944	0.894	0.906
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	802	Untreated	PET	0.196247502280422	0.196247502280422	0.532924941296689	0.54573954537192	0.454629041362063	0.438894945072755	0.552245040058417	0.534622349180033	0.650876543642485	0.599769764254146	0.0398184892283975	0.204880925240513	0.0306184814619646	civetone_[802_268.26_3.1]	civetone	cycloheptadec-9-en-1-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.955	0.924	0.771
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1223	Untreated	PET	0.170100441088364	0.170100441088364	0.415264952096309	0.43121130876392	0.325356819616277	0.420283518325386	0.465076930272174	0.413530236656033	0.495457260704641	0.489486903609764	0.0345132676977687	0.239394192938282	0.0238584859748306	NA_[1223_350.34_4.5]	NA	6,10,14,18-Tetramethyl-5,9,13,17-nonadecatetraene-2-ol	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.983	0.915	0.846
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1186	Untreated	PET	0.165792172130175	0.165792172130175	0.587360827793966	0.587791276531426	0.512909525346815	0.566304540822131	0.616141695399606	0.591923001150511	0.67870169747699	0.621425207744878	0.0336391227577757	0.273033315696057	0.0337460216696477	NA_[1186_312.33_4.4]	NA	icos-2-enal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.959	0.881	0.825
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1179	Untreated	PET	0.164790842343474	0.164790842343474	0.529475224536271	0.53732585386367	0.456894997583578	0.542393759252436	0.555950143793573	0.53732585386367	0.621685839927051	0.581919030523633	0.0334359536021813	0.306469269298239	0.0304202826529149	NA_[1179_324.33_4.3]	NA	henicosa-1,6-dien-11-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.987	0.978	0.792
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	640	Untreated	PET	0.164524044585012	0.164524044585012	0.71600140539256	0.736513918854076	0.658658298212273	0.727944570085145	0.719754043870485	0.70401155455766	0.823182342797285	0.833105471808068	0.0333818205123431	0.339851089810582	0.0411368920066135	civetone_[640_251.24_2.5]	civetone	cycloheptadec-9-en-1-one	[M + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.971	0.976	0.84
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1308	Untreated	PET	0.158160243275167	0.158160243275167	0.553043190916646	0.565775739100529	0.480331210978098	0.56221902492303	0.583031039186885	0.561224076094301	0.638491454253265	0.586420152017087	0.0320906094092043	0.371941699219786	0.0317743482741597	NA_[1308_326.34_4.8]	NA	NA	[M + H3N + H]+	92	Fatty acids	Fatty acyls	Fatty alcohols	0.961	0.826	0.818
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1104	Untreated	PET	0.154573784027974	0.154573784027974	0.540349546058965	0.556742999386616	0.471758136328966	0.529467160012179	0.565949768639976	0.556742999386616	0.62633192035694	0.579179736647421	0.0313629191851607	0.403304618404947	0.0310450520831914	12Z-Nonadecen-9-one_[1104_298.31_4.1]	12Z-Nonadecen-9-one	nonadec-12-en-9-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.997	0.977	0.88
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	988	PS	PET	0.154438506025182	0.154438506025182	0.441549162372951	0.481169285230426	0.349492651591135	0.392238527740018	0.503931157616317	0.518503562342721	0.500898193449853	0.534362004004583	0.0313354713673062	0.434640089772253	0.0253686097140941	NA_[988_298.31_3.7]	NA	Nonadec-1-yn-1-ol	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.952	0.809	0.83
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	2207	Untreated	PET	0.149584784979872	0.149584784979872	0.699116031835826	0.702617943191707	0.631332613857302	0.633555103447957	0.725998766313677	0.721948783601572	0.780917398837174	0.711016001538428	0.0303506545573365	0.46499074432959	0.0401667657145934	NA_[2207_448.45_7.5]	NA	9a,11a-dimethyl-1-[6-methyl-5-(propan-2-yl)heptan-2-yl]-hexadecahydro-1H-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	33	Fatty acids	Fatty acyls	Fatty alcohols	0.99	0.871	0.811
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1790	Untreated	PET	0.143240496724913	0.143240496724913	0.678773469307093	0.688488294045472	0.605174040559414	0.647216261413372	0.717552364066154	0.695460629205791	0.748414537284328	0.682584454530251	0.0290634026402091	0.494054146969799	0.0389980113077169	NA_[1790_394.4_6.5]	NA	hexacosa-17,20-dien-9-one	[M + H3N + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.941	0.726	0.726
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	874	Untreated	PET	0.133834928251165	0.133834928251165	0.557013527310482	0.569404031591896	0.490558382651009	0.564257981268928	0.58977878017411	0.567939530792425	0.624393310902174	0.640561297272052	0.0271550189787256	0.521209165948524	0.0320024585798561	NA_[874_296.29_3.4]	NA	nonadeca-10,13-dien-2-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.994	0.981	0.758
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	1139	Untreated	PET	0.133761912956513	0.133761912956513	0.695202087432835	0.716804436000829	0.632514934537705	0.659610334493585	0.722351860297274	0.760514406478659	0.766276847494217	0.717430263790499	0.0271402042234302	0.548349370171955	0.0399418953344333	NA_[1139_312.33_4.2]	NA	icos-2-enal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.949	0.905	0.899
filtered	class	Fatty alcohols	NPC class: Fatty alcohols	2682	PET	Untreated	0.129822648139623	0.129822648139623	0.224032912902206	0.169149464941904	0.264568880645304	0.209376969771115	0.228140285357371	0.17833495631266	0.134746232505681	0.151427182768937	0.0263409299811778	0.574690300153132	0.0128715078972956	NA_[2682_560.56_8.8]	NA	3-[1,2,2-Tris(2-ethylhexoxy)ethoxymethyl]heptane	[M + H3N + H]+	79	Fatty acids	Fatty acyls	Fatty alcohols	0.904	0.681	0.812
