data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1530	Untreated	PS	0.230188250014727	0.230188250014727	0.205595306321177	0.0332332826774905	0.162748567493783	0.044763613221175	0.157430382201197	0	0.387618632215924	0.464770444247449	0.0954462385860085	0.0954462385860085	0.0226060475460906	NA_[1530_729.59_5.8]	NA	[(E)-2-[[(Z)-heptadec-9-enoyl]amino]-3-hydroxynonadec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.997
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1335	Untreated	PET	0.16683220252632	0.16683220252632	0.35158413763705	0.266650629105662	0.301666537086361	0.249968852010237	0.343044437199923	0.351892389571775	0.468498739612681	0.436859530878391	0.0691760166087439	0.164622255194752	0.0386581185830104	NA_[1335_701.56_4.9]	NA	2-[[(E,2S,3R)-2-(2-deuteriooxyhexadecanoylamino)-3-hydroxyoctadec-4-enoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1738	PS	PET	0.148467785433713	0.148467785433713	0.397069266298777	0.349851642310772	0.316064507691327	0.297907002905793	0.46453229312504	0.580455635408939	0.424152729861151	0.417645165545625	0.0615613163136516	0.226183571508404	0.0436593951178004	NA_[1738_864.62_6.4]	NA	2-[4-(5-ethyl-3,6-dioxopiperazin-2-yl)butyl-[2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxyethyl]amino]ethyl (9Z,12Z)-octadeca-9,12-dienoate	[M + K]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.999	0.841
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1975	PS	PET	0.139919612768133	0.139919612768133	0.251259968103742	0.18867459859598	0.169835710804491	0.163942429211273	0.309755323572624	0.220326195140858	0.297117771764477	0.216625031699528	0.0580168655101847	0.284200437018589	0.0276270644841921	NA_[1975_824.63_6.9]	NA	[(2R,3R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)pyrrolidin-2-yl]methyl-[(3S,6E,10E,14E,18E,22E,26E,30E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-6,10,14,18,22,26,30,34-octaenoxy]phosphinic acid	[M - H2O + H]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.996
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2678	PS	PET	0.137014287908683	0.137014287908683	0.357292957158028	0.11062938484547	0.282783364054898	0.11062938484547	0.419797651963581	0.290856038313003	0.381302753753181	0.294967095799944	0.0568121892085611	0.34101262622715	0.0392858267142538	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine_[2678_842.66_8.8]	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine	2,3-bis[[(E)-icos-11-enoyl]oxy]propyl 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	56	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.996
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2431	Untreated	PET	0.1158631514814	0.1158631514814	0.498715814848036	0.464372345701412	0.434686840759916	0.440839373766547	0.536827700239515	0.492865653179613	0.550549992241317	0.543407626674886	0.0480419917129265	0.389054617940076	0.05483585021552	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2431_813.68_8.1]	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2223	Untreated	PET	0.11559374355834	0.11559374355834	0.428482550835284	0.45740222833065	0.368510584756951	0.342763619312211	0.460643628173612	0.459210262753963	0.484104328315291	0.604275439385221	0.0479302832616927	0.436984901201769	0.0471134146502394	NA_[2223_811.67_7.5]	NA	4-[20-(3,5-Dihydroxy-4-azatricyclo[5.2.1.02,6]deca-2,5,8-trien-4-yl)-10,11-dioctylicosyl]-4-azatricyclo[5.2.1.02,6]deca-2,5,8-triene-3,5-diol	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.994
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1470	Untreated	PET	0.112287420221103	0.112287420221103	0.523301941444709	0.548936350044142	0.457382500647069	0.465103239653088	0.566037392530618	0.583690364286687	0.569669920868172	0.70796007927828	0.0465593352395056	0.483544236441275	0.0575391957187016	N-hexadecanoylphytosphingosine-1-phosphocholine_[1470_703.58_5.5]	N-hexadecanoylphytosphingosine-1-phosphocholine	[2-(Hexadecanoylamino)-3,4-dihydroxyoctadecyl] 2-(trimethylazaniumyl)ethyl phosphate	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2141	PS	PET	0.0969650712229272	0.0969650712229272	0.380588260416543	0.254356557571189	0.331630603849715	0.212081444772257	0.428595675072642	0.380645112295817	0.382488744238	0.376227830951074	0.0402060110447024	0.523750247485977	0.0418472408947892	NA_[2141_719.58_7.3]	NA	benzyl N-[10-(8-cyanooctyl)-9-nonylnonadecyl]carbamate	[M + K]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.968
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1633	PS	PET	0.0950303606691343	0.0950303606691343	0.293429366781421	0.155626014647101	0.251199013517766	0.150229061876343	0.3462293741869	0.170281816357297	0.272290058497773	0.13549718510123	0.0394037944020181	0.563154041887995	0.0322637629018518	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1633_717.59_6.1]	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1469	PS	PET	0.0925600565258353	0.0925600565258353	0.540405092825821	0.611691669790997	0.493361838347319	0.563071991515303	0.585921894873154	0.655196935295373	0.543457997688162	0.664836135770871	0.0383794969471035	0.601533538835099	0.0594197573921545	N-hexadecanoylsphingosine-1-phosphocholine_[1469_725.56_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2213	PS	PET	0.0861978521441695	0.0861978521441695	0.347317457840598	0.160521816365297	0.296487606617779	0.160521816365297	0.382685458761948	0.328567624330303	0.378241158443536	0.333544026364245	0.0357414453640771	0.637274984199176	0.0381889796319886	NA_[2213_802.64_7.5]	NA	6-[Bis[2-(octadecanoylamino)ethyl]amino]-6-oxohexanoic acid	[M + K]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.986
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2574	PS	PET	0.0816502248729634	0.0816502248729634	0.306695459811189	0.119679467112882	0.264598874384019	0.119679467112882	0.346249099256983	0.262532043754894	0.311781351773942	0.286500710777756	0.0338557977799802	0.671130781979156	0.0337224242650316	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2574_831.7_8.5]	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M + H]+	811	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2399	PS	PET	0.0802366855011244	0.0802366855011244	0.306000397089923	0.197388279390975	0.265706103259007	0.182641963746208	0.345942788760132	0.203605205744591	0.306704201411339	0.208257321508633	0.0332696817808941	0.70440046376005	0.0336459992667882	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2399_787.67_8]	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2405	PS	PET	0.077816785864808	0.077816785864808	0.28591349789657	0.16247970598359	0.247371812147754	0.156268604794715	0.325188598012562	0.164440183141633	0.284446669162219	0.175061235279681	0.0322662842659155	0.736666748025965	0.0314373622782126	NA_[2405_788.67_8]	NA	Bis(5-methyl-2-propan-2-ylcyclohexyl)-octadecyl-(3-triethoxysilylpropyl)azanium	[M + K]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.997	0.925
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2433	Untreated	PET	0.0757774361567491	0.0757774361567491	0.3448497322698	0.313838678764286	0.322523096440674	0.324858834311739	0.340450967935115	0.285523150343599	0.398300532597423	0.363086855135051	0.0314206795976353	0.768087427623601	0.0379176430796987	N-[(15Z)-tetracosenoyl]sphing-4-enine-1-phosphocholine_[2433_835.67_8.1]	N-[(15Z)-tetracosenoyl]sphing-4-enine-1-phosphocholine	C24:1 Sphingomyelin	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1747	PS	PET	0.0731468548960641	0.0731468548960641	0.403679823011436	0.407617140739278	0.364604935041104	0.350721881702848	0.437751789937168	0.407617140739278	0.41368566510064	0.431606733890145	0.0303299241545961	0.798417351778197	0.0443862529533535	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1747_731.61_6.4]	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1467	PS	PET	0.0729517780513589	0.0729517780513589	0.42205087197759	0.495516609676747	0.387986660913715	0.458957071329684	0.460938438965074	0.528842966276191	0.412404160130374	0.503427869634072	0.030249036658987	0.828666388437184	0.0464062251688265	N-hexadecanoylsphingosine-1-phosphocholine_[1467_741.53_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + K]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1538	PS	PET	0.0699813947164083	0.0699813947164083	0.127671656611992	0.0303336937483878	0.0911863761817639	0.0185039646350935	0.161167770898172	0.0293515764195399	0.133649988900086	0.0791488788228632	0.0290173842333682	0.857683772670552	0.0140380225176452	N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine_[1538_727.57_5.8]	N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine	[(2S,3R,4E,14E)-3-hydroxy-2-[[(E)-octadec-9-enoyl]amino]octadeca-4,14-dienyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2173	PS	PET	0.0622933976727786	0.0622933976727786	0.330470768278951	0.193295095579309	0.29400679266809	0.193295095579309	0.356300190340869	0.285335529385268	0.35173987537684	0.336088423938417	0.0258296003216009	0.883513372992153	0.0363366169879218	NA_[2173_778.64_7.4]	NA	5-Butylnon-2-enyl 8-[[8-(5-butylnon-2-enoxy)-8-oxooctyl]-[3-(dimethylamino)propanoyl]phosphanyl]octanoate	[M + H]+	821	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.995	0.94
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2298	PS	PET	0.0546078996824327	0.0546078996824327	0.316464631218951	0.263192868124721	0.289528516695777	0.247999306163751	0.344136416378209	0.277938957306215	0.314993289946783	0.280537904182251	0.0226428526279549	0.906156225620108	0.0347965847470067	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2298_799.67_7.7]	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1587	Untreated	PET	0.0513540436374944	0.0513540436374944	0.298802308761667	0.188458933277141	0.271085163690319	0.188458933277141	0.314701004549943	0.188114734717666	0.322439207327813	0.199781492213414	0.0212936598678125	0.92744988548792	0.0328545399192906	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1587_717.59_6]	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1645	PS	PET	0.0509939591304612	0.0509939591304612	0.424627982857772	0.376171060438086	0.40005833129959	0.363643694118926	0.451052290430051	0.41207841029464	0.42091867082958	0.360592976243175	0.0211443528907308	0.948594238378651	0.0466895890847222	N-hexadecanoylphytosphingosine-1-phosphocholine_[1645_703.58_6.1]	N-hexadecanoylphytosphingosine-1-phosphocholine	[2-(Hexadecanoylamino)-3,4-dihydroxyoctadecyl] 2-(trimethylazaniumyl)ethyl phosphate	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2150	PS	PET	0.0482311426378135	0.0482311426378135	0.275388464862694	0.233679853493991	0.248552157199126	0.231220666951308	0.296783299836939	0.233679853493991	0.286271410241338	0.233109717953758	0.0199987668666408	0.968593005245292	0.0302800917089308	N-(2-hydroxytricosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2150_785.65_7.3]	N-(2-hydroxytricosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxytricosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2393	Untreated	PS	0.0264258987605774	0.0264258987605774	0.136102646140411	0	0.140087645914418	0	0.124637346704213	0	0.151063245464791	0	0.0109573474657825	0.979550352711074	0.0149650444110453	N-docosanoylsphingosine-1-phosphocholine_[2393_809.65_8]	N-docosanoylsphingosine-1-phosphocholine	[(E)-2-(docosanoylamino)-3-hydroxyoctadec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
