data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3332	PS	PET	0.157142431077541	0.157142431077541	0.58652592535431	0.590543691982247	0.502409302153698	0.516943826261824	0.65955173323124	0.709354523040114	0.608707556001672	0.618351588233217	0.0801559547628994	0.0801559547628994	0.0954675842453072	NA_[3332_658.69_10.9]	NA	11-(1,2,3,4,4a,5,6,7,8,8a-Decahydronaphthalen-2-yl)-4-(4-cyclohexylcyclohexyl)-8-heptan-3-yl-12-methylpentadecan-1-ol	[M + H3N + H]+	383	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.983	0.538	0.932
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3212	PS	Untreated	0.155169543435315	0.155169543435315	0.492025193606339	0.528408906713996	0.50673441100924	0.533863302855704	0.533942229816176	0.555704571550681	0.378772686380862	0.449367192309351	0.0791496148996413	0.159305569662541	0.0800859000274396	NA_[3212_590.62_10.3]	NA	3-(3,7,12,16,20,24-Hexamethylpentacosyl)-2,4,4-trimethylcyclohex-2-en-1-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.926	0.556	0.918
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2956	PET	PS	0.151259538066463	0.151259538066463	0.122129139641792	0.0419461696622168	0.210525689802219	0.0629641613683627	0.0592661517357551	0.040045934557287	0.0710620151330126	0.0306458766069574	0.0771551808609209	0.236460750523462	0.0198787017309021	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol_[2956_506.53_9.4]	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.896	0.622	0.921
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2893	PET	Untreated	0.148447129230654	0.148447129230654	0.220285251414506	0.141429093133885	0.283467945746586	0.170779761108485	0.199734774531713	0.138285899818043	0.135020816515932	0.12433145346788	0.0757206140550484	0.31218136457851	0.0358553644235063	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol_[2893_506.53_9.2]	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.969	0.649	0.929
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3183	PS	PET	0.136954094077463	0.136954094077463	0.721705379995368	0.743276033421909	0.644648777730907	0.705966052393843	0.78160287180837	0.78523406636312	0.756023600898283	0.743276033421909	0.0698581923048528	0.382039556883363	0.117470458144503	NA_[3183_576.61_10.2]	NA	15,23-Dimethyl-15,22-heptatriacontadien-19-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.918	0.479	0.895
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2916	PS	PET	0.134476494929963	0.134476494929963	0.668284331771101	0.711015586209493	0.599188544635336	0.651331086998087	0.733665039565298	0.74149887326081	0.675714490454237	0.695611181262971	0.0685944068089444	0.450633963692307	0.108775227121693	NA_[2916_532.55_9.3]	NA	18-Octadeca-9,12-dienoxyoctadeca-6,9-diene	[M + H3N + H]+	33	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.871	0.226	0.748
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2894	PET	PS	0.125857115933473	0.125857115933473	0.050342846373389	0	0.125857115933473	0	0	0	0	0	0.0641977931878528	0.51483175688016	0.00819419861858074	NA_[2894_492.52_9.3]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.954	0.295	0.7
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3073	PS	Untreated	0.123640386604285	0.123640386604285	0.676723923089143	0.707451908306402	0.63654825261328	0.663979707604214	0.744721165607813	0.797472047418627	0.621080779003528	0.685533701260895	0.0630670734031735	0.577898830283333	0.110148921549036	NA_[3073_548.58_9.7]	NA	NA	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.927	0.384	0.849
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3385	PS	PET	0.116115600444367	0.116115600444367	0.653547865711095	0.664785180288005	0.588230612892913	0.572486539740123	0.70434621333728	0.691994139973847	0.682585676095092	0.677482581781087	0.0592287948752232	0.637127625158557	0.106376603711804	NA_[3385_660.7_11.1]	NA	7-Methylidene-4-(2-methylidenenonadecyl)tetracosan-2-one	[M + H3N + H]+	619	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.908	0.376	0.84
filtered	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3134	PS	PET	0.0998496257537936	0.0998496257537936	0.67319110856728	0.678188209806531	0.632299643527615	0.635129632656543	0.732149269281408	0.730746249777606	0.637057717218355	0.628497095482474	0.0509317695426527	0.688059394701209	0.109573892801952	NA_[3134_588.61_10]	NA	3-[(Z)-3,7,12,16,20,24-hexamethylpentacos-20-enyl]-2,4,4-trimethylcyclohex-2-en-1-one	[M + H3N + H]+	455	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.834	0.268	0.809
