data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1379	Untreated	PET	0.205409537703682	0.205409537703682	0.423225034800117	0.356843372228447	0.309211505113847	0.336264656521317	0.491540560477682	0.373809541220117	0.514621042817529	0.626237539295141	0.12950255543268	0.12950255543268	0.0732106909432298	NA_[1379_486.48_5.1]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H]+	42	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.997	0.986	0.957
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2643	Untreated	PS	0.163520274798941	0.163520274798941	0.600944642237304	0.604803544155484	0.647644812107586	0.703090568363107	0.515304437390803	0.595284811117985	0.678824712189744	0.575967788538021	0.103093038854239	0.23259559428692	0.103953142794597	NA_[2643_549.57_8.7]	NA	4-Methyl-1-(4-methyl-2,2,6,6-tetrapropylpiperidin-1-yl)oxy-2,2,6,6-tetrapropylpiperidine	[M + H]+	57	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.917	0.975	0.875
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2401	Untreated	PET	0.150007242417241	0.150007242417241	0.335744960880004	0.274301893716474	0.27755384403554	0.286680386472043	0.348028014938079	0.264672130571366	0.427561086452781	0.341111355517804	0.0945736086240855	0.327169202911005	0.0580781346697545	NA_[2401_592.58_8]	NA	1-Hydroxy-4-[1-(1-hydroxy-2,2,6-trimethyl-6-propan-2-ylpiperidin-4-yl)-3-(1,2,2,6-tetramethyl-6-propan-2-ylpiperidin-4-yl)propyl]-2,2,6-trimethyl-6-propan-2-ylpiperidine	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.942	0.965	0.976
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2462	Untreated	PET	0.146256301722368	0.146256301722368	0.435560759647991	0.435253525675925	0.353901046004219	0.403041999642915	0.484922179252464	0.44595338777047	0.500157347726588	0.482067618988555	0.0922087894891373	0.419377992400142	0.0753445603156428	NA_[2462_813.68_8.1]	NA	NA	[M + H3N + H]+	5	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.318	0.581	0.712
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1255	Untreated	PET	0.126633122707774	0.126633122707774	0.621776855116427	0.630121453536421	0.559557423146283	0.630121453536421	0.651789441717757	0.613152679737549	0.686190545854058	0.699405183134698	0.079837154478845	0.499215146878987	0.107556759247668	NA_[1255_468.45_4.6]	NA	N,N'-(Iminodiethylene)bis(dodecanamide)	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.884	0.953	0.813
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1357	Untreated	PET	0.126042555922951	0.126042555922951	0.720017709480785	0.760978396844583	0.648118787110024	0.698636642749687	0.76484481507545	0.769560861752009	0.774161343032975	0.784875640571193	0.0794648255760917	0.578679972455079	0.124550746454178	NA_[1357_515.34_5]	NA	[(4R,5S,6S,7R)-4,7-dibenzyl-1,3-bis(cyclopentylmethyl)-5,6-dihydroxy-1,3-diazepan-2-ylidene]cyanamide	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.947	0.809	0.725
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2981	PET	Untreated	0.123450265744689	0.123450265744689	0.351439084236463	0.343245021471069	0.387459468394374	0.379094669648851	0.359133640871942	0.351294128338621	0.264009202649684	0.293932955876111	0.0778304895746534	0.656510462029733	0.0607929495322953	NA_[2981_556.54_9.5]	NA	(2S)-1-[4-[2-[[(2S)-2-hydroxydodecyl]-[(2S)-2-hydroxypropyl]amino]ethyl]piperazin-1-yl]dodecan-2-ol	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.906	0.794	0.769
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3145	PET	PS	0.113760806065369	0.113760806065369	0.0577410222736334	0	0.113760806065369	0.00126565940936577	0	0	0.0611834992374286	0	0.0717216700755119	0.728232132105244	0.00998820908223824	NA_[3145_505.52_10.1]	NA	4-[2,3-Bis(2,2,6,6-tetramethylpiperidin-4-yl)cyclopentyl]-2,2,6,6-tetramethylpiperidine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.873	0.645	0.71
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2640	Untreated	PS	0.102814256615315	0.102814256615315	0.498536673838446	0.399773269309775	0.529907954232217	0.637668823814636	0.443351068037495	0.371777892643073	0.546165324652809	0.399773269309775	0.0648203054027708	0.793052437508015	0.0862383161466094	NA_[2640_503.5_8.7]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H3N + H]+	8	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.992	0.84	0.734
filtered	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3472	PET	PS	0.0963544777314082	0.0963544777314082	0.0417968840231999	0	0.0963544777314082	0	0	0	0.0162754646531831	0	0.0607476713744388	0.853800108882454	0.00723014592002501	NA_[3472_505.52_11.6]	NA	2-Propyl-4,6-di(tridecyl)-1,3,5-triazine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.924	0.581	0.713
