data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	502	PET	Untreated	0.253629621429061	0.253629621429061	0.278543750595973	0.121648209161416	0.417085469070916	0.215480012938168	0.197545983598088	0.121648209161416	0.163455847641856	0.0857830606992765	0.0402119967516526	0.0402119967516526	0.0130504668009287	NA_[502_135.08_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M - H2O + H]+	429	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.931	0.53	0.751
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	664	PET	Untreated	0.250301114450685	0.250301114450685	0.187684614678372	0	0.337324624368122	0.0509729028865168	0.0883751573690898	0	0.0870235099174378	0	0.0396842748276589	0.0798962715793115	0.00879349052945726	NA_[664_200.16_2.6]	NA	Cyclobutanecarboxylic acid, 3-cyclohexyl-	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.968	0.846	0.803
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	533	PET	Untreated	0.249504042732117	0.249504042732117	0.262494003231479	0.101100640898702	0.401371362331289	0.179699465237765	0.178929985947821	0.0960868755267314	0.151867319599173	0.0750967003167411	0.0395579021856257	0.119454173764937	0.0122984962587949	NA_[533_155.11_2]	NA	1,2,3,3a,4,5,6,6a-Octahydropentalene-2-carboxylate	[M + H]+	266	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.743	0.846
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	474	PET	Untreated	0.244573355973119	0.244573355973119	0.260947256170047	0.102941341250789	0.40152267342017	0.179706711759941	0.172370808281422	0.0970776068739737	0.156949317447051	0.0678805012415943	0.0387761608463489	0.158230334611286	0.0122260273158319	10-undecynoic acid_[474_200.16_1.9]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.967	0.848
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	509	PET	Untreated	0.244431789433222	0.244431789433222	0.270535183136785	0.107693689798107	0.406135495165692	0.202393022666792	0.189350609810035	0.107693689798107	0.161703705732471	0.0705643804932939	0.0387537160182944	0.19698405062958	0.0126752455169275	10-undecynoic acid_[509_200.16_2]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.993	0.962	0.833
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	500	PET	Untreated	0.243333272932084	0.243333272932084	0.295082275659494	0.14346194130083	0.426334818784963	0.229953366574203	0.219870097437333	0.14346194130083	0.183001545852879	0.103861283183251	0.0385795504704121	0.235563601099992	0.0138253377927065	2,6-Nonadienoic acid_[500_172.13_1.9]	2,6-Nonadienoic acid	nona-2,6-dienoic acid	[M + H3N + H]+	293	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.926	0.592	0.716
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	476	PET	Untreated	0.239258127033871	0.239258127033871	0.228594369261935	0.0680592271207993	0.367556828181816	0.135683227168496	0.13977974439905	0.0653698075537376	0.128298701147944	0.0317743897313014	0.0379334518298111	0.273497052929804	0.0107102141783799	NA_[476_198.15_1.9]	NA	Undeca-2Z-en-8,10-diensaure	[M + H3N + H]+	16	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.997	0.839	0.889
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	699	PET	Untreated	0.238106478756208	0.238106478756208	0.185511498324497	0	0.325052465131923	0.0638028329142965	0.0952532874914618	0	0.0869459863757156	0	0.0377508624439992	0.311247915373803	0.00869167462883079	10-undecynoic acid_[699_200.16_2.7]	10-undecynoic acid	undec-10-ynoic acid	[M + H3N + H]+	182	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.994	0.962	0.853
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	395	Untreated	PET	0.237681750732307	0.237681750732307	0.360482096952898	0.250092123978127	0.228893633996449	0.226610089054664	0.439023916021418	0.297612637763171	0.466575384728756	0.553595378702486	0.0376835234564582	0.348931438830261	0.0168894819163858	henicosanoic acid_[395_344.35_1.6]	henicosanoic acid	Heneicosanoic Acid	[M + H3N + H]+	21	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.902	0.916
filtered	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	380	PET	Untreated	0.225659081100914	0.225659081100914	0.44309272979967	0.483557862340525	0.540846807676832	0.514495209620641	0.409291153534383	0.422126994246863	0.315187726575918	0.139251728357927	0.0357773756278262	0.384708814458087	0.0207599953242931	2E,4E,8Z,10E-dodecatetraenoic acid_[380_210.15_1.5]	2E,4E,8Z,10E-dodecatetraenoic acid	Dodeca-2,4,8,10-tetraenoic acid	[M + H3N + H]+	428	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.974	0.729	0.805
