data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Wax monoesters	NPC class: Wax monoesters	1720	PS	PET	0.31063791741079	0.31063791741079	0.276308001145824	0.219802218187633	0.102992617994889	0	0.41363053540568	0.302297806732641	0.34829369892798	0.382172061842797	0.0585898017917133	0.0585898017917133	0.0327198254894196	NA_[1720_496.51_6.3]	NA	dotriacontane-11,13-dione	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.992	0.989	0.94
filtered	class	Wax monoesters	NPC class: Wax monoesters	598	Untreated	PET	0.296289202774181	0.296289202774181	0.348638304986768	0.226524290318915	0.204592854688468	0.195024591343153	0.416561879047127	0.245890777742511	0.500882057462649	0.567912733479213	0.0558834729779869	0.1144732747697	0.0412850313808819	dodecanoic anhydride_[598_400.38_2.4]	dodecanoic anhydride	dodecanoyl dodecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.964	0.965	0.838
filtered	class	Wax monoesters	NPC class: Wax monoesters	2378	PET	Untreated	0.270168782467586	0.270168782467586	0.167053766241808	0	0.317825427365725	0.0524885518761292	0.075980665789727	0	0.0476566448981383	0	0.0509568681989063	0.165430142968607	0.0197821635859815	NA_[2378_438.43_8]	NA	19-Octacosynoic acid	[M + H3N + H]+	57	Fatty acids	Fatty esters	Wax monoesters	0.683	0.919	0.758
filtered	class	Wax monoesters	NPC class: Wax monoesters	1281	Untreated	PET	0.264302382215022	0.264302382215022	0.243213504313832	0.0579280235592664	0.110896706104557	0.0173097459137004	0.309537510520233	0.0593386777497082	0.375199088319579	0.433809556604521	0.0498503991918595	0.215280542160466	0.0288008432069216	NA_[1281_470.46_4.7]	NA	2-Oxodecyl nonadecanoate	[M + H3N + H]+	-1	Fatty acids	Fatty esters	Wax monoesters	0.983	0.97	0.854
filtered	class	Wax monoesters	NPC class: Wax monoesters	2422	PET	Untreated	0.264006965034883	0.264006965034883	0.315623640841053	0.231882351147293	0.441999874034277	0.249262541659293	0.258062773568659	0.232292541304785	0.177992908999394	0.152561937754238	0.0497946801921494	0.265075222352615	0.0373755027209808	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
filtered	class	Wax monoesters	NPC class: Wax monoesters	1456	PS	PET	0.262019424584065	0.262019424584065	0.329208323223506	0.293296622761681	0.185945605851201	0.147529076331722	0.447965030435266	0.320737312663961	0.378220343544594	0.439971000174475	0.0494198077295823	0.314495030082198	0.0389841728826836	NA_[1456_468.48_5.5]	NA	Ethenyl octacosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.98	0.992	0.931
filtered	class	Wax monoesters	NPC class: Wax monoesters	1147	Untreated	PET	0.236086025170166	0.236086025170166	0.464001543691715	0.425937436280272	0.345750612423931	0.391581332029467	0.523334928008307	0.425937436280272	0.581836637594097	0.699173137281116	0.0445284771923757	0.359023507274573	0.0549461089561491	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
filtered	class	Wax monoesters	NPC class: Wax monoesters	833	Untreated	PET	0.233174402221765	0.233174402221765	0.406848820954968	0.333443660544824	0.287229078854187	0.295003137824923	0.469691232995257	0.335010617447313	0.520403481075953	0.626994085229027	0.0439793123870587	0.403002819661632	0.0481782010184972	NA_[833_428.41_3.2]	NA	ethyl 14-oxotetracosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.987	0.96	0.81
filtered	class	Wax monoesters	NPC class: Wax monoesters	1107	Untreated	PET	0.226883869965422	0.226883869965422	0.344606295675485	0.24088409422644	0.221023943676739	0.198857750822864	0.416537888690893	0.241890676361494	0.447907813642162	0.514299383576731	0.0427928473182237	0.445795666979856	0.0408075691268401	NA_[1107_500.47_4.1]	NA	[(2S)-2-dodecanoyloxypropyl] pentadecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.953	0.977	0.84
filtered	class	Wax monoesters	NPC class: Wax monoesters	2381	PET	Untreated	0.224219607092218	0.224219607092218	0.32038074417686	0.24171079257587	0.428264471115679	0.288680524710879	0.270664957314741	0.235029265862197	0.204044864023462	0.190889297954571	0.0422903374026179	0.488086004382474	0.0379388291188313	NA_[2381_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.977	0.904
