data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	1145	Untreated	PET	0.354365375357622	0.354365375357622	0.232356173195051	0	0.0609024701900395	0	0.312354040023758	0	0.415267845547662	0.502870281048409	0.00929487841097357	0.00929487841097357	0.00246318683677719	olaflur_[1145_459.45_4.2]	olaflur	N-Stearyl-N-(2-hydroxyethyl)-N',N'-bis(2-hydroxyethyl)trimethylenediamine	[M + H]+	1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.996	0.878	0.483
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	698	PET	Untreated	0.282701328363898	0.282701328363898	0.218884982855702	0	0.384995802731452	0.109269311406884	0.111069417224027	0	0.102294474367553	0	0.00741515581512817	0.0167100342261017	0.00232037996290192	NA_[698_403.35_2.7]	NA	N-Octadecanoylthreonine	[M + H3N + H]+	93	Fatty acids	Fatty amides	Fatty acyl homoserine lactones	0.997	0.893	0.58
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	2436	Untreated	PET	0.281114241025816	0.281114241025816	0.477856480018718	0.590802513191414	0.415013632634297	0.598010332736143	0.431563630582443	0.472712275799054	0.696127873660113	0.699879873261412	0.0073735270758074	0.0240835613019091	0.00506571344873508	NA_[2436_520.52_8.1]	NA	3,3-Dimethyl-9-(octadecylamino)-2,4,4a,5,6,7,8,8a,9,9a,10,10a-dodecahydroacridin-10-ium-1-one	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	0.984	0.777	0.202
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	697	PET	PS	0.276449985500168	0.276449985500168	0.180721760411953	0	0.345018481387563	0	0.0685684958873947	0	0.0764348475098509	0	0.00725118530371734	0.0313347466056265	0.00191581508356243	Putative (3-hydroxyoctadecanoyl)glycine_[697_375.32_2.7]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.943	0.726
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	596	PET	Untreated	0.272823853624673	0.272823853624673	0.204388610252318	0	0.361846677109529	0.0740939724501969	0.104613436778838	0	0.0890228234848567	0	0.00715607314765279	0.0384908197532793	0.00216670522430267	NA_[596_352.25_2.3]	NA	NA	[M + Na]+	3	Fatty acids	Fatty amides	N-acyl amines	0.998	0.93	0.399
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	691	PET	Untreated	0.269326275460223	0.269326275460223	0.296696996221865	0.184378933220627	0.39238990907647	0.43716817949941	0.287820764670069	0.135672187162486	0.123063633616247	0	0.00706433290994299	0.0455551526632223	0.00314525809904583	NA_[691_523.46_2.7]	NA	N-[3-[3-(cyclopentanecarbonylamino)propyl-dodecanoylamino]propyl]cyclopentanecarboxamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.911	0.736
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	665	PET	PS	0.267567766840458	0.267567766840458	0.211697502209888	0	0.370291698016895	0.0853893476897968	0.102723931176438	0	0.112456252662776	0	0.00701820785105744	0.0525733605142797	0.00224418612878546	Putative (3-hydroxyoctadecanoyl)glycine_[665_380.28_2.6]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + Na]+	211	Fatty acids	Fatty amides	N-acyl amines	0.988	0.831	0.355
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	1169	Untreated	PET	0.263595275325608	0.263595275325608	0.38374006926722	0.373713971714754	0.313110803433717	0.3481643671645	0.35788633035467	0.363098926009206	0.576706078759325	0.57759555385092	0.00691401080420462	0.0594873713184843	0.0040679938663369	NA_[1169_334.31_4.3]	NA	1-(pyrrolidin-1-yl)octadeca-2,4-dien-1-one	[M + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.968
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	2382	PET	Untreated	0.259376368762186	0.259376368762186	0.198211863055448	0	0.341885934582785	0.118124620576401	0.112388940145534	0	0.0825095658205994	0	0.00680335037781649	0.0662907216963008	0.00210122608432449	N-2-hydroxypalmitoylsphingosine_[2382_576.5_8]	N-2-hydroxypalmitoylsphingosine	N-2-Hydroxypalmitoylsphingosine	[M + Na]+	529	Fatty acids	Fatty amides	N-acyl amines	1	0.954	0.664
filtered	superclass	Fatty amides	NPC superclass: Fatty amides	650	Untreated	PS	0.252841844796059	0.252841844796059	0.230758392903934	0.116349308716926	0.225926911522765	0.116349308716926	0.149698765559361	0.0823531692028731	0.40254061035542	0.393667153499371	0.00663195212628741	0.0729226738225882	0.0024462489120084	Kalihinol A_[650_415.21_2.5]	Kalihinol A	Kalihinol A	[M + Na]+	186	Fatty acids	Fatty amides	N-acyl amines	0.992	0.811	0.134
