data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Lignans	NPC superclass: Lignans	1212	Untreated	PS	0.341433265426955	0.341433265426955	0.105505765332436	0	0.067057503297681	0.00448716456388997	0.0173268515466215	0	0.358760116973577	0.172259915945971	0.115531224881155	0.115531224881155	0.0422347530682361	NA_[1212_415.21_4.4]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.701	0.877	0.336
filtered	superclass	Lignans	NPC superclass: Lignans	1006	Untreated	PS	0.337284804974894	0.337284804974894	0.182344663468968	0.0539849021897931	0.193546151776902	0.0944677453008764	0.062448736272047	0.0122604503451262	0.399733541246941	0.34767414027247	0.114127504839998	0.229658729721153	0.0729939431334072	NA_[1006_415.21_3.7]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.783	0.89	0.415
filtered	superclass	Lignans	NPC superclass: Lignans	1435	Untreated	PS	0.332786152040469	0.332786152040469	0.0792645203791163	0	0.0317682249275565	0	0	0	0.332786152040469	0.284753289788384	0.112605289706158	0.342264019427311	0.0317301849309929	NA_[1435_415.21_5.3]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.78	0.936	0.355
filtered	superclass	Lignans	NPC superclass: Lignans	1471	Untreated	PS	0.310378001147713	0.310378001147713	0.0641660842915723	0	0.00522621015507445	0	0	0	0.310378001147713	0.0542005887099362	0.105023014098874	0.447287033526185	0.02568616716699	NA_[1471_415.21_5.5]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.748	0.931	0.339
filtered	superclass	Lignans	NPC superclass: Lignans	1064	Untreated	PS	0.306435577517317	0.306435577517317	0.193314782640547	0	0.20104953783495	0.0816024342355398	0.0860130866718395	0	0.392448664189156	0.277193947261611	0.103689011009133	0.550976044535318	0.0773853645204841	NA_[1064_415.21_3.9]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.846	0.942	0.435
filtered	superclass	Lignans	NPC superclass: Lignans	970	Untreated	PS	0.243941229702218	0.243941229702218	0.215251309999407	0.0599942839953982	0.251529946113423	0.0901692814040691	0.10975180935599	0.019691669784137	0.353693039058209	0.314101006591879	0.0825427160158824	0.6335187605512	0.0861667217596532	NA_[970_415.21_3.6]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.756	0.923	0.346
filtered	superclass	Lignans	NPC superclass: Lignans	885	Untreated	PS	0.221303734265141	0.221303734265141	0.191000374346999	0.060031930459811	0.171123752291366	0.0721985103404953	0.130483544295707	0.0301709720048128	0.351787278560849	0.448658346480293	0.0748828367922904	0.708401597343491	0.0764588894366905	NA_[885_415.21_3.4]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.712	0.902	0.439
filtered	superclass	Lignans	NPC superclass: Lignans	1554	Untreated	PET	0.201056276288695	0.201056276288695	0.0402112552577391	0	0	0	0	0	0.201056276288695	0	0.0680316777002689	0.77643327504376	0.0160968685552229	NA_[1554_415.21_5.8]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.794	0.943	0.424
filtered	superclass	Lignans	NPC superclass: Lignans	1510	Untreated	PS	0.200769000333907	0.200769000333907	0.0408065546206428	0	0.00163188638465344	0	0	0	0.200769000333907	0.0213439920647654	0.0679344717561026	0.844367746799862	0.0163351713770137	NA_[1510_415.21_5.6]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.735	0.923	0.308
filtered	superclass	Lignans	NPC superclass: Lignans	813	PET	PS	0.196627717410257	0.196627717410257	0.232492154728527	0.0620252123352563	0.31964798862352	0.128569199031749	0.123020271213263	0	0.27712425396907	0.324756695118373	0.0665331803847115	0.910900927184574	0.0930683618503897	NA_[813_415.21_3.1]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.709	0.915	0.293
