data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	1385	Untreated	PS	0.417111335139896	0.417111335139896	0.214026570111659	0.0695718438092857	0.164072695676103	0.075770120731521	0.108292041355398	0.0119109514416478	0.525403376495294	0.584120606669495	0.142290881760784	0.142290881760784	0.0391216681241701	NA_[1385_507.27_5.2]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Linear polyketides	Open-chain polyketides	0.562	0.761	0.504
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	1283	Untreated	PS	0.312770874489248	0.312770874489248	0.27488038874586	0.135690574363727	0.271978091883611	0.167394016059477	0.17255829515761	0	0.485329169646858	0.482622294997941	0.106696797163856	0.248987678924641	0.050245066940745	NA_[1283_507.27_4.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.639	0.895	0.628
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	1495	Untreated	PS	0.278233573875816	0.278233573875816	0.141784447795862	0.0046370590411273	0.128056551986986	0.0379673231749567	0.0581918537098398	0	0.336425427585656	0.247297591373073	0.0949149477056671	0.343902626630308	0.0259166145069959	NA_[1495_507.27_5.6]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.561	0.728	0.518
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	2517	PS	PET	0.1823164145504	0.1823164145504	0.423222793079902	0.444248321440928	0.330623821021133	0.432732140228269	0.512940235571533	0.444248321440928	0.428985852214181	0.454072930705422	0.0621943380587831	0.406096964689091	0.077360402705226	D-galactosyl-N-hexadecanoylsphinganine_[2517_740.55_8.4]	D-galactosyl-N-hexadecanoylsphinganine	Beta-D-Galactosyl-(1<->1')-N-Hexadecanoylsphinganine	[M + K]+	380	Polyketides	Linear polyketides	Open-chain polyketides	0.875	0.937	0.8
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	2685	PS	PET	0.168354924140245	0.168354924140245	0.406918356236692	0.435719042432762	0.319460828182862	0.409277087148955	0.487815752323108	0.438889154864727	0.42003862017152	0.431325662736781	0.0574315982006364	0.463528562889727	0.0743801336349008	beta-D-glucosyl-N-(octadecanoyl)sphinganine_[2685_768.58_8.8]	beta-D-glucosyl-N-(octadecanoyl)sphinganine	Beta-D-Galactosyl-(1<->1')-N-Octadecanoylsphinganine	[M + K]+	380	Fatty acids	Linear polyketides	Open-chain polyketides	0.791	0.712	0.445
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	973	Untreated	PET	0.166666666666667	0.166666666666667	0.0406333671360001	0	0	0	0.018250084506667	0	0.166666666666667	0	0.0568556760802888	0.520384238970016	0.00742732597654967	NA_[973_590.35_3.6]	NA	Ac-Ser-Ala-Val-Leu-Cha-al	[M + Na]+	167	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.924	0.846	0.306
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	2520	PS	PET	0.143549086513759	0.143549086513759	0.292066716306021	0.224246748658597	0.221285296513186	0.224246748658597	0.364834383026945	0.286475874864722	0.288094222449843	0.137679057142449	0.0489694821866859	0.569353721156702	0.0533865357907628	NA_[2520_762.48_8.4]	NA	4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-1-isopropyl-3a-[(4-isopropylpiperazine-1-carbonyl)amino]-5a,5b,8,8,11a-pentamethyl-2-oxo-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxo-butanoic acid	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.549	0.735	0.613
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	884	PS	Untreated	0.123296508073373	0.123296508073373	0.0768499241878127	0	0.0510083482397233	0	0.135176477510997	0	0.0118799694376235	0	0.0420606379491026	0.611414359105805	0.0140473083686513	NA_[884_581.49_3.4]	NA	9-hydroxy-2-[1-hydroxy-3-(1-hydroxy-2-{[4-(3-methylbutyl)-1H-pyrrol-2-yl]methyl}cyclopentyl)propyl]hexadecanoic acid	[M + H3N + H]+	131	Fatty acids	Linear polyketides	Open-chain polyketides	0.371	0.793	0.284
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	922	Untreated	PET	0.121872733176748	0.121872733176748	0.163059908965869	0	0.116967963163334	0	0.171261461081298	0	0.238840696340082	0	0.0415749398431	0.652989298948905	0.0298055313393662	NA_[922_576.33_3.5]	NA	Rhizoxin D	[M - H2O + H]+	59	Polyketides	Linear polyketides	Open-chain polyketides	0.74	0.739	0.594
filtered	superclass	Linear polyketides	NPC superclass: Linear polyketides	2291	PS	PET	0.110102279165247	0.110102279165247	0.45411498258662	0.460378495359424	0.404190217631841	0.351305852143628	0.514292496797089	0.578796319988459	0.433609484075241	0.441774866139218	0.037559637119525	0.69054893606843	0.0830071501388753	NA_[2291_762.6_7.7]	NA	methyl 4-hydroxy-1-[2-(4-hydroxyphenyl)ethyl]-5-(2-oxooctadecylidene)-2-pentadecylpyrrolidine-3-carboxylate	[M + Na]+	300	Alkaloids	Linear polyketides	Open-chain polyketides	0.278	0.749	0.759
