data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Macrolides	NPC superclass: Macrolides	1405	Untreated	PS	0.408831974899577	0.408831974899577	0.145017682545198	0	0.0921080100584316	0	0.0440134725698505	0	0.452845447469427	0.45478394763809	0.0415412336789108	0.0415412336789108	0.0103172763820636	NA_[1405_516.33_5.2]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.721	0.768	0.513
filtered	superclass	Macrolides	NPC superclass: Macrolides	1547	Untreated	PS	0.408595026003729	0.408595026003729	0.0940213003547108	0	0.0238671216605314	0	0.0045924108162541	0	0.413187436819983	0.440387515795364	0.0415171574078343	0.0830583910867451	0.0066891411070386	NA_[1547_516.33_5.8]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.828	0.894	0.716
filtered	superclass	Macrolides	NPC superclass: Macrolides	1549	Untreated	PS	0.380409934415426	0.380409934415426	0.146755002281827	0.0452502269668128	0.10737977450031	0.0807205094144418	0.0462018426643622	0.00630374740606587	0.426611777079788	0.362796779664193	0.0386532828876998	0.121711673974445	0.0104408779151471	NA_[1549_530.35_5.8]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.912	0.816	0.626
filtered	superclass	Macrolides	NPC superclass: Macrolides	1523	Untreated	PS	0.371619978240896	0.371619978240896	0.154214143450033	0.0129086952796463	0.121717896638888	0.0476055815121406	0.0520049819104982	0	0.423624960151394	0.435220850164508	0.0377601393815853	0.15947181335603	0.0109715581718891	NA_[1523_507.27_5.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	238	Polyketides	Macrolides	Polyene macrolides	0.496	0.964	0.494
filtered	superclass	Macrolides	NPC superclass: Macrolides	1218	Untreated	PS	0.334990929451028	0.334990929451028	0.322290516244035	0.236157348087456	0.367723096158999	0.28982713321715	0.180338486483716	0.126676234928163	0.515329415934744	0.53218725600037	0.0340382781558583	0.193510091511888	0.0229293440154878	NA_[1218_530.35_4.4]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.884	0.787	0.631
filtered	superclass	Macrolides	NPC superclass: Macrolides	1517	Untreated	PS	0.322786575012426	0.322786575012426	0.15623985237327	0.048143110716524	0.138466962244752	0.0782731933033967	0.0604929207881401	0.00728950758024975	0.383279495800567	0.40041059931278	0.0327981991729002	0.226308290684789	0.0111156771404441	NA_[1517_530.35_5.7]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.828	0.852	0.621
filtered	superclass	Macrolides	NPC superclass: Macrolides	806	Untreated	PS	0.307593581770412	0.307593581770412	0.220276403518597	0.156257553813188	0.198073391269391	0.163552411403149	0.132547217761263	0.104003992418423	0.440140799531675	0.414591281046894	0.0312544459410165	0.257562736625805	0.0156715546384489	NA_[806_991.55_3.1]	NA	[(1S,2S,4S,7R,9S,10S,12R,15S)-4-acetyloxy-15-[(Z,4R,5S)-4-decanoyloxy-5-[(2-methylpropan-2-yl)oxycarbonylamino]-5-phenylpent-2-en-3-yl]oxy-1,9,12-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate	[M + H3N + H]+	398	Polyketides	Macrolides	Open-chain polyketides	0.771	0.895	0.566
filtered	superclass	Macrolides	NPC superclass: Macrolides	1332	Untreated	PS	0.30594134230631	0.30594134230631	0.179682876918472	0.095767041145856	0.167795819717205	0.107082763669751	0.0856271342838796	0.0122920685438032	0.39156847659019	0.273750905544951	0.0310865626298135	0.288649299255619	0.0127835300478918	NA_[1332_530.35_4.9]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.894	0.868	0.664
filtered	superclass	Macrolides	NPC superclass: Macrolides	1232	Untreated	PS	0.292200149240992	0.292200149240992	0.200389965668909	0.0546735043574905	0.249959854295552	0.0953177898736874	0.0699433235041494	0	0.362143472745141	0.383247893437242	0.0296903261630019	0.318339625418621	0.0142567349285421	NA_[1232_516.33_4.5]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.591	0.819	0.347
filtered	superclass	Macrolides	NPC superclass: Macrolides	1401	Untreated	PET	0.288037845986961	0.288037845986961	0.0576075691973921	0	0	0	0	0	0.288037845986961	0	0.029267396395435	0.347607021814056	0.00409848787180212	NA_[1401_528.33_5.2]	NA	4-acetyl-3,6,6',11'-tetramethyl-17'-oxo-hexahydro-3H-7'-oxaspiro[furo[3,2-b]pyridine-2,5'-pentacyclo[8.8.0.0²,⁸.0⁶,⁸.0¹¹,¹⁶]octadecan]-14'-yl acetate	[M + H]+	-1	Polyketides	Macrolides	Erythromycins	0.625	0.828	0.543
filtered	superclass	Macrolides	NPC superclass: Macrolides	1440	Untreated	PS	0.282082089598053	0.282082089598053	0.197344882195764	0.0271856265187685	0.168803539981323	0.0453977634796969	0.122345080472707	0	0.40442717007076	0.39445341072768	0.0286622346588877	0.376269256472943	0.0140400926043269	NA_[1440_507.27_5.3]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Macrolides	Open-chain polyketides	0.521	0.708	0.415
filtered	superclass	Macrolides	NPC superclass: Macrolides	1341	Untreated	PET	0.263175525591043	0.263175525591043	0.0526351051182086	0	0	0	0	0	0.263175525591043	0	0.0267411471664688	0.403010403639412	0.00374472214265506	NA_[1341_528.33_4.9]	NA	4-acetyl-3,6,6',11'-tetramethyl-17'-oxo-hexahydro-3H-7'-oxaspiro[furo[3,2-b]pyridine-2,5'-pentacyclo[8.8.0.0²,⁸.0⁶,⁸.0¹¹,¹⁶]octadecan]-14'-yl acetate	[M + H]+	-1	Polyketides	Macrolides	Open-chain polyketides	0.845	0.84	0.675
filtered	superclass	Macrolides	NPC superclass: Macrolides	1592	Untreated	PS	0.25972573257441	0.25972573257441	0.0859970250696708	0.0207741344078777	0.0552085167284755	0.0268672545959407	0.0199474531056643	0.00353858544579152	0.279673185680074	0.0989931817857651	0.026390615244686	0.429401018884098	0.00611825440944077	NA_[1592_530.35_5.9]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	-1	Polyketides	Macrolides	Erythromycins	0.884	0.76	0.605
filtered	superclass	Macrolides	NPC superclass: Macrolides	529	PET	Untreated	0.259427276490729	0.259427276490729	0.184193470263364	0.0132025028196743	0.334079098206321	0.0465477763732853	0.0890786665942932	0.0132025028196743	0.0746518217155922	0	0.0263602892558292	0.455761308139927	0.013104436004804	NA_[529_659.52_2]	NA	Bis[2-[bis(2-hydroxyethyl)amino]ethyl] 2-icos-1-enylbutanedioate	[M + H]+	108	Polyketides	Macrolides	Erythromycins	0.904	0.875	0.926
filtered	superclass	Macrolides	NPC superclass: Macrolides	1514	Untreated	PS	0.256769664939707	0.256769664939707	0.0855356171784856	0	0.0595183919150334	0	0.0172905457075514	0	0.274060210647258	0.155733421559941	0.0260902505376104	0.481851558677538	0.00608542756615744	NA_[1514_516.33_5.6]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.8	0.706	0.67
filtered	superclass	Macrolides	NPC superclass: Macrolides	1653	Untreated	PS	0.250588687673909	0.250588687673909	0.0730483525044416	0.0124806926154229	0.0404024516844587	0.0181792695390673	0.0112827238264608	0.00267405566070371	0.261871411500369	0.0648038805149589	0.0254622042087349	0.507313762886273	0.0051970216929086	NA_[1653_530.35_6.1]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.654	0.758	0.363
filtered	superclass	Macrolides	NPC superclass: Macrolides	503	PET	Untreated	0.248513895647259	0.248513895647259	0.182567197737311	0.0126720080613011	0.326493357279144	0.063933420121164	0.0909349062481912	0.0126720080613011	0.0779794616318845	0	0.0252513855210935	0.532565148407366	0.0129887349204302	NA_[503_659.52_1.9]	NA	N-[(2S,3R,4E,6E)-3-hydroxy-1-[(2S,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxytetradeca-4,6-dien-2-yl]hexadecanamide	[M + H3N + H]+	108	Polyketides	Macrolides	Erythromycins	0.965	0.919	0.635
filtered	superclass	Macrolides	NPC superclass: Macrolides	1011	Untreated	PS	0.244567349766074	0.244567349766074	0.210500453370771	0.109653716185261	0.262895600494488	0.109653716185261	0.0940479053662678	0.00887859642010319	0.338615255132342	0.321384857560352	0.0248503787634515	0.557415527170817	0.0149760451129746	NA_[1011_516.33_3.7]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.758	0.793	0.663
filtered	superclass	Macrolides	NPC superclass: Macrolides	927	Untreated	PS	0.231527244811329	0.231527244811329	0.24460949475734	0.169838705752533	0.261129979246808	0.187657845922199	0.156420090160585	0.123906206200434	0.387947334971914	0.380383947484503	0.0235253795452381	0.580940906716056	0.0174027313000387	NA_[927_530.35_3.5]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.782	0.811	0.553
filtered	superclass	Macrolides	NPC superclass: Macrolides	1123	Untreated	PS	0.222187340933773	0.222187340933773	0.284159399716559	0.176163999220219	0.36141459766231	0.372886743171133	0.158593487441468	0	0.380780828375241	0.436399266163612	0.0225763560995758	0.603517262815631	0.0202165074767572	NA_[1123_516.33_4.1]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.66	0.795	0.468
filtered	superclass	Macrolides	NPC superclass: Macrolides	3058	Untreated	PET	0.211553285574018	0.211553285574018	0.0423106571148036	0	0	0	0	0	0.211553285574018	0	0.021495834502011	0.625013097317642	0.00301018976236982	NA_[3058_530.35_9.7]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.833	0.772	0.662
filtered	superclass	Macrolides	NPC superclass: Macrolides	1134	Untreated	PS	0.205980258097008	0.205980258097008	0.312265788198161	0.18880491209795	0.35175263137234	0.275779194406767	0.217281140049706	0.106297130688798	0.423261398146713	0.455069146393172	0.0209295616786137	0.645942658996256	0.0222161351978522	NA_[1134_530.35_4.1]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	-1	Polyketides	Macrolides	Open-chain polyketides	0.837	0.874	0.509
filtered	superclass	Macrolides	NPC superclass: Macrolides	1097	Untreated	PS	0.185766293024028	0.185766293024028	0.327372290206958	0.246026339583012	0.398969029698877	0.389852701126384	0.217719032871003	0.0979027426882687	0.403485325895031	0.461305989483223	0.0188756297500256	0.664818288746282	0.0232908865913065	NA_[1097_530.35_4]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.787	0.78	0.607
filtered	superclass	Macrolides	NPC superclass: Macrolides	1807	Untreated	PET	0.177969387572407	0.177969387572407	0.136792777787742	0.00681305060749317	0.0918339202554824	0.0212365362292733	0.115246370299927	0	0.26980330782789	0.192908284063569	0.0180833896826539	0.682901678428936	0.00973211590984058	NA_[1807_530.35_6.5]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.893	0.797	0.526
filtered	superclass	Macrolides	NPC superclass: Macrolides	807	Untreated	PS	0.168567481496047	0.168567481496047	0.370648637913787	0.392626416739155	0.350176275783162	0.393766241801165	0.328107718835522	0.364802172673528	0.496675200331569	0.503767493579695	0.0171280662213683	0.700029744650304	0.026369780366612	NA_[807_507.27_3]	NA	4-amino-5-(2-{1,10-dihydroxy-9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}-2-oxoethoxy)-5-oxopentanoic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Macrolides	3-Spirotetramic acids	0.704	0.796	0.253
filtered	superclass	Macrolides	NPC superclass: Macrolides	1337	Untreated	PET	0.166651183413773	0.166651183413773	0.559661048811663	0.51967492335458	0.498903608743685	0.468493112097999	0.567471617206742	0.551708169968426	0.665554792157458	0.560180191221712	0.0169333520323577	0.716963096682662	0.0398170596821241	Spinetoram J_[1337_730.49_4.9]	Spinetoram J	13-{[5-(dimethylamino)-6-methyloxan-2-yl]oxy}-2-[(4-ethoxy-3,5-dimethoxy-6-methyloxan-2-yl)oxy]-9-ethyl-14-methyl-1H,2H,3H,3aH,4H,5H,5aH,5bH,6H,7H,9H,10H,11H,12H,13H,14H,15H,16aH,16bH-as-indaceno[3,2-d]oxacyclododecane-7,15-dione	[M - H2O + H]+	73	Polyketides	Macrolides	Open-chain polyketides	0.821	0.796	0.222
filtered	superclass	Macrolides	NPC superclass: Macrolides	2423	PS	Untreated	0.15596954774477	0.15596954774477	0.094099380495143	0	0.0322952977915739	0	0.187291951545779	0	0.0313224038010088	0.00789476465096823	0.0158479958209018	0.732811092503563	0.00669469611505315	NA_[2423_530.35_8]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.747	0.834	0.684
filtered	superclass	Macrolides	NPC superclass: Macrolides	616	Untreated	PET	0.152500877719137	0.152500877719137	0.384952157980495	0.398493727637189	0.299115115432034	0.35138974565759	0.437457282943618	0.453926476668824	0.451615993151171	0.498626587395488	0.0154955458146975	0.748306638318261	0.0273874036465773	ibha#30_[616_576.35_2.4]	ibha#30	Ibha#30	[M + H]+	380	Polyketides	Macrolides	Open-chain polyketides	0.86	0.913	0.647
filtered	superclass	Macrolides	NPC superclass: Macrolides	960	PS	PET	0.141677489394234	0.141677489394234	0.421869400881012	0.432757683798561	0.337511089968449	0.441103996799701	0.479188579362683	0.432757683798561	0.475947665742795	0.536841468821799	0.0143957861794272	0.762702424497688	0.03001387920172	NA_[960_746.48_3.6]	NA	(1S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-12-[(E)-1-[(1R,3R)-3,4-dihydroxycyclohexyl]prop-1-en-2-yl]-17-ethyl-1,14-dihydroxy-23,25-dimethoxy-13,19,21,27-tetramethyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-3,10,16-trione	[M - H2O + H]+	73	Polyketides	Macrolides	Polyene macrolides	0.935	0.988	0.845
filtered	superclass	Macrolides	NPC superclass: Macrolides	3020	PET	Untreated	0.139721762731669	0.139721762731669	0.089222038426001	0	0.139721762731669	0	0.0833333333333333	0	0	0	0.0141970656700502	0.776899490167738	0.00634769783695338	Naphthomycinol_[3020_726.3_9.5]	Naphthomycinol	Naphthomycinol	[M + K]+	-1	Polyketides	Macrolides	Open-chain polyketides	0.797	0.748	0.32
filtered	superclass	Macrolides	NPC superclass: Macrolides	791	Untreated	PS	0.126817820325151	0.126817820325151	0.359544816517861	0.387968316689122	0.352798856589845	0.387968316689122	0.321769516361487	0.360666411456771	0.448587336686638	0.447199792202911	0.0128859018673166	0.789785392035055	0.0255797995020154	NA_[791_523.25_3]	NA	5-(Morpholin-4-Ylsulfonyl)-2-{[3-(Octyloxy)benzyl]oxy}benzoic Acid	[M + H3N + H]+	-1	Polyketides	Macrolides	Polyene macrolides	0.592	0.927	0.222
filtered	superclass	Macrolides	NPC superclass: Macrolides	1734	PS	PET	0.125809843281147	0.125809843281147	0.589271089490685	0.580827532465314	0.522243503188363	0.443537888306946	0.64805334646951	0.722454073778878	0.605761748137676	0.580827532465314	0.0127834817717793	0.802568873806834	0.0419236646699289	NA_[1734_950.64_6.4]	NA	6-[1-[(2E,4Z,12E,13Z)-9-amino-3-(3,3-dimethylpentyl)-7,16-diethyl-12-[1-(2-hydroxy-3-prop-2-enoyloxypropoxy)ethylidene]-7,9,16-trimethyl-6,15-dimethylideneoctadeca-2,4,13-trien-2-yl]oxy-3-prop-2-enoyloxypropan-2-yl]oxycarbonylcyclohex-3-ene-1-carboxylic acid	[M + H]+	67	Polyketides	Macrolides	Polyene macrolides	0.928	0.982	0.883
