data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Steroids	NPC superclass: Steroids	1773	Untreated	PS	0.263369164442302	0.263369164442302	0.131101625320386	0	0.159269282644826	0	0.0245334656233248	0	0.287902630065626	0	0.153798815837575	0.153798815837575	0.0252272613359683	NA_[1773_507.27_6.4]	NA	(4R)-4-[(3S,5R,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-3-(2-hydroxyethoxy)-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid	[M + K]+	-1	Terpenoids	Steroids	Cholane steroids	0.989	0.972	0.984
filtered	superclass	Steroids	NPC superclass: Steroids	493	PET	Untreated	0.261506370188983	0.261506370188983	0.260267404975089	0.0876077553399959	0.412496748270014	0.241514455123927	0.162676575127193	0.0876077553399959	0.150990378081031	0.0398325386376936	0.152711006067148	0.306509821904723	0.050082017110736	NA_[493_306.24_1.9]	NA	(8R,9S,10S,13S,14S)-10-[(R)-hydroxy(tritio)methyl]-13-methyl-1,2,3,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one	[M + H3N + H]+	-1	Terpenoids	Steroids	Androstane steroids	0.993	0.899	0.786
filtered	superclass	Steroids	NPC superclass: Steroids	2316	Untreated	PET	0.202254354034927	0.202254354034927	0.661785109404026	0.732772012754841	0.550181028671779	0.648427057457803	0.728064053484934	0.799094098443637	0.752435382706705	0.755722701706187	0.118109803075979	0.424619624980702	0.127344156583784	N-(2-hydroxytetradecanoyl)sphinganine_[2316_545.52_7.8]	N-(2-hydroxytetradecanoyl)sphinganine	N-(1,3-dihydroxyoctadecan-2-yl)-2-hydroxytetradecanamide	[M + H3N + H]+	242	Fatty acids	Steroids	Cholane steroids	0.712	0.866	0.338
filtered	superclass	Steroids	NPC superclass: Steroids	2743	Untreated	PET	0.185976007259577	0.185976007259577	0.6433153434807	0.705490302525197	0.551665483657372	0.619831006042565	0.687802129585903	0.720136922213311	0.737641490916949	0.811450719953459	0.10860379099919	0.533223415979892	0.123790107496877	NA_[2743_630.48_8.9]	NA	NA	[M - H2O + H]+	67	Terpenoids	Steroids	Cholane steroids	0.808	0.855	0.568
filtered	superclass	Steroids	NPC superclass: Steroids	923	PS	Untreated	0.165586157042378	0.165586157042378	0.133241330749273	0.0532526381475948	0.142558534629532	0.114352411589932	0.182225247176559	0.0890462958045035	0.0166390901341814	0	0.0966967979191492	0.629920213899041	0.0256389946604378	NA_[923_434.36_3.5]	NA	(3E)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,1-diol	[M + H3N + H]+	70	Terpenoids	Steroids	Ergostane steroids	0.954	0.879	0.261
filtered	superclass	Steroids	NPC superclass: Steroids	1708	Untreated	PET	0.130785292590517	0.130785292590517	0.56952968596519	0.59611541809623	0.499181452109481	0.55426333363486	0.609659390453494	0.608311639188485	0.629966744699998	0.59611541809623	0.0763742527413415	0.706294466640383	0.109591884855158	(25R)-24R,26R-dimethyl-26,27-cyclo-cholest-5-en-3beta-ol_[1708_430.4_6.2]	(25R)-24R,26R-dimethyl-26,27-cyclo-cholest-5-en-3beta-ol	9a,11a-dimethyl-1-[5-(2-methylcyclopropyl)hexan-2-yl]-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.895	0.937	0.64
filtered	superclass	Steroids	NPC superclass: Steroids	1852	PS	PET	0.113112686581077	0.113112686581077	0.577469046120491	0.594480775840457	0.509705216603788	0.561108697807315	0.622817903184865	0.610800109921811	0.622298991025151	0.59733157566594	0.066054039732459	0.772348506372842	0.111119618115434	NA_[1852_444.42_6.6]	NA	9a,11a-dimethyl-1-[6-methyl-5-(propan-2-yl)hept-6-en-2-yl]-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.868	0.761	0.363
filtered	superclass	Steroids	NPC superclass: Steroids	1168	PS	Untreated	0.112097414782298	0.112097414782298	0.0567632051957341	0	0.0298105982070372	0	0.112097414782298	0	0	0	0.0654611548336666	0.837809661206508	0.0109226732181276	NA_[1168_290.21_4.3]	NA	(8R,9S,13S,14S,15S)-13-methyl-14,15-ditritio-2,4,6,7,8,9,11,12,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione	[M + H3N + H]+	90	Terpenoids	Steroids	Estrane steroids	0.987	0.91	0.654
filtered	superclass	Steroids	NPC superclass: Steroids	1999	PS	PET	0.0923664621028648	0.0923664621028648	0.562101236262117	0.575528948474129	0.510134570958874	0.554394599718004	0.602501033061739	0.575528948474129	0.585234973269359	0.608972987299456	0.0539389359593728	0.891748597165881	0.108162463659787	NA_[1999_458.44_6.9]	NA	1-{4-[2-ethyl-1-(propan-2-yl)cyclopropyl]butan-2-yl}-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.878	0.805	0.406
filtered	superclass	Steroids	NPC superclass: Steroids	2131	PS	PET	0.0823414069710267	0.0823414069710267	0.615902068782493	0.640069783500252	0.573564753830527	0.645378195387436	0.655906160801553	0.638934992924306	0.620568514648305	0.642274407405751	0.0480846378252384	0.939833234991119	0.118515101613492	NA_[2131_472.45_7.3]	NA	7,7,12,16-tetramethyl-15-[4-(1,2,2-trimethylcyclopropyl)butan-2-yl]pentacyclo[9.7.0.0¹,³.0³,⁸.0¹²,¹⁶]octadecan-6-ol	[M + H3N + H]+	299	Terpenoids	Steroids	Cholestane steroids	0.762	0.763	0.429
