sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	5.47789546082319	85.712664389483	0.0639099892628624	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_110626_PET100	PET	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	7.71318451737034	118.989000250796	0.0648226684913147	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_110626_PS05	PS	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	6.31348807903816	87.9030864603857	0.0718232809934767	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_110626_PS100	PS	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	6.99297223565309	95.9802339743348	0.072858462061293	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_110626_untreated	Untreated	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	6.09110831497644	131.287311741113	0.0463952550646142	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_180626_PET05	PET	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	6.6166863017803	78.5092920757026	0.0842790213341901	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_180626_PET100	PET	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	7.14401180407803	101.741364350973	0.0702173776580549	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_180626_PS05	PS	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	7.94426062432889	101.640221943964	0.0781605989478128	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_180626_PS100	PS	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	6.58212580560906	107.099349152387	0.0614581307701849	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
A549_180626_untreated	Untreated	filtered	class	Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	pathway	Terpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids / NPC pathway: Terpenoids	Prenyl quinone meroterpenoids	18	327	7.50772967222507	154.120344949024	0.0487134237514734	kruskal_wallis	0.113333627456532	0.877126922239365	ns	0.013927022967877	0.0191184864480802
