sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	26.4166127154949	506.321977459151	0.0521735454740875	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_110626_PET100	PET	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	29.4711426036077	556.011676391165	0.0530045390321519	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_110626_PS05	PS	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	21.6405453391945	529.48714000714	0.0408707666420429	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_110626_PS100	PS	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	35.4858330531481	607.890515026188	0.0583753688797387	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_110626_untreated	Untreated	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	26.961717233232	635.264565347104	0.042441714372185	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_180626_PET05	PET	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	20.8648231786038	394.216766115387	0.0529272851183013	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_180626_PET100	PET	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	20.7978126632139	534.140530215804	0.0389369678702553	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_180626_PS05	PS	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	11.2023656244292	519.26652647061	0.0215734407156384	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_180626_PS100	PS	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	19.6968388310306	590.841698727694	0.0333369138864865	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
A549_180626_untreated	Untreated	filtered	class	Unsaturated fatty acids	Unsaturated fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	NPC class: Unsaturated fatty acids / NPC pathway: Fatty acids	Unsaturated fatty acids	59	1435	13.3245630314758	574.782357832754	0.0231819276459994	kruskal_wallis	0.308182314524188	0.877126922239365	ns	0.0105573462547479	0.0103243334264721
