sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	4.10156328516672	506.321977459151	0.00810070166369112	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_110626_PET100	PET	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	4.42296130498617	556.011676391165	0.00795479931949223	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_110626_PS05	PS	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	4.57970986116521	529.48714000714	0.00864933161757895	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_110626_PS100	PS	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	6.56360385288836	607.890515026188	0.0107973453946811	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_110626_untreated	Untreated	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	4.34771481038544	635.264565347104	0.00684394352770154	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_180626_PET05	PET	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	4.16785154016088	394.216766115387	0.0105724867595838	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_180626_PET100	PET	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	4.23740293596368	534.140530215804	0.00793312376848034	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_180626_PS05	PS	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	1.64002827835118	519.26652647061	0.00315835547786653	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_180626_PS100	PS	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	3.98625682472359	590.841698727694	0.00674674254255837	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
A549_180626_untreated	Untreated	filtered	superclass	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	pathway	Fatty acids	Fatty acids	Octadecanoids	Jasmonic acids | Other Octadecanoids | Phytane diterpenoids	NPC superclass: Octadecanoids / NPC pathway: Fatty acids	Octadecanoids	14	1435	2.17949046136567	574.782357832754	0.00379185344098512	kruskal_wallis	0.309602507014461	0.877126922239365	ns	0.00217204457752265	0.00232659384275029
