sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.756608650765012	11.3326356252814	0.066763696970644	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_110626_PET100	PET	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.895787516546334	15.2002482886424	0.0589324265982987	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_110626_PS05	PS	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.713603265080054	9.15387316752801	0.0779564291551967	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_110626_PS100	PS	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.800211523419937	11.3960881859536	0.0702180880283333	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_110626_untreated	Untreated	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.842544203295975	19.9471352385164	0.0422388575212087	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_180626_PET05	PET	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.666706048622777	8.18966864665305	0.0814081835771519	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_180626_PET100	PET	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.882370808667521	11.1960327932803	0.0788110239545842	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_180626_PS05	PS	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.863693407819345	9.37983108101826	0.0920798466794547	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_180626_PS100	PS	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.787568000847213	11.8665913850713	0.06636851099786	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_180626_untreated	Untreated	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	1	23.0835639418584	0.0433208668522221	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_210626_PET05	PET	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.565114197563093	11.2908408825686	0.0500506741207862	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_210626_PET100	PET	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.798091920896554	12.3560822096774	0.0645910173915385	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_210626_PS05	PS	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.681215722433184	7.36140341455882	0.0925388385978043	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
A549_210626_PS100	PS	filtered	superclass	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	pathway	Shikimates and Phenylpropanoids	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	NPC superclass: Phenylpropanoids (C6-C3) / NPC pathway: Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	1	44	0.795110720763326	11.6302541349408	0.0683657219814805	kruskal_wallis	0.246017871533426	0.877126922239365	ns	0.015527970391076	0.0261526890298838
