sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	6.40237971892289	85.712664389483	0.0746958429600336	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_110626_PET100	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	5.62293215805705	118.989000250796	0.0472558988327109	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_110626_PS05	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	5.64330254281209	87.9030864603857	0.0641991398715595	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_110626_PS100	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	5.9635802795436	95.9802339743348	0.0621334209410062	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_110626_untreated	Untreated	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	5.23711309137174	131.287311741113	0.0398904739682604	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_180626_PET05	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	4.24578496047068	78.5092920757026	0.0540800311430229	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_180626_PET100	PET	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	4.57171833928798	101.741364350973	0.0449347064338268	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_180626_PS05	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	4.84812236195862	101.640221943964	0.0476988565081199	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_180626_PS100	PS	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	5.1612919176717	107.099349152387	0.0481916272929721	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
A549_180626_untreated	Untreated	filtered	superclass	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	pathway	Terpenoids	Terpenoids	Steroids	Androstane steroids | Cholane steroids | Cholestane steroids | Ergostane steroids | Estrane steroids | Unsaturated fatty acids	NPC superclass: Steroids / NPC pathway: Terpenoids	Steroids	12	327	5.98127733091856	154.120344949024	0.038809135373379	kruskal_wallis	0.312745477116409	0.877126922239365	ns	0.00959804330365911	0.0102047211098932
