data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Aminoacids	NPC class: Aminoacids	494	PET	Untreated	4683788.15833333	4683788.15833333	5566327.27333333	2577978	8130026.60833333	4268206	4062672.35	2577978	3446238.45	1928405.9	0.284334461817375	0.284334461817375	0.112380121278163	NA_[494_152.11_1.9]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.961	0.971	0.976
raw	class	Aminoacids	NPC class: Aminoacids	211	PS	Untreated	4408960.325	4408960.325	13270369.9466667	12405306.5	12212034.4666667	12405306.5	15445580.375	10912584.5	11036620.05	12093756.5	0.267650738847488	0.551985200664863	0.267919170178332	NA_[211_293.23_1]	NA	3-[[N-amino-N'-(3-methoxypropyl)carbamimidoyl]amino]-N-(2-methoxyethyl)propanamide	[M + H3N + H]+	90	Amino acids and Peptides	Small peptides	Aminoacids	0.954	0.98	0.733
raw	class	Aminoacids	NPC class: Aminoacids	112	PET	Untreated	2813029.525	2813029.525	14090405.6433333	15707048	15547476.5416667	16300636.5	13311314.0583333	13475046.5	12734447.0166667	9336185.5	0.170768021317145	0.722753221982009	0.284475097725983	gabapentin_[112_154.12_0.7]	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	[M - H2O + H]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.998	0.999	0.999
raw	class	Aminoacids	NPC class: Aminoacids	535	PET	Untreated	1580989.25833333	1580989.25833333	2495377.79666667	1295220.3	3391063.54166667	2421145.5	1942343.80833333	1412760.75	1810074.28333333	1013873.6	0.0959756749688736	0.818728896950882	0.0503798726976938	NA_[535_210.11_2.1]	NA	Gabapentinalcohol	[M + Na]+	638	Amino acids and Peptides	Small peptides	Aminoacids	0.952	0.962	0.916
raw	class	Aminoacids	NPC class: Aminoacids	78	PET	Untreated	1506908.71666667	1506908.71666667	3993592.87666667	3475929.25	4477568.75	3277872.75	4021083.425	3829125.4	2970660.03333333	2576507.7	0.091478534997149	0.910207431948031	0.0806277514377352	NA_[78_217.19_0.6]	NA	2-[1-(Aminomethyl)-3,3-diethylcyclobutyl]acetic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.971	0.978	0.964
raw	class	Aminoacids	NPC class: Aminoacids	10	PS	Untreated	432125.966666667	432125.966666667	1555889.48666667	1013873.6	1429489.35	1013873.6	1784198.23333333	1013873.6	1352072.26666667	1013873.6	0.0262326774858239	0.936440109433855	0.031412283292195	NA_[10_216.12_0.5]	NA	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	[M + H]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.97	0.979	0.964
raw	class	Aminoacids	NPC class: Aminoacids	45	Untreated	PS	321473.358333333	321473.358333333	1839051.59333333	1013873.6	1898716.49166667	1248525.55	1692117.20833333	1212630.3	2013590.56666667	1013873.6	0.0195153903721508	0.955955499806006	0.0371291214021331	NA_[45_180.1_0.6]	NA	2-[1-(Aminomethyl)cyclopentyl]acetate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.953	0.969	0.975
raw	class	Aminoacids	NPC class: Aminoacids	37	PS	Untreated	237447.725	237447.725	1430284.69333333	1013873.6	1348685.80833333	1013873.6	1563833.19166667	1192303	1326385.46666667	1013873.6	0.0144145227784297	0.970370022584436	0.0288764133702913	NA_[37_123.06_0.5]	NA	(6-Methoxypyridazin-3-yl)methanol	[M - H2O + H]+	-1	Amino acids and Peptides	Nicotinic acid alkaloids	Aminoacids	0.607	0.787	0.866
raw	class	Aminoacids	NPC class: Aminoacids	55	PET	Untreated	223316.816666666	223316.816666666	2672524.52666667	1437957	2719295.03333333	1856172.45	2714027.175	1162888.5	2495978.21666667	2228299.45	0.0135566905964168	0.983926713180853	0.0539563370383376	NA_[55_152.11_0.6]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.873	0.857	0.868
raw	class	Aminoacids	NPC class: Aminoacids	2425	Untreated	PET	209895.4	209895.4	1542625.94666667	1471222.55	1419887.15	1227494.35	1621786.44166667	1560309	1629782.55	1673254.3	0.01274192887882	0.996668642059673	0.0311445020136995	NA_[2425_184.07_8.1]	NA	(2R)-2-(aminomethyl)-4-methylpentanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.833	0.824	0.833
raw	class	Aminoacids	NPC class: Aminoacids	1532	Untreated	PET	54876.8333333334	54876.8333333334	1074794.8	1013873.6	1046579.91666667	1013873.6	1089678.70833333	1013873.6	1101456.75	1013873.6	0.00333135794032738	1	0.0216993295654367	4-(trimethylammonio)butanoate_[1532_184.07_5.8]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.825	0.805	0.813
