data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Fatty alcohols	NPC class: Fatty alcohols	946	Untreated	PET	47217003.0333334	47217003.0333334	332256471.786667	340228060	306396233.633333	341899910	347438327.5	336289225	353613236.666667	346596865	0.249962804169623	0.249962804169623	0.46447592052863	NA_[946_284.29_3.6]	NA	(E)-11-Octadecene-8-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.991	0.975	0.975
raw	class	Fatty alcohols	NPC class: Fatty alcohols	3422	PET	PS	38435000.6583333	38435000.6583333	18801066.4266667	1712042.75	40546543.1083333	1841303.9	2111542.45	1635064.55	8689161.01666667	1758356.15	0.203471629405109	0.453434433574731	0.0262828368353135	NA_[3422_507.53_11.3]	NA	Methoxy-tri(undecyl)silane	[M - H2O + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.935	0.874	0.953
raw	class	Fatty alcohols	NPC class: Fatty alcohols	3461	PET	PS	26578211.0333333	26578211.0333333	13403404.72	1323247.1	28212597.275	1587325.75	1634386.24166667	1085611.05	7323056.56666667	1234634.65	0.140702792064416	0.594137225639147	0.0187372083741895	NA_[3461_507.53_11.6]	NA	Methoxy-tri(undecyl)silane	[M - H2O + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.866	0.73	0.905
raw	class	Fatty alcohols	NPC class: Fatty alcohols	874	Untreated	PET	15082991.7	15082991.7	63788446.12	65184837	56299052.9666667	64604885	67481040	65019790	71382044.6666667	73204152	0.0798480771415657	0.673985302780713	0.0891726715550673	NA_[874_296.29_3.4]	NA	nonadeca-10,13-dien-2-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.994	0.981	0.758
raw	class	Fatty alcohols	NPC class: Fatty alcohols	558	Untreated	PET	8931669.03333334	8931669.03333334	63623215.9866667	65110967	58430675.6333333	64530508	66946192	65022322	67362344.6666667	66135050	0.0472834973433377	0.721268800124051	0.0889416890918323	NA_[558_242.25_2.2]	NA	Pentadecynol	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.972	0.96	0.915
raw	class	Fatty alcohols	NPC class: Fatty alcohols	115	Untreated	PET	7523130.11666667	7523130.11666667	14520890.42	13684213	10793743.65	12044085	16350045.5166667	16079150.5	18316873.7666667	21143755	0.0398268119382202	0.761095612062271	0.0202993907340815	7R-hydroxy-hexadecanoic acid_[115_290.27_0.7]	7R-hydroxy-hexadecanoic acid	7-hydroxyhexadecanoic acid	[M + H3N + H]+	24	Fatty acids	Fatty acyls	Fatty alcohols	0.93	0.583	0.865
raw	class	Fatty alcohols	NPC class: Fatty alcohols	2682	PET	Untreated	6378855.34166667	6378855.34166667	12021764.47	9325058	14013505.3416667	11301642.5	12223580.8333333	9776388.5	7634650	8454271	0.0337691184565386	0.794864730518809	0.016805752762483	NA_[2682_560.56_8.8]	NA	3-[1,2,2-Tris(2-ethylhexoxy)ethoxymethyl]heptane	[M + H3N + H]+	79	Fatty acids	Fatty acyls	Fatty alcohols	0.904	0.681	0.812
raw	class	Fatty alcohols	NPC class: Fatty alcohols	260	Untreated	PET	5043480.38333333	5043480.38333333	11001779.4533333	10823183.5	8579761.78333333	9785933.5	12113065.7666667	11323329	13623242.1666667	14950865	0.0266997568334121	0.821564487352221	0.0153798708917881	NA_[260_286.31_1.1]	NA	1-(ethenyloxy)hexadecane	[M + H3N + H]+	67	Fatty acids	Fatty acyls	Fatty alcohols	0.944	0.894	0.906
raw	class	Fatty alcohols	NPC class: Fatty alcohols	1790	Untreated	PET	3946402.36666667	3946402.36666667	19714682.9866667	19982335	17686953.6333333	18845254	20783075.8333333	20174429	21633356	19819679	0.0208919189821776	0.842456406334399	0.0275600215668383	NA_[1790_394.4_6.5]	NA	hexacosa-17,20-dien-9-one	[M + H3N + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.941	0.726	0.726
raw	class	Fatty alcohols	NPC class: Fatty alcohols	1252	Untreated	PET	3458845.11666667	3458845.11666667	18421940.72	18569731	16368121.8833333	17733691	19773246.4166667	18860235	19826967	19743206	0.0183108323063208	0.86076723864072	0.0257528403520151	7Z-Eicosen-11-one_[1252_312.33_4.6]	7Z-Eicosen-11-one	icos-13-en-10-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.976	0.924	0.913
