data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	551	Untreated	PET	118435163.866667	118435163.866667	557130199.453333	570195050	498381969.466667	563999000	586034962.5	589812270	616817133.333333	600685950	0.634858509910581	0.634858509910581	0.815377558887132	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	496	PET	Untreated	39620091.7166667	39620091.7166667	46814476.1033333	22393386	68159871.8	36469795	34606428.4166667	22393386	28539780.0833333	15987000	0.212379090538353	0.847237600448934	0.0685144572725917	NA_[496_170.12_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.938	0.527	0.783
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	499	PET	Untreated	14827555.8916667	14827555.8916667	16994919.7933333	7864119.25	25011288.5083333	13440704.5	12384144.6666667	7864119.25	10183732.6166667	5803419.25	0.0794814625291258	0.92671906297806	0.0248725993101213	NA_[499_153.09_1.9]	NA	(3Z)-3-(hydroxymethylidene)cycloheptene-1-carbaldehyde	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.899	0.588	0.814
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	374	Untreated	PET	7169968.11666667	7169968.11666667	25813788.32	25124489	22623723.2166667	25199389	27013901.9166667	24780413	29793691.3333333	29128138	0.0384338158199188	0.965152878797979	0.0377792905978592	4E,9Z-Tetradecadienal_[374_226.22_1.5]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.988	0.983	0.828
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	353	PET	Untreated	1968129.33333333	1968129.33333333	3892626.72666667	3042576.65	5011656.75	3611116.8	3198146.35833333	2401343.7	3043527.41666667	2947730.15	0.0105499381693596	0.975702816967338	0.00569698156941164	NA_[353_170.12_1.4]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.982	0.602	0.811
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	253	PS	PET	1807607.11666667	1807607.11666667	14145556.2533333	13924187	13311090.8833333	13852921	15118698	14287434	13868203.5	14148485	0.00968947669868293	0.985392293666021	0.0207024662067518	9E,11E-Hexadecadienal_[253_254.25_1.1]	9E,11E-Hexadecadienal	hexadeca-9,11-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.971	0.705
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	450	PET	Untreated	1476896.55833333	1476896.55833333	5732370.32666667	5403337.5	6258637.65833333	6669680.75	5681417.60833333	4588525.75	4781741.1	5452504	0.00791673957044658	0.993309033236468	0.00838950415572654	NA_[450_170.12_1.7]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.681	0.865
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	760	Untreated	PET	626802.575	626802.575	6629382.87	6818323.25	6280873.925	6945930.5	6838745	6709796.5	6907676.5	7146373.5	0.00335990541812905	0.996668938654597	0.00970231020822906	4E,9Z-Tetradecadienal_[760_226.22_2.9]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.951	0.89	0.795
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	765	PS	PET	344656.083333333	344656.083333333	3290984.09	3403588.35	3088080	3381949.5	3432736.08333333	3423912.5	3413288.28333333	3411808.1	0.00184749056237174	0.998516429216969	0.00481645865952624	NA_[765_184.17_2.9]	NA	Cyclobutyl(cyclohexyl)methanone	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.841	0.772	0.729
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	51	PET	Untreated	276765.525	276765.525	2834495.41333333	1615865.2	2890187.925	2208297.9	2889339.40833333	1520428.75	2613422.4	2420892.8	0.00148357078303137	1	0.00414837313265065	NA_[51_153.09_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.898	0.623	0.856
