data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2572	PS	PET	3322468.83333333	3322468.83333333	21742887.2666667	13186290.8	20228530.3	13186290.8	23550999.1333333	19371336.8	21155377.4666667	19227138.8	0.138400647848297	0.138400647848297	0.149618679107067	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2572_828.69_8.5]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M + O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1641	PS	Untreated	3315049.08333333	3315049.08333333	20602595.07	15522926.5	20038890.7166667	15984728	22083414.3333333	15249129.5	18768365.25	12308906	0.138091570996599	0.276492218844896	0.141772020557588	HexCer(d18:1/16:0)_[1641_700.57_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2476	PS	PET	2140543.74166667	2140543.74166667	8130753.80666667	4708665	6992516.44166667	4708665	9133060.18333333	4566263.6	8402615.78333333	4863136.5	0.0891664167386828	0.365658635583579	0.0559499127129828	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine_[2476_810.68_8.3]	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine	Beta-D-Galactosyl-N-[(15Z)-Tetracosenoyl]Sphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1646	PS	Untreated	1626767.10833333	1626767.10833333	6465707.64	5542301.75	6159333.06666667	5734209	7212213.05833333	5768494.75	5585445.95	4995058.25	0.0677645549095348	0.433423190493114	0.0444922803823	HexCer(d18:1/16:0)_[1646_722.55_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + Na]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.986	0.999	0.999
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2648	Untreated	PET	1546357.28333333	1546357.28333333	16826006.3366667	11246382.5	15898318.2166667	10991892.5	17444359.875	11246470.5	17444675.5	11920032.5	0.0644150059952706	0.497838196488385	0.115784293588216	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2648_812.7_8.7]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2455	PS	PET	1219249.69166667	1219249.69166667	3671301.26	1187717.05	3043057.93333333	1187717.05	4262307.625	1658512.4	3745775.18333333	1712741.2	0.0507890233679655	0.54862721985635	0.0252632154317159	NA_[2455_784.67_8.2]	NA	NA	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2040	Untreated	PET	1208625.13333333	1208625.13333333	4088211.00666667	3326366	3481686.18333333	2909376.5	4393685.675	4555274.15	4690311.31666667	4552365.1	0.0503464471301742	0.598973666986524	0.0281320839880441	Termitomycesphin A_[2040_726.54_7.1]	Termitomycesphin A	Termitomycesphin A	[M - H2O + H]+	48	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.994	0.986	0.812
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2571	PS	PET	1179143.5	1179143.5	8023708.53333333	4905985.8	7490032.71666667	4905985.8	8669176.21666667	7093525.8	7800124.8	6526414.3	0.0491183612224832	0.648092028209008	0.0552133052788201	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine_[2571_810.68_8.5]	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine	Beta-D-Galactosyl-N-[(15Z)-Tetracosenoyl]Sphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1802	PS	PET	1089142.86666667	1089142.86666667	6277375.45333333	6384603.5	5675933.425	5777576.75	6765076.29166667	6666672.5	6504857.83333333	6360989.75	0.0453692979249974	0.693461326134005	0.0431963157453674	NA_[1802_670.47_6.5]	NA	NA	[M - H2O + H]+	327	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.963	0.905	0.847
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2649	Untreated	PET	780913.183333333	780913.183333333	3778256.96	2806930.5	3460389.1	2764545.85	3864602.15833333	2806930.5	4241302.28333333	2832727.65	0.0325296928002112	0.725991018934216	0.025999206487582	NA_[2649_834.68_8.7]	NA	NA	[M + Na]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.994	0.994	0.977
