data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	173	PS	Untreated	27491830.5	27491830.5	133723949.186667	124385030	132615653.966667	125670495	143626756.166667	117524490	116134925.666667	133580235	0.230544394171165	0.230544394171165	0.19112550502219	NA_[173_294.24_0.8]	NA	9,13-Octadecadiynoic acid	[M + H3N + H]+	90	Fatty acids	Octadecanoids	Other Octadecanoids	0.998	0.63	0.763
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	170	PS	Untreated	20850911.8333333	20850911.8333333	94077397.2533333	87623305	92106464.3	88284877	102341656.5	83356715	81490744.6666667	92908583	0.174854156638722	0.405398550809887	0.134460507415297	NA_[170_312.25_0.8]	NA	9-Oxo-11,13-octadecadienoic acid	[M + H3N + H]+	336	Fatty acids	Octadecanoids	Other Octadecanoids	0.993	0.946	0.972
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	337	PS	Untreated	14901197.8	14901197.8	111345751.126667	103411727	109109670.466667	136744685	117803537.5	107167845	102902339.7	72708445	0.124960308453295	0.530358859263181	0.159141373296214	10-oxo-nonadecanoic acid_[337_330.3_1.3]	10-oxo-nonadecanoic acid	10-Oxo-nonadecanoic acid	[M + H3N + H]+	21	Fatty acids	Octadecanoids	Other Octadecanoids	0.996	0.685	0.764
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	290	PS	Untreated	12600903.2083333	12600903.2083333	26531787.2366667	20488099	24953700.6333333	20488099	31784146.0416667	19445934.5	19183242.8333333	19843397	0.105670213417571	0.636029072680753	0.0379206661603352	9-oxo-ODE(1-)_[290_312.25_1.2]	9-oxo-ODE(1-)	9-oxooctadeca-10,12-dienoic acid	[M + H3N + H]+	220	Fatty acids	Octadecanoids	Other Octadecanoids	0.998	0.937	0.972
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	296	PS	PET	9987890.86666664	9987890.86666664	173891589.92	177954830	169041855.3	182021090	179029746.166667	177954830	173314746.666667	172573590	0.0837576911767796	0.719786763857532	0.248535270942218	NA_[296_294.24_1.2]	NA	9,13-Octadecadiynoic acid	[M + H3N + H]+	145	Fatty acids	Octadecanoids	Other Octadecanoids	0.99	0.734	0.804
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	214	PS	Untreated	9785389.16666667	9785389.16666667	47414148.1866667	45100302	47117494.3	45100302	50873713.8333333	41441580	41088324.6666667	47078164	0.0820595273624376	0.80184629121997	0.0677668665373008	NA_[214_314.27_1]	NA	15-Hydroxy-9Z,15Z-octadecadienoic acid	[M + H3N + H]+	-1	Fatty acids	Octadecanoids	Other Octadecanoids	0.999	0.931	0.97
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	199	PS	Untreated	7366769.33333334	7366769.33333334	31067316.52	28292616	30069475.9666667	28292616	34188133.3333333	27784748	26821364	27758454	0.0617771658730418	0.863623457093012	0.0444030900648967	11-Oxooctadecanoic acid_[199_316.28_0.9]	11-Oxooctadecanoic acid	11-oxooctadecanoic acid	[M + H3N + H]+	304	Fatty acids	Octadecanoids	Other Octadecanoids	0.998	0.809	0.908
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	495	PET	Untreated	4752322.16666667	4752322.16666667	6579195.92333333	3641481.1	9020074.36666667	5551246	5294039.34166667	3401334.85	4267752.2	2856996.35	0.0398526112992136	0.903476068392225	0.00940334286517165	NA_[495_312.25_1.9]	NA	9-Oxo-11,13-octadecadienoic acid	[M + H3N + H]+	36	Fatty acids	Octadecanoids	Other Octadecanoids	0.98	0.895	0.913
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	171	PS	Untreated	4394224.33333333	4394224.33333333	15726047.47	14032178.5	15405070.3416667	13944496	17404773.6666667	13273478	13010549.3333333	14825627.5	0.0368496301757907	0.940325698568016	0.0224765181030592	NA_[171_295.23_0.8]	NA	9-Oxo-11,13-octadecadienoic acid	[M + H]+	-1	Fatty acids	Octadecanoids	Other Octadecanoids	0.982	0.92	0.928
raw	class	Other Octadecanoids	NPC class: Other Octadecanoids	176	PS	Untreated	3955022.29166667	3955022.29166667	19278650.02	18099570	19388900.1333333	18395143.5	20523490.7083333	16623475.5	16568468.4166667	19676920	0.0331665153459222	0.973492213913938	0.0275540899265182	11E,17-Octadecadien-9-ynoic acid_[176_277.22_0.8]	11E,17-Octadecadien-9-ynoic acid	octadeca-11,17-dien-9-ynoic acid	[M + H]+	90	Fatty acids	Octadecanoids	Other Octadecanoids	0.997	0.612	0.734
