data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1470	Untreated	PET	43371894.8666667	43371894.8666667	203143344.053333	213044835	177681444.133333	180663640	219650246.5	226468845	221053339	274468995	0.551615309714278	0.551615309714278	0.529381000676235	N-hexadecanoylphytosphingosine-1-phosphocholine_[1470_703.58_5.5]	N-hexadecanoylphytosphingosine-1-phosphocholine	[2-(Hexadecanoylamino)-3,4-dihydroxyoctadecyl] 2-(trimethylazaniumyl)ethyl phosphate	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2431	Untreated	PET	8619331.7	8619331.7	38114513.2533333	35559622	33351247.6333333	33808949	40949745.8333333	37679306	41970579.3333333	41439242	0.109622956060416	0.661238265774694	0.0993244413710149	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2431_813.68_8.1]	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2141	PS	PET	5274623.175	5274623.175	21716788.92	14850144.5	19053632.1083333	12550499	24328255.2833333	21719881.5	21820169.8166667	21479594	0.0670840622769255	0.728322328051619	0.0565928236709832	NA_[2141_719.58_7.3]	NA	benzyl N-[10-(8-cyanooctyl)-9-nonylnonadecyl]carbamate	[M + K]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.968
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2399	PS	PET	3458542.825	3458542.825	14203793.7866667	9522149	12466938.1333333	8886520	15925480.9583333	9790125	14234130.75	9990651	0.0439866687272336	0.772308996778853	0.0370143486769145	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2399_787.67_8]	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1469	PS	PET	3185933.65833334	3185933.65833334	19614713.3033333	22068410	17995476.0916667	20394912	21181409.75	23565869	19719794.8333333	23897652	0.0405195527443127	0.812828549523166	0.0511149238232976	N-hexadecanoylsphingosine-1-phosphocholine_[1469_725.56_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1335	Untreated	PET	2191722.09166667	2191722.09166667	5632734.40666667	4516938.75	4976952.69166667	4297785.5	5520545.93333333	5636784	7168674.78333333	6753021.5	0.027874905261091	0.840703454784257	0.0146786132257516	NA_[1335_701.56_4.9]	NA	2-[[(E,2S,3R)-2-(2-deuteriooxyhexadecanoylamino)-3-hydroxyoctadec-4-enoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2223	Untreated	PET	2063417.725	2063417.725	8662544.39333333	9178778	7592008.79166667	7132410	9236638.93333333	9211052.5	9655426.51666667	11800553	0.0262430961558144	0.866946550940071	0.0225741406429794	NA_[2223_811.67_7.5]	NA	4-[20-(3,5-Dihydroxy-4-azatricyclo[5.2.1.02,6]deca-2,5,8-trien-4-yl)-10,11-dioctylicosyl]-4-azatricyclo[5.2.1.02,6]deca-2,5,8-triene-3,5-diol	[M - H2O + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.994
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2405	PS	PET	1615902.94166667	1615902.94166667	6951004.73666667	4387842.75	6150668.11666667	4258866.25	7766571.05833333	4428553	6920545.33333333	4649104.25	0.0205514839592752	0.887498034899346	0.0181139572174994	NA_[2405_788.67_8]	NA	Bis(5-methyl-2-propan-2-ylcyclohexyl)-octadecyl-(3-triethoxysilylpropyl)azanium	[M + K]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.997	0.925
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1747	PS	PET	1322549.73333333	1322549.73333333	8312706.10666667	8383895.75	7606202.96666667	7355187	8928752.7	8383895.75	8493619.2	8817645.5	0.0168205397298859	0.904318574629232	0.0216624802431101	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[1747_731.61_6.4]	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
raw	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2726	Untreated	PET	693399.091666667	693399.091666667	10152214.0633333	9726773	9752043.24166667	9005240	10405770.75	9949207.5	10445442.3333333	10447464.5	0.00881883431381432	0.913137408943046	0.02645614241004	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2726_815.7_8.9]	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
