data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Sphingoid bases	NPC class: Sphingoid bases	181	Untreated	PET	112761070.241667	112761070.241667	216285085.49	196936460	159396354.258333	182918440	245237647.216667	218946685	272157424.5	325419485	0.481899460620145	0.481899460620145	0.42425653040788	NA_[181_288.29_0.9]	NA	2-[2-Hydroxyethyl(tridecyl)amino]ethanol	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.87	0.579	0.914
raw	class	Sphingoid bases	NPC class: Sphingoid bases	280	Untreated	PET	38797416.3333333	38797416.3333333	79430736.2666667	71857590	58605390.9333333	66616492	91270046.1	75292085	97402807.2666667	117759600	0.165805928982571	0.647705389602716	0.155808286548716	NA_[280_316.32_1.2]	NA	1,1'-(Tridecylimino)bis-2-propanol	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.906	0.571	0.902
raw	class	Sphingoid bases	NPC class: Sphingoid bases	399	Untreated	PET	20804009.7	20804009.7	41333394.32	34764836	29613082.9	32500006	48511856.6	37476935	50417092.6	61210640	0.08890870786948	0.736614097472196	0.0810780014001232	n-oleyldiethanolamine_[399_356.35_1.6]	n-oleyldiethanolamine	Ethanol, 2,2'-(9-octadecen-1-ylimino)bis-	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.819	0.379	0.82
raw	class	Sphingoid bases	NPC class: Sphingoid bases	512	PS	PET	12475248.8666667	12475248.8666667	24857644.0533333	20847684	17385098.7333333	20279495	29860347.6	22013082	29797327.6	36042480	0.0533146385278569	0.789928736000053	0.0487598014273105	NA_[512_358.37_2]	NA	Stearylbis(2-hydroxyethyl)aminium	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.908	0.489	0.897
raw	class	Sphingoid bases	NPC class: Sphingoid bases	247	Untreated	PET	8852741.2	8852741.2	19503449.6533333	18266177	14816379.2333333	16823260.5	22107684.6833333	19191878	23669120.4333333	29477253	0.0378333692660656	0.827762105266118	0.038257218994837	NA_[247_346.33_1]	NA	Peg-3 myristamine	[M + H]+	24	Fatty acids	Spingolipids	Sphingoid bases	0.926	0.229	0.72
raw	class	Sphingoid bases	NPC class: Sphingoid bases	85	Untreated	PET	8120333.86666667	8120333.86666667	14379371.9866667	14548654	10732224.0666667	11051651.5	15789926.9333333	15670408	18852557.9333333	22504671	0.0347033289238522	0.86246543418997	0.0282060247228167	NA_[85_262.24_0.6]	NA	PEG-3 caprylamine	[M + H]+	24	Fatty acids	Spingolipids	Sphingoid bases	0.748	0.27	0.802
raw	class	Sphingoid bases	NPC class: Sphingoid bases	556	Untreated	PET	5525301.40833333	5525301.40833333	12601616.8033333	11741539.5	9688018.525	11119140	14209363.5166667	12658993	15213319.9333333	17549042.5	0.0236131118898841	0.886078546079855	0.0247188483218785	NA_[556_342.37_2.1]	NA	(2-Hydroxyethyl)stearyldimethylaminium	[M + H]+	67	Fatty acids	Spingolipids	Sphingoid bases	0.91	0.483	0.839
raw	class	Sphingoid bases	NPC class: Sphingoid bases	178	Untreated	PET	3635838.18333333	3635838.18333333	8619360.65666667	9112549.5	6720988.88333333	7290190.25	9648999.225	9265335.5	10356827.0666667	11381585	0.0155382390012385	0.901616785081093	0.0169074073612009	NA_[178_244.26_0.9]	NA	2-(Tridecylamino)ethanol	[M + H]+	67	Fatty acids	Spingolipids	Sphingoid bases	0.998	0.744	0.955
raw	class	Sphingoid bases	NPC class: Sphingoid bases	2227	PS	PET	3136822.43333333	3136822.43333333	6941038.81	6209014.75	5219714	5550973.25	8356536.43333333	5992336.25	7552693.18333333	8350177.25	0.0134056286929949	0.915022413774088	0.0136152755807714	NA_[2227_556.56_7.5]	NA	[16-Ethyl-16-hydroxy-15-(trimethylazaniumyl)triacontan-15-yl]phosphanide	[M + H]+	1	Fatty acids	Spingolipids	Sphingoid bases	0.882	0.241	0.724
raw	class	Sphingoid bases	NPC class: Sphingoid bases	124	Untreated	PET	2753406.93333333	2753406.93333333	5373465.44333333	4861684.5	3998363.66666667	4359522.75	6059414.64166667	5284063.25	6751770.6	7781388.75	0.0117670514584279	0.926789465232516	0.0105403837721425	NA_[124_260.26_0.7]	NA	1-[2-Hydroxypropyl(nonyl)amino]propan-2-ol	[M + H]+	308	Fatty acids	Spingolipids	Sphingoid bases	0.944	0.722	0.955
